Sample	Count	Sequencer
SRR8423807	951233	Illumina MiSeq
SRR8423819	9374518	Illumina NovaSeq 6000
SRR8423867	0	Illumina NovaSeq 6000
SRR8423825	14836573	Illumina NovaSeq 6000
SRR8423798	97249	Illumina MiSeq
SRR8423868	194866	Illumina MiSeq
SRR8423808	1490191	Illumina MiSeq
SRR8423809	1369757	Illumina MiSeq
SRR8423847	300981	Illumina NovaSeq 6000
SRR8423851	16187888	Illumina NovaSeq 6000
SRR8423915	0	Illumina MiSeq
SRR8423828	20515178	Illumina NovaSeq 6000
SRR8423870	20863983	Illumina NovaSeq 6000
SRR8423841	9539568	Illumina NovaSeq 6000
SRR8423803	0	Illumina MiSeq
SRR8423849	10678846	Illumina NovaSeq 6000
SRR8423855	14245489	Illumina NovaSeq 6000
SRR8423860	0	Illumina MiSeq
SRR8423866	0	Illumina NovaSeq 6000
SRR8423806	0	Illumina MiSeq
SRR8423812	29323	Illumina MiSeq
SRR8423818	9873015	Illumina NovaSeq 6000
SRR8423827	13488303	Illumina NovaSeq 6000
SRR8423852	15571061	Illumina NovaSeq 6000
SRR8423796	0	Illumina MiSeq
SRR8423856	115191	Illumina MiSeq
SRR8423820	15399680	Illumina NovaSeq 6000
SRR8423914	0	Illumina MiSeq
SRR8423848	921553	Illumina NovaSeq 6000
SRR8423842	11595236	Illumina NovaSeq 6000
SRR8423832	0	Illumina NovaSeq 6000
SRR8423833	26039122	Illumina NovaSeq 6000
SRR8423840	12264113	Illumina NovaSeq 6000
SRR8423844	122979	Illumina MiSeq
SRR8423829	12975096	Illumina NovaSeq 6000
SRR8423817	11305252	Illumina NovaSeq 6000
SRR8423810	147238	Illumina MiSeq
SRR8423826	0	Illumina NovaSeq 6000
SRR8423846	13031727	Illumina NovaSeq 6000
SRR8423823	12672547	Illumina NovaSeq 6000
SRR8423816	13537348	Illumina NovaSeq 6000
SRR8423811	143700	Illumina MiSeq
SRR8423864	208897	Illumina MiSeq
SRR8423913	130294	Illumina MiSeq
SRR8423853	0	Illumina NovaSeq 6000
SRR8423912	173365	Illumina MiSeq
SRR8423804	114730	Illumina MiSeq
SRR8423845	12587	Illumina MiSeq
SRR8423839	119558	Illumina MiSeq
SRR8423799	1653	Illumina MiSeq
SRR8423831	2979920	Illumina NovaSeq 6000
SRR8423871	0	Illumina NovaSeq 6000
SRR8423813	185108	Illumina MiSeq
SRR8423869	718	Illumina MiSeq
SRR8423838	0	Illumina MiSeq
SRR8423911	173420	Illumina MiSeq
SRR8423835	18898195	Illumina NovaSeq 6000
SRR8423916	169550	Illumina MiSeq
SRR8423830	13794276	Illumina NovaSeq 6000
SRR8423822	0	Illumina NovaSeq 6000
SRR8423917	185600	Illumina MiSeq
SRR8423843	14272314	Illumina NovaSeq 6000
SRR8423837	0	Illumina NovaSeq 6000
SRR8423805	0	Illumina MiSeq
SRR8423814	1613157	Illumina MiSeq
SRR8423854	466603	Illumina NovaSeq 6000
SRR8423850	15955302	Illumina NovaSeq 6000
SRR8423800	258794	Illumina MiSeq
SRR8423801	121846	Illumina MiSeq
SRR8423859	97890	Illumina MiSeq
SRR8423836	14027792	Illumina NovaSeq 6000
