Sample	Count	Sequencer	FLASH_merged.total	FLASH_merged.unique	FLASH_merged.multread_unique	FLASH_merged.obs_gt10k
SRR8423802	211903	Illumina MiSeq	184439	32119	7043	735
SRR8423877	764657	Illumina MiSeq	709985	106546	19953	745
SRR8423807	951233	Illumina MiSeq	799781	156640	36252	743
SRR8423910	136907	Illumina MiSeq	111077	29138	7069	751
SRR8423872	14084641	Illumina NovaSeq 6000	8840624	1174881	165954	614
SRR8423880	145708	Illumina MiSeq	119094	30261	8180	737
SRR8423867	14179351	Illumina NovaSeq 6000	9202767	1267149	185477	609
SRR8423815	1403665	Illumina MiSeq	1166442	187779	51521	783
SRR8423825	14836573	Illumina NovaSeq 6000	11710106	1720954	280092	735
SRR8423893	145661	Illumina MiSeq	125638	22212	5124	679
SRR8423798	97249	Illumina MiSeq	84747	17348	4266	839
SRR8423868	194866	Illumina MiSeq	158900	46396	10839	884
SRR8423885	14147968	Illumina NovaSeq 6000	12222932	2196280	381063	887
SRR8423808	1490191	Illumina MiSeq	1261349	197025	53191	766
SRR8423809	1369757	Illumina MiSeq	1165443	185924	49466	749
SRR8423883	6845865	Illumina NovaSeq 6000	5514511	931956	195800	894
SRR8423851	16187888	Illumina NovaSeq 6000	12976024	1930438	314605	730
SRR8423905	1132226	Illumina MiSeq	971892	169344	44764	717
SRR8423891	146692	Illumina MiSeq	126787	23458	5470	729
SRR8423915	131060	Illumina MiSeq	107486	27183	7282	745
SRR8423828	20515178	Illumina NovaSeq 6000	12546759	1558831	221658	703
SRR8423870	20863983	Illumina NovaSeq 6000	13023045	1540087	211926	668
SRR8423841	9539568	Illumina NovaSeq 6000	5073900	806233	116647	626
SRR8423803	261720	Illumina MiSeq	227250	37229	8221	762
SRR8423849	10678846	Illumina NovaSeq 6000	8517769	2330538	299826	678
SRR8423855	14245489	Illumina NovaSeq 6000	11734802	1790005	284003	697
SRR8423860	133854	Illumina MiSeq	110837	23045	6071	678
SRR8423866	13456413	Illumina NovaSeq 6000	8652847	1276182	181078	679
SRR8423806	1459396	Illumina MiSeq	1227827	194846	53727	703
SRR8423903	1050684	Illumina MiSeq	975766	142551	24448	736
SRR8423812	29323	Illumina MiSeq	23959	4817	1431	833
SRR8423818	9873015	Illumina NovaSeq 6000	8407145	1434768	238267	710
SRR8423874	17899271	Illumina NovaSeq 6000	10975252	1401024	195836	689
SRR8423827	13488303	Illumina NovaSeq 6000	8418511	1233745	175720	673
SRR8423852	15571061	Illumina NovaSeq 6000	13004263	2153257	352776	695
SRR8423892	158588	Illumina MiSeq	139473	23864	5381	741
SRR8423907	1197633	Illumina MiSeq	1120787	151312	28884	758
SRR8423879	175017	Illumina MiSeq	144776	35180	9260	738
SRR8423881	139661	Illumina MiSeq	114247	32712	7447	716
SRR8423796	1624	Illumina MiSeq	1438	432	112	432
SRR8423863	149809	Illumina MiSeq	119530	35533	9646	1006
