Sample	Count
SRR8423802_1	211903
SRR8423877_1	764657
SRR8423891_2	146692
SRR8423807_1	951233
SRR8423851_2	16187888
SRR8423868_2	194866
SRR8423910_1	136907
SRR8423872_1	14084641
SRR8423890_2	108926
SRR8423875_2	22275436
SRR8423905_2	1132226
SRR8423870_2	20863983
SRR8423877_2	764657
SRR8423819_1	9374518
SRR8423880_1	145708
SRR8423867_1	14179351
SRR8423815_1	1403665
SRR8423825_1	14836573
SRR8423893_1	145661
SRR8423798_1	97249
SRR8423868_1	194866
SRR8423885_1	14147968
SRR8423831_2	18010530
SRR8423809_2	1369757
SRR8423911_2	173420
SRR8423808_1	1490191
SRR8423809_1	1369757
SRR8423814_2	1613157
SRR8423803_2	261720
SRR8423883_1	6845865
SRR8423847_1	300981
SRR8423851_1	16187888
SRR8423905_1	1132226
SRR8423891_1	146692
SRR8423915_1	131060
SRR8423914_2	156235
SRR8423828_1	20515178
SRR8423903_2	1050684
SRR8423870_1	20863983
SRR8423850_2	15955302
SRR8423841_1	9539568
SRR8423803_1	261720
SRR8423852_2	15571061
SRR8423849_1	10678846
SRR8423829_2	12975096
SRR8423844_2	122979
SRR8423855_1	14245489
SRR8423883_2	6845865
SRR8423860_1	133854
SRR8423866_1	13456413
SRR8423806_1	1459396
SRR8423898_2	1112965
SRR8423863_2	149809
SRR8423903_1	1050684
SRR8423884_2	13668744
SRR8423812_1	29323
SRR8423797_2	108455
SRR8423892_2	158588
SRR8423818_1	9873015
SRR8423874_1	17899271
SRR8423827_1	13488303
SRR8423847_2	300981
SRR8423852_1	15571061
SRR8423796_2	1624
SRR8423824_2	11986897
SRR8423892_1	158588
SRR8423907_1	1197633
SRR8423879_1	175017
SRR8423813_2	185108
SRR8423838_2	104614
SRR8423833_2	26039122
SRR8423818_2	9873015
SRR8423881_1	139661
SRR8423894_2	186246
SRR8423796_1	1624
SRR8423863_1	149809
SRR8423889_1	187223
SRR8423824_1	11986897
SRR8423825_2	14836573
SRR8423889_2	187223
SRR8423894_1	186246
SRR8423837_2	20016455
SRR8423890_1	108926
SRR8423876_2	1326845
SRR8423849_2	10678846
SRR8423904_2	1272635
SRR8423902_2	1279222
SRR8423856_1	115191
SRR8423887_2	175829
SRR8423820_1	15399680
SRR8423914_1	156235
SRR8423822_2	11039286
SRR8423881_2	139661
SRR8423848_1	921553
SRR8423811_2	143700
SRR8423909_1	169524
SRR8423842_1	11595236
SRR8423807_2	951233
SRR8423896_1	205318
SRR8423832_1	28063231
SRR8423853_2	14855966
SRR8423884_1	13668744
SRR8423808_2	1490191
SRR8423805_2	119611
SRR8423864_2	208897
SRR8423823_2	12672547
SRR8423839_2	119558
SRR8423857_1	201602
SRR8423833_1	26039122
SRR8423840_1	12264113
SRR8423816_2	13537348
SRR8423885_2	14147968
SRR8423873_1	16305228
SRR8423887_1	175829
SRR8423844_1	122979
SRR8423829_1	12975096
SRR8423817_1	11305252
SRR8423810_1	147238
SRR8423835_2	18898195
SRR8423826_1	9833029
SRR8423876_1	1326845
SRR8423860_2	133854
SRR8423908_1	96533
SRR8423821_1	19915070
SRR8423834_2	17720066
SRR8423898_1	1112965
SRR8423900_1	984088
SRR8423917_2	185600
SRR8423846_1	13031727
SRR8423846_2	13031727
SRR8423897_2	184862
SRR8423872_2	14084641
SRR8423845_2	12587
SRR8423823_1	12672547
SRR8423913_2	130294
SRR8423878_1	21
SRR8423862_2	161675
SRR8423816_1	13537348
SRR8423893_2	145661
SRR8423832_2	28063231
SRR8423848_2	921553
SRR8423899_1	972280
SRR8423811_1	143700
SRR8423819_2	9374518
SRR8423864_1	208897
SRR8423888_1	172378
SRR8423913_1	130294
SRR8423900_2	984088
SRR8423853_1	14855966
SRR8423797_1	108455
SRR8423897_1	184862
SRR8423912_1	173365
SRR8423882_2	20240060
SRR8423828_2	20515178
SRR8423895_1	119946
SRR8423800_2	258794
SRR8423804_1	114730
SRR8423845_1	12587
