Sample	Count	Sequencer	FLASH_merged.total	FLASH_merged.unique	FLASH_merged.multread_unique	FLASH_merged.obs_gt10k	PEAR_merged.total	PEAR_merged.unique	PEAR_merged.multread_unique	PEAR_merged.obs_gt10k	mergedDADA2_corrected.total	mergedDADA2_corrected.unique	mergedDADA2_corrected.multread_unique	mergedDADA2_corrected.obs_gt10k
SRR8423798	97249	Illumina MiSeq	84747	17348	4266	839	96944	22282	4773	829	79301	233	233	181
SRR8423802	211903	Illumina MiSeq	184439	32119	7043	735	211285	42309	7920	693	176689	338	338	235
SRR8423803	261720	Illumina MiSeq	227250	37229	8221	762	261044	49507	9311	714	223084	405	405	257
SRR8423807	951233	Illumina MiSeq	799781	156640	36252	743	947048	207649	42246	733	878463	1623	1622	834
SRR8423808	1490191	Illumina MiSeq	1261349	197025	53191	766	1480373	269475	61825	764	1389467	1623	1620	717
SRR8423809	1369757	Illumina MiSeq	1165443	185924	49466	749	1362383	256214	56493	744	1276283	1760	1760	766
SRR8423815	1403665	Illumina MiSeq	1166442	187779	51521	783	1390131	258804	60625	784	1313343	1284	1283	668
SRR8423825	14836573	Illumina NovaSeq 6000	11710106	1720954	280092	735	11644534	1789883	280449	725	11527907	36731	23075	736
SRR8423828	20515178	Illumina NovaSeq 6000	12546759	1558831	221658	703	12603345	1614809	221885	701	12484923	37489	21468	414
SRR8423841	9539568	Illumina NovaSeq 6000	5073900	806233	116647	626	5096572	830605	116685	623	5003282	23387	15002	453
SRR8423851	16187888	Illumina NovaSeq 6000	12976024	1930438	314605	730	12863219	2021297	315882	713	12726504	48715	29407	778
SRR8423867	14179351	Illumina NovaSeq 6000	9202767	1267149	185477	609	9246702	1310364	185668	609	9131865	32304	18552	433
SRR8423868	194866	Illumina MiSeq	158900	46396	10839	884	193269	62846	12750	836	172382	1352	1352	867
SRR8423870	20863983	Illumina NovaSeq 6000	13023045	1540087	211926	668	13081753	1598125	212170	665	12991645	35462	20436	403
SRR8423872	14084641	Illumina NovaSeq 6000	8840624	1174881	165954	614	8881371	1215384	166117	611	8780316	31049	17486	418
SRR8423877	764657	Illumina MiSeq	709985	106546	19953	745	762392	134802	21371	707	694371	975	975	371
SRR8423880	145708	Illumina MiSeq	119094	30261	8180	737	144875	41488	9651	676	133145	665	665	499
SRR8423883	6845865	Illumina NovaSeq 6000	5514511	931956	195800	894	5480978	958097	196121	875	5430493	16779	11947	1082
SRR8423885	14147968	Illumina NovaSeq 6000	12222932	2196280	381063	887	12154951	2267578	381044	871	11939404	41898	28527	1260
SRR8423891	146692	Illumina MiSeq	126787	23458	5470	729	146308	30735	6151	684	123894	310	310	219
SRR8423893	145661	Illumina MiSeq	125638	22212	5124	679	145261	29229	5743	650	119464	221	221	157
SRR8423905	1132226	Illumina MiSeq	971892	169344	44764	717	1125041	224626	51245	726	1055267	1703	1703	856
SRR8423910	136907	Illumina MiSeq	111077	29138	7069	751	135760	40091	8278	763	125667	548	548	456
SRR8423915	131060	Illumina MiSeq	107486	27183	7282	745	129949	37372	8457	733	119236	745	745	509
