Sample	reads.in	reads.out
SRR8423802_1.fastq.gz	211903	211903
SRR8423877_1.fastq.gz	764657	764657
SRR8423807_1.fastq.gz	951233	951230
SRR8423910_1.fastq.gz	136907	136907
SRR8423880_1.fastq.gz	145708	145707
SRR8423815_1.fastq.gz	1403665	1403663
SRR8423893_1.fastq.gz	145661	145661
SRR8423798_1.fastq.gz	97249	97249
SRR8423868_1.fastq.gz	194866	194866
SRR8423808_1.fastq.gz	1490191	1490189
SRR8423809_1.fastq.gz	1369757	1369755
SRR8423905_1.fastq.gz	1132226	1132222
SRR8423891_1.fastq.gz	146692	146692
SRR8423915_1.fastq.gz	131060	131059
SRR8423803_1.fastq.gz	261720	261720
SRR8423860_1.fastq.gz	133854	133854
SRR8423806_1.fastq.gz	1459396	1459392
SRR8423903_1.fastq.gz	1050684	1050684
SRR8423812_1.fastq.gz	29323	29323
SRR8423892_1.fastq.gz	158588	158588
SRR8423907_1.fastq.gz	1197633	1197632
SRR8423879_1.fastq.gz	175017	175016
SRR8423881_1.fastq.gz	139661	139660
SRR8423796_1.fastq.gz	1624	1624
SRR8423863_1.fastq.gz	149809	149809
SRR8423889_1.fastq.gz	187223	187223
SRR8423894_1.fastq.gz	186246	186245
SRR8423890_1.fastq.gz	108926	108926
SRR8423856_1.fastq.gz	115191	115191
SRR8423914_1.fastq.gz	156235	156234
SRR8423909_1.fastq.gz	169524	169523
SRR8423896_1.fastq.gz	205318	205318
SRR8423857_1.fastq.gz	201602	201602
SRR8423887_1.fastq.gz	175829	175829
SRR8423844_1.fastq.gz	122979	122979
SRR8423810_1.fastq.gz	147238	147238
SRR8423876_1.fastq.gz	1326845	1326845
SRR8423908_1.fastq.gz	96533	96533
SRR8423898_1.fastq.gz	1112965	1112963
SRR8423900_1.fastq.gz	984088	984088
SRR8423878_1.fastq.gz	21	21
SRR8423899_1.fastq.gz	972280	972279
SRR8423811_1.fastq.gz	143700	143700
SRR8423864_1.fastq.gz	208897	208897
SRR8423888_1.fastq.gz	172378	172377
SRR8423913_1.fastq.gz	130294	130294
SRR8423797_1.fastq.gz	108455	108455
SRR8423897_1.fastq.gz	184862	184861
SRR8423912_1.fastq.gz	173365	173365
SRR8423895_1.fastq.gz	119946	119946
SRR8423804_1.fastq.gz	114730	114730
SRR8423845_1.fastq.gz	12587	12587
SRR8423862_1.fastq.gz	161675	161675
SRR8423839_1.fastq.gz	119558	119557
SRR8423799_1.fastq.gz	1653	1653
SRR8423902_1.fastq.gz	1279222	1279219
SRR8423813_1.fastq.gz	185108	185108
SRR8423865_1.fastq.gz	216386	216386
SRR8423869_1.fastq.gz	718	718
SRR8423838_1.fastq.gz	104614	104614
SRR8423911_1.fastq.gz	173420	173420
SRR8423916_1.fastq.gz	169550	169550
SRR8423906_1.fastq.gz	1174312	1174312
SRR8423917_1.fastq.gz	185600	185600
SRR8423805_1.fastq.gz	119611	119611
SRR8423904_1.fastq.gz	1272635	1272632
SRR8423814_1.fastq.gz	1613157	1613153
SRR8423886_1.fastq.gz	183712	183712
SRR8423800_1.fastq.gz	258794	258794
SRR8423801_1.fastq.gz	121846	121846
SRR8423859_1.fastq.gz	97890	97890
SRR8423901_1.fastq.gz	888371	888371
