Sample	reads.in	reads.out
SRR8423872_1.fastq.gz	14084641	14084640
SRR8423867_1.fastq.gz	14179351	14179351
SRR8423825_1.fastq.gz	14836573	14836572
SRR8423885_1.fastq.gz	14147968	14147968
SRR8423883_1.fastq.gz	6845865	6845865
SRR8423851_1.fastq.gz	16187888	16187887
SRR8423828_1.fastq.gz	20515178	20515177
SRR8423870_1.fastq.gz	20863983	20863983
SRR8423841_1.fastq.gz	9539568	9539568
SRR8423849_1.fastq.gz	10678846	10678846
SRR8423855_1.fastq.gz	14245489	14245489
SRR8423866_1.fastq.gz	13456413	13456413
SRR8423818_1.fastq.gz	9873015	9873015
SRR8423874_1.fastq.gz	17899271	17899271
SRR8423827_1.fastq.gz	13488303	13488303
SRR8423852_1.fastq.gz	15571061	15571061
SRR8423824_1.fastq.gz	11986897	11986897
SRR8423848_1.fastq.gz	921553	921553
SRR8423842_1.fastq.gz	11595236	11595234
SRR8423832_1.fastq.gz	28063231	28063231
SRR8423884_1.fastq.gz	13668744	13668744
SRR8423833_1.fastq.gz	26039122	26039121
SRR8423840_1.fastq.gz	12264113	12264113
SRR8423873_1.fastq.gz	16305228	16305228
SRR8423829_1.fastq.gz	12975096	12975096
SRR8423817_1.fastq.gz	11305252	11305251
SRR8423826_1.fastq.gz	9833029	9833029
SRR8423821_1.fastq.gz	19915070	19915068
SRR8423846_1.fastq.gz	13031727	13031727
SRR8423823_1.fastq.gz	12672547	12672547
SRR8423816_1.fastq.gz	13537348	13537348
SRR8423853_1.fastq.gz	14855966	14855966
SRR8423831_1.fastq.gz	18010530	18010530
SRR8423871_1.fastq.gz	17109238	17109238
SRR8423835_1.fastq.gz	18898195	18898195
SRR8423834_1.fastq.gz	17720066	17720065
SRR8423830_1.fastq.gz	13794276	13794276
SRR8423875_1.fastq.gz	22275436	22275436
SRR8423843_1.fastq.gz	14272314	14272314
SRR8423837_1.fastq.gz	20016455	20016455
SRR8423882_1.fastq.gz	20240060	20240059
SRR8423854_1.fastq.gz	466603	466603
SRR8423850_1.fastq.gz	15955302	15955302
SRR8423836_1.fastq.gz	14027792	14027792
