Sample	Count	Sequencer	FLASH_merged.total	FLASH_merged.unique	FLASH_merged.multread_unique	FLASH_merged.obs_gt10k	Swarm.min2reads.FLASH_merged.total	Swarm.min2reads.FLASH_merged.unique	Swarm.min2reads.FLASH_merged.multread_unique	Swarm.min2reads.FLASH_merged.obs_gt10k
SRR8423802	211903	Illumina MiSeq	184439	32119	7043	735	159363	943	943	191
SRR8423877	764657	Illumina MiSeq	709985	106546	19953	745	623392	2080	2080	195
SRR8423807	951233	Illumina MiSeq	799781	156640	36252	743	679393	4147	4147	489
SRR8423910	136907	Illumina MiSeq	111077	29138	7069	751	89008	929	929	409
SRR8423872	14084641	Illumina NovaSeq 6000	8840624	1174881	165954	614	7831697	8146	8146	206
SRR8423880	145708	Illumina MiSeq	119094	30261	8180	737	97013	1348	1348	467
SRR8423867	14179351	Illumina NovaSeq 6000	9202767	1267149	185477	609	8121095	9680	9680	241
SRR8423815	1403665	Illumina MiSeq	1166442	187779	51521	783	1030184	3657	3657	402
SRR8423825	14836573	Illumina NovaSeq 6000	11710106	1720954	280092	735	10269244	14603	14603	431
SRR8423893	145661	Illumina MiSeq	125638	22212	5124	679	108550	694	694	162
SRR8423798	97249	Illumina MiSeq	84747	17348	4266	839	71665	669	669	201
SRR8423868	194866	Illumina MiSeq	158900	46396	10839	884	123343	2317	2317	765
SRR8423885	14147968	Illumina NovaSeq 6000	12222932	2196280	381063	887	10407715	29749	29749	988
SRR8423808	1490191	Illumina MiSeq	1261349	197025	53191	766	1117515	4511	4511	416
SRR8423809	1369757	Illumina MiSeq	1165443	185924	49466	749	1028985	4681	4681	436
SRR8423883	6845865	Illumina NovaSeq 6000	5514511	931956	195800	894	4778355	13154	13154	799
SRR8423851	16187888	Illumina NovaSeq 6000	12976024	1930438	314605	730	11360191	17193	17193	469
SRR8423905	1132226	Illumina MiSeq	971892	169344	44764	717	847312	4026	4026	512
SRR8423891	146692	Illumina MiSeq	126787	23458	5470	729	108799	834	834	219
SRR8423915	131060	Illumina MiSeq	107486	27183	7282	745	87585	1390	1390	467
SRR8423828	20515178	Illumina NovaSeq 6000	12546759	1558831	221658	703	11209586	11243	11243	221
SRR8423870	20863983	Illumina NovaSeq 6000	13023045	1540087	211926	668	11694884	10258	10258	189
SRR8423841	9539568	Illumina NovaSeq 6000	5073900	806233	116647	626	4384314	12480	12480	293
SRR8423803	261720	Illumina MiSeq	227250	37229	8221	762	198242	1044	1044	198
SRR8423849	10678846	Illumina NovaSeq 6000	8517769	2330538	299826	678	6487057	9676	9676	448
SRR8423855	14245489	Illumina NovaSeq 6000	11734802	1790005	284003	697	10228800	14749	14749	479
SRR8423860	133854	Illumina MiSeq	110837	23045	6071	678	93863	1902	1902	385
SRR8423866	13456413	Illumina NovaSeq 6000	8652847	1276182	181078	679	7557743	9414	9414	254
SRR8423806	1459396	Illumina MiSeq	1227827	194846	53727	703	1086708	5026	5026	454
SRR8423903	1050684	Illumina MiSeq	975766	142551	24448	736	857663	2195	2195	211
SRR8423812	29323	Illumina MiSeq	23959	4817	1431	833	20573	29	29	12
SRR8423818	9873015	Illumina NovaSeq 6000	8407145	1434768	238267	710	7210644	13433	13433	522
SRR8423874	17899271	Illumina NovaSeq 6000	10975252	1401024	195836	689	9770064	9021	9021	218
SRR8423827	13488303	Illumina NovaSeq 6000	8418511	1233745	175720	673	7360486	9151	9151	250
SRR8423852	15571061	Illumina NovaSeq 6000	13004263	2153257	352776	695	11203782	25002	25002	515
SRR8423892	158588	Illumina MiSeq	139473	23864	5381	741	120990	738	738	153
SRR8423907	1197633	Illumina MiSeq	1120787	151312	28884	758	998359	2573	2573	195
SRR8423879	175017	Illumina MiSeq	144776	35180	9260	738	118856	1496	1496	434
SRR8423881	139661	Illumina MiSeq	114247	32712	7447	716	88982	1416	1416	493
SRR8423796	1624	Illumina MiSeq	1438	432	112	432	1118	4	4	4
SRR8423863	149809	Illumina MiSeq	119530	35533	9646	1006	93643	3391	3391	989
SRR8423889	187223	Illumina MiSeq	161543	33067	7378	818	135854	921	921	241
SRR8423824	11986897	Illumina NovaSeq 6000	9908190	1543637	263827	719	8628380	15174	15174	517
SRR8423894	186246	Illumina MiSeq	163845	28889	6753	757	141709	884	884	186
SRR8423890	108926	Illumina MiSeq	93781	18445	4564	719	79900	785	785	229
SRR8423856	115191	Illumina MiSeq	96161	26023	7095	771	77233	1270	1270	517
SRR8423914	156235	Illumina MiSeq	129795	30120	8156	809	107831	1201	1201	415
SRR8423848	921553	Illumina NovaSeq 6000	742524	161249	31588	778	612863	3520	3520	470
SRR8423909	169524	Illumina MiSeq	140087	33412	9455	730	116130	1304	1304	421
SRR8423842	11595236	Illumina NovaSeq 6000	6239093	969439	144122	621	5413776	14798	14798	297
SRR8423896	205318	Illumina MiSeq	176130	30090	7348	694	153388	1037	1037	206
SRR8423832	28063231	Illumina NovaSeq 6000	18608307	2242402	321230	705	16687135	14955	14955	233
SRR8423884	13668744	Illumina NovaSeq 6000	11354406	1781198	331633	891	9904841	18569	18569	781
SRR8423857	201602	Illumina MiSeq	167384	42336	11120	844	136168	1667	1667	533
SRR8423833	26039122	Illumina NovaSeq 6000	18062875	2178182	299124	719	16183817	12572	12572	220
SRR8423840	12264113	Illumina NovaSeq 6000	7861053	1138826	173124	706	6895351	17706	17706	295
SRR8423873	16305228	Illumina NovaSeq 6000	9972963	1196246	167011	571	8943728	7805	7805	187
SRR8423887	175829	Illumina MiSeq	145426	34040	8609	798	119995	1305	1305	448
SRR8423844	122979	Illumina MiSeq	105591	19857	4864	713	90598	710	710	189
SRR8423829	12975096	Illumina NovaSeq 6000	9513916	1211241	184578	645	8487253	10139	10139	234
SRR8423817	11305252	Illumina NovaSeq 6000	9732110	1720015	297179	928	8309274	22432	22432	982
SRR8423810	147238	Illumina MiSeq	127756	25984	6280	794	108052	1318	1318	233
SRR8423826	9833029	Illumina NovaSeq 6000	6179633	856994	128789	762	5451428	7192	7192	240
SRR8423876	1326845	Illumina MiSeq	1233860	170095	30215	793	1093980	2728	2728	190
SRR8423908	96533	Illumina MiSeq	77642	22753	4546	791	59435	848	848	429
SRR8423821	19915070	Illumina NovaSeq 6000	16413520	2463414	413756	798	14363862	21426	21426	558
SRR8423898	1112965	Illumina MiSeq	1045783	137595	26507	724	934695	2308	2308	181
SRR8423900	984088	Illumina MiSeq	912264	129718	24952	698	807498	2327	2327	198
SRR8423846	13031727	Illumina NovaSeq 6000	10077010	1596990	258619	709	8738639	13982	13982	440
SRR8423823	12672547	Illumina NovaSeq 6000	9785000	1499115	250387	694	8536272	13719	13719	459
SRR8423816	13537348	Illumina NovaSeq 6000	12541236	1582616	249592	691	11208212	19147	19147	355
SRR8423899	972280	Illumina MiSeq	901885	139414	25435	802	787906	2038	2038	230
SRR8423811	143700	Illumina MiSeq	125069	24557	5955	816	106467	1216	1216	229
SRR8423864	208897	Illumina MiSeq	168354	45588	11529	869	134295	2479	2479	783
SRR8423888	172378	Illumina MiSeq	147912	28299	6134	761	125747	899	899	217
SRR8423913	130294	Illumina MiSeq	110329	28215	7602	722	89716	1282	1282	509
SRR8423853	14855966	Illumina NovaSeq 6000	12288062	1924242	315896	671	10679716	19150	19150	480
SRR8423797	108455	Illumina MiSeq	93530	19721	5058	799	78867	1205	1205	274
SRR8423897	184862	Illumina MiSeq	159441	29164	6758	787	137035	921	921	193
