study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJNA513845	SAMN10713970	SRS4236089	SRX5232665	SRR8423796	408172	marine metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/006/SRR8423796/SRR8423796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/006/SRR8423796/SRR8423796_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/006/SRR8423796/SRR8423796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/006/SRR8423796/SRR8423796_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/006/SRR8423796	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/006/SRR8423796		
PRJNA513845	SAMN10713971	SRS4236090	SRX5232664	SRR8423797	408172	marine metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/007/SRR8423797/SRR8423797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/007/SRR8423797/SRR8423797_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/007/SRR8423797/SRR8423797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/007/SRR8423797/SRR8423797_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/007/SRR8423797	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/007/SRR8423797		
PRJNA513845	SAMN10713968	SRS4236077	SRX5232663	SRR8423798	408172	marine metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/008/SRR8423798/SRR8423798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/008/SRR8423798/SRR8423798_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/008/SRR8423798/SRR8423798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/008/SRR8423798/SRR8423798_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/008/SRR8423798	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/008/SRR8423798		
PRJNA513845	SAMN10713969	SRS4236091	SRX5232662	SRR8423799	408172	marine metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/009/SRR8423799/SRR8423799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/009/SRR8423799/SRR8423799_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/009/SRR8423799/SRR8423799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/009/SRR8423799/SRR8423799_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/009/SRR8423799	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/009/SRR8423799		
PRJNA513845	SAMN10713966	SRS4236074	SRX5232661	SRR8423800	408172	marine metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/000/SRR8423800/SRR8423800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/000/SRR8423800/SRR8423800_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/000/SRR8423800/SRR8423800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/000/SRR8423800/SRR8423800_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/000/SRR8423800	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/000/SRR8423800		
PRJNA513845	SAMN10713967	SRS4236075	SRX5232660	SRR8423801	408172	marine metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/001/SRR8423801/SRR8423801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/001/SRR8423801/SRR8423801_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/001/SRR8423801/SRR8423801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/001/SRR8423801/SRR8423801_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/001/SRR8423801	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/001/SRR8423801		
PRJNA513845	SAMN10713964	SRS4236065	SRX5232659	SRR8423802	408172	marine metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/002/SRR8423802/SRR8423802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/002/SRR8423802/SRR8423802_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/002/SRR8423802/SRR8423802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/002/SRR8423802/SRR8423802_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/002/SRR8423802	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/002/SRR8423802		
PRJNA513845	SAMN10713965	SRS4236064	SRX5232658	SRR8423803	408172	marine metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/003/SRR8423803/SRR8423803_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/003/SRR8423803/SRR8423803_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/003/SRR8423803/SRR8423803_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/003/SRR8423803/SRR8423803_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/003/SRR8423803	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/003/SRR8423803		
PRJNA513845	SAMN10713972	SRS4236088	SRX5232657	SRR8423804	408172	marine metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/004/SRR8423804/SRR8423804_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/004/SRR8423804/SRR8423804_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/004/SRR8423804/SRR8423804_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/004/SRR8423804/SRR8423804_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/004/SRR8423804	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/004/SRR8423804		
PRJNA513845	SAMN10713973	SRS4236082	SRX5232656	SRR8423805	408172	marine metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/005/SRR8423805/SRR8423805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/005/SRR8423805/SRR8423805_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/005/SRR8423805/SRR8423805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/005/SRR8423805/SRR8423805_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR842/005/SRR8423805	ftp.sra.ebi.ac.uk/vol1/srr/SRR842/005/SRR8423805		
