Sample	Alignment.Rate
SRR8423831	0.00
SRR8423866	0.00
SRR8423852	0.00
SRR8423807	0.01
SRR8423876	0.01
SRR8423839	0.00
SRR8423804	0.00
SRR8423868	0.09
SRR8423835	0.00
SRR8423815	0.01
SRR8423824	0.00
SRR8423802	0.00
SRR8423816	0.04
SRR8423803	0.00
SRR8423907	0.00
SRR8423799	0.00
SRR8423873	0.00
SRR8423878	
SRR8423805	0.02
SRR8423915	0.00
SRR8423898	0.00
SRR8423896	0.00
SRR8423810	0.01
SRR8423870	0.00
SRR8423862	0.19
SRR8423836	0.02
SRR8423887	0.01
SRR8423909	0.00
SRR8423860	0.03
SRR8423908	0.00
SRR8423867	0.00
SRR8423899	0.00
SRR8423823	0.01
SRR8423800	0.00
SRR8423812	0.00
SRR8423796	0.00
SRR8423840	0.02
SRR8423829	0.00
SRR8423875	0.00
SRR8423859	0.05
SRR8423798	0.00
SRR8423884	0.21
SRR8423827	0.01
SRR8423850	0.00
SRR8423897	0.00
SRR8423843	0.01
SRR8423833	0.00
SRR8423874	0.00
SRR8423882	0.11
SRR8423806	0.01
SRR8423853	0.00
SRR8423854	0.01
SRR8423846	0.00
SRR8423911	0.01
SRR8423809	0.00
SRR8423914	0.00
SRR8423913	0.01
SRR8423801	0.00
SRR8423871	0.00
SRR8423886	0.01
SRR8423841	0.03
SRR8423880	0.01
SRR8423894	0.00
SRR8423842	0.02
SRR8423906	0.00
SRR8423832	0.00
SRR8423855	0.00
SRR8423916	0.10
SRR8423881	0.00
SRR8423902	0.04
SRR8423883	0.64
SRR8423891	0.00
SRR8423834	0.00
SRR8423889	0.00
SRR8423912	0.01
SRR8423818	0.01
SRR8423851	0.00
SRR8423864	0.55
SRR8423817	0.14
SRR8423910	0.01
SRR8423825	0.00
SRR8423814	0.01
SRR8423872	0.00
SRR8423863	0.12
SRR8423838	0.00
SRR8423857	0.00
SRR8423826	0.01
SRR8423830	0.00
SRR8423848	0.00
SRR8423917	0.00
SRR8423885	0.24
SRR8423879	0.01
SRR8423797	0.01
SRR8423813	0.01
SRR8423877	0.00
SRR8423888	0.00
SRR8423903	0.00
SRR8423865	0.19
SRR8423856	0.01
SRR8423828	0.00
SRR8423892	0.00
SRR8423808	0.01
SRR8423900	0.00
SRR8423893	0.00
SRR8423904	0.01
SRR8423845	0.00
SRR8423844	0.00
SRR8423890	0.01
SRR8423869	0.00
SRR8423901	0.00
SRR8423811	0.00
SRR8423849	0.00
SRR8423895	0.00
SRR8423905	0.01
SRR8423837	0.02
SRR8423821	0.00
