Sample	Kraken2.Classification_Rate	Kraken2.Bacteria	Bracken.Bacteria
SRR8423802	29.72	 29.72	99.99
SRR8423799	0.21	  0.21	100.00
SRR8423843	7.58	  7.57	99.81
SRR8423900	30.6	 30.59	99.99
SRR8423910	22.46	 22.38	99.65
SRR8423848	24.75	 24.53	99.12
SRR8423871	6.49	  6.48	99.90
SRR8423867	10.61	 10.60	99.95
SRR8423879	27.9	 27.88	99.92
SRR8423818	31.61	 31.52	99.71
SRR8423838	32.12	 32.12	99.99
SRR8423860	57.93	 57.89	99.94
SRR8423877	32.12	 32.12	99.99
SRR8423833	6.84	  6.83	99.94
SRR8423815	22.88	 22.81	99.69
SRR8423824	29.91	 29.37	98.19
SRR8423806	29.36	 29.32	99.88
SRR8423881	28.28	 28.25	99.89
SRR8423830	8.55	  8.54	99.86
SRR8423853	29.47	 29.33	99.53
SRR8423846	27.62	 27.49	99.52
SRR8423854	26.79	 26.07	97.31
SRR8423907	27.94	 27.94	99.99
SRR8423908	27.15	 26.97	99.35
SRR8423798	30.96	 30.96	99.99
SRR8423864	29.04	 28.92	99.60
SRR8423901	29.76	 29.76	99.99
SRR8423863	32.99	 32.89	99.70
SRR8423801	33.74	 33.74	99.99
SRR8423844	30.86	 30.86	99.99
SRR8423851	28.14	 27.93	99.26
SRR8423905	32.21	 32.18	99.92
SRR8423809	28.04	 28.02	99.92
SRR8423817	32.72	 32.56	99.49
SRR8423882	29.89	 29.75	99.52
SRR8423800	29.34	 29.33	99.99
SRR8423816	57.1	 57.05	99.91
SRR8423813	35.31	 35.30	99.98
SRR8423890	24.51	 24.50	99.96
SRR8423917	26.99	 26.92	99.76
SRR8423886	23.64	 23.52	99.52
SRR8423872	7.04	  7.04	99.92
SRR8423859	22.69	 22.62	99.67
SRR8423892	30.65	 30.65	99.99
SRR8423916	25.8	 25.73	99.73
SRR8423898	30.38	 30.37	99.99
SRR8423850	28.71	 28.59	99.61
SRR8423868	30.32	 30.22	99.67
SRR8423888	27.42	 27.41	100.00
SRR8423913	28.94	 28.67	99.08
SRR8423875	9.44	  9.43	99.91
SRR8423841	14.65	 14.63	99.91
SRR8423866	10.85	 10.85	99.95
SRR8423876	29.89	 29.88	99.99
SRR8423885	37.68	 37.59	99.76
SRR8423829	8.3	  8.28	99.78
SRR8423834	7.37	  7.37	99.95
SRR8423845	1.27	  1.27	100.00
SRR8423893	31.83	 31.82	99.99
SRR8423839	31.93	 31.93	99.99
SRR8423903	30.51	 30.51	99.99
SRR8423826	7.59	  7.58	99.91
SRR8423870	5.81	  5.81	99.93
SRR8423883	28.89	 28.72	99.43
SRR8423796	90.75	 90.75	100.00
SRR8423812	28.08	 28.08	100.00
SRR8423825	26.38	 26.31	99.74
SRR8423912	28.11	 27.93	99.38
SRR8423856	31.73	 31.71	99.93
SRR8423804	43.22	 43.22	99.99
SRR8423889	31.49	 31.48	99.98
SRR8423810	34.97	 34.96	99.97
SRR8423811	31.51	 31.50	99.97
SRR8423836	8.93	  8.91	99.78
SRR8423828	7.57	  7.57	99.94
SRR8423837	10.95	 10.94	99.87
SRR8423827	10.49	 10.49	99.94
SRR8423840	41.89	 41.88	99.96
SRR8423899	30.42	 30.42	99.98
SRR8423857	27.75	 27.71	99.85
SRR8423814	26.63	 26.32	98.85
SRR8423842	15.96	 15.95	99.92
SRR8423805	44.91	 44.90	99.99
SRR8423904	28.06	 28.00	99.80
SRR8423821	27.88	 27.76	99.56
SRR8423803	24.77	 24.77	99.99
SRR8423895	30.98	 30.97	99.99
SRR8423909	26.32	 26.27	99.81
SRR8423835	7.4	  7.40	99.95
SRR8423849	27.54	 27.16	98.62
SRR8423808	26.39	 26.33	99.78
SRR8423894	31.18	 31.17	99.99
SRR8423823	27.56	 27.40	99.42
SRR8423914	25.13	 25.10	99.91
SRR8423906	26.24	 26.24	99.99
SRR8423852	28.09	 27.97	99.61
SRR8423874	7.06	  7.05	99.88
SRR8423869	0.24	  0.24	100.00
SRR8423807	28.39	 28.35	99.85
SRR8423832	7.52	  7.51	99.94
SRR8423831	8.63	  8.63	99.95
SRR8423887	27.0	 26.95	99.85
SRR8423902	22.75	 22.66	99.60
SRR8423911	26.41	 26.16	99.03
SRR8423891	28.75	 28.74	99.97
SRR8423915	26.05	 25.96	99.65
SRR8423797	55.16	 55.15	99.98
SRR8423855	28.55	 28.16	98.67
SRR8423880	29.22	 29.19	99.90
SRR8423862	38.11	 38.03	99.78
SRR8423884	26.62	 26.37	99.05
SRR8423873	6.24	  6.23	99.88
SRR8423896	26.2	 26.20	99.99
SRR8423897	32.02	 32.02	100.00
SRR8423865	26.96	 26.84	99.55
