Sample	Kraken2.Classification_Rate	Kraken2.Bacteria	Bracken.Bacteria
SRR8423802	27.84	 27.82	99.95
SRR8423799	0.54	  0.54	100.00
SRR8423843	29.77	 29.76	99.96
SRR8423900	29.96	 29.94	99.95
SRR8423910	21.88	 21.71	99.23
SRR8423848	21.0	 20.72	98.67
SRR8423871	28.93	 28.92	99.98
SRR8423867	27.98	 27.97	99.98
SRR8423879	26.26	 26.14	99.57
SRR8423818	27.94	 27.83	99.62
SRR8423838	29.63	 29.61	99.93
SRR8423860	57.1	 57.04	99.90
SRR8423847	19.85	 19.66	99.04
SRR8423819	18.66	 18.46	98.97
SRR8423877	31.35	 31.33	99.95
SRR8423833	22.84	 22.83	99.98
SRR8423815	22.43	 22.25	99.23
SRR8423824	25.34	 24.77	97.78
SRR8423806	27.79	 27.67	99.56
SRR8423881	27.02	 26.92	99.63
SRR8423830	26.13	 26.12	99.96
SRR8423853	25.29	 25.15	99.45
SRR8423846	23.04	 22.89	99.38
SRR8423854	23.69	 22.92	96.74
SRR8423907	27.29	 27.27	99.95
SRR8423908	25.71	 25.36	98.61
SRR8423798	28.94	 28.92	99.94
SRR8423864	28.96	 28.79	99.41
SRR8423820	23.17	 23.06	99.54
SRR8423901	29.01	 28.99	99.95
SRR8423863	33.2	 33.04	99.51
SRR8423801	31.09	 31.07	99.93
SRR8423844	28.78	 28.77	99.96
SRR8423851	23.44	 23.26	99.22
SRR8423905	30.95	 30.84	99.67
SRR8423809	26.71	 26.57	99.51
SRR8423817	31.41	 31.21	99.35
SRR8423822	19.11	 18.73	98.02
SRR8423882	27.43	 27.24	99.30
SRR8423800	27.16	 27.13	99.93
SRR8423816	55.37	 55.32	99.90
SRR8423813	33.27	 33.24	99.93
SRR8423890	23.02	 23.00	99.88
SRR8423917	25.43	 25.33	99.59
SRR8423886	22.6	 22.37	98.98
SRR8423872	28.83	 28.82	99.98
SRR8423859	22.04	 21.91	99.41
SRR8423892	28.58	 28.57	99.96
SRR8423916	24.57	 24.42	99.40
SRR8423898	29.7	 29.69	99.94
SRR8423850	24.12	 23.98	99.45
SRR8423868	29.89	 29.73	99.46
SRR8423888	25.56	 25.54	99.93
SRR8423913	27.47	 27.01	98.33
SRR8423875	29.29	 29.28	99.97
SRR8423841	40.65	 40.64	99.98
SRR8423866	28.19	 28.18	99.97
SRR8423876	28.99	 28.97	99.92
SRR8423885	35.64	 35.54	99.74
SRR8423829	21.88	 21.86	99.93
SRR8423834	28.06	 28.05	99.98
SRR8423845	1.64	  1.64	99.51
SRR8423893	29.28	 29.26	99.94
SRR8423839	29.83	 29.81	99.94
SRR8423903	29.75	 29.74	99.96
SRR8423826	29.02	 29.01	99.98
SRR8423870	28.39	 28.39	99.98
SRR8423883	27.42	 27.21	99.24
SRR8423796	89.66	 89.60	99.93
SRR8423812	29.92	 29.91	99.95
SRR8423825	21.91	 21.84	99.68
SRR8423912	26.8	 26.50	98.92
SRR8423856	30.24	 30.12	99.63
SRR8423804	40.31	 40.29	99.96
SRR8423889	29.91	 29.87	99.90
SRR8423810	32.48	 32.45	99.92
SRR8423811	29.24	 29.21	99.92
SRR8423836	32.63	 32.61	99.96
SRR8423828	29.35	 29.35	99.98
SRR8423837	32.47	 32.46	99.96
SRR8423827	29.69	 29.68	99.98
SRR8423840	51.3	 51.29	99.97
SRR8423899	29.85	 29.83	99.92
SRR8423857	26.87	 26.72	99.45
SRR8423814	25.87	 25.21	97.45
SRR8423842	40.65	 40.64	99.98
SRR8423805	41.98	 41.96	99.96
SRR8423904	27.36	 27.20	99.39
SRR8423821	24.78	 24.60	99.27
SRR8423803	23.37	 23.36	99.92
SRR8423895	28.92	 28.90	99.91
SRR8423909	25.4	 25.25	99.42
SRR8423835	23.7	 23.70	99.98
SRR8423849	23.07	 22.66	98.19
SRR8423808	25.66	 25.51	99.41
SRR8423894	29.27	 29.25	99.94
SRR8423823	22.65	 22.44	99.05
SRR8423914	23.84	 23.78	99.74
SRR8423906	25.7	 25.69	99.93
SRR8423852	24.51	 24.38	99.49
SRR8423874	29.07	 29.06	99.97
SRR8423869	7.1	  6.96	98.04
SRR8423807	27.28	 27.16	99.57
SRR8423832	26.42	 26.41	99.98
SRR8423831	24.95	 24.95	99.98
SRR8423887	25.44	 25.30	99.43
SRR8423902	22.4	 22.23	99.26
SRR8423911	25.46	 24.88	97.74
SRR8423891	26.76	 26.74	99.92
SRR8423915	24.63	 24.34	98.87
SRR8423797	53.53	 53.50	99.96
SRR8423855	24.62	 24.23	98.43
SRR8423880	27.45	 27.33	99.60
SRR8423862	38.11	 37.96	99.66
SRR8423884	25.62	 25.36	98.98
SRR8423873	29.17	 29.16	99.98
SRR8423896	24.52	 24.51	99.95
SRR8423897	29.8	 29.78	99.93
SRR8423865	27.26	 27.04	99.25
