Sample	Library Name	Sequencer	Amplicon
SRR8423869	CBNL_068_FishE_MiSeq	Illumina MiSeq	FishE
SRR8423796	CBNL_051_F230_MiSeq	Illumina MiSeq	F230
SRR8423799	CBNL_050_F230_MiSeq	Illumina MiSeq	F230
SRR8423845	CBNL_009_F230_MiSeq	Illumina MiSeq	F230
SRR8423812	CBNL_068_F230_MiSeq	Illumina MiSeq	F230
SRR8423908	CBNL_012_FishE_MiSeq	Illumina MiSeq	FishE
SRR8423798	CBNL_044_F230_MiSeq	Illumina MiSeq	F230
SRR8423859	CBNL_044_FishE_MiSeq	Illumina MiSeq	FishE
SRR8423838	CBNL_001_F230_MiSeq	Illumina MiSeq	F230
SRR8423797	CBNL_052_F230_MiSeq	Illumina MiSeq	F230
SRR8423890	CBNL_027_F230_MiSeq	Illumina MiSeq	F230
SRR8423804	CBNL_053_F230_MiSeq	Illumina MiSeq	F230
SRR8423856	CBNL_043_FishE_MiSeq	Illumina MiSeq	FishE
SRR8423839	CBNL_002_F230_MiSeq	Illumina MiSeq	F230
SRR8423805	CBNL_054_F230_MiSeq	Illumina MiSeq	F230
SRR8423895	CBNL_012_F230_MiSeq	Illumina MiSeq	F230
SRR8423801	CBNL_043_F230_MiSeq	Illumina MiSeq	F230
SRR8423844	CBNL_043_F230_MiSeq	Illumina MiSeq	F230
SRR8423913	CBNL_027_FishE_MiSeq	Illumina MiSeq	FishE
SRR8423915	CBNL_034_FishE_MiSeq	Illumina MiSeq	FishE
SRR8423860	CBNL_052_FishE_MiSeq	Illumina MiSeq	FishE
SRR8423910	"	CBNL_019_FishE_MiSeq"	Illumina MiSeq	FishE
SRR8423881	"	CBNL_001_FishE_MiSeq"	Illumina MiSeq	FishE
SRR8423811	CBNL_060_F230_MiSeq	Illumina MiSeq	F230
SRR8423893	CBNL_010_F230_MiSeq	Illumina MiSeq	F230
SRR8423880	CBNL_002_FishE_MiSeq	Illumina MiSeq	FishE
SRR8423891	CBNL_026_F230_MiSeq	Illumina MiSeq	F230
SRR8423810	CBNL_061_F230_MiSeq	Illumina MiSeq	F230
SRR8423863	CBNL_053_FishE_MiSeq	Illumina MiSeq	FishE
SRR8423914	CBNL_028_FishE_MiSeq	Illumina MiSeq	FishE
SRR8423892	CBNL_011_F230_MiSeq	Illumina MiSeq	F230
SRR8423862	CBNL_054_FishE_MiSeq	Illumina MiSeq	FishE
SRR8423909	CBNL_018_FishE_MiSeq	Illumina MiSeq	FishE
SRR8423916	CBNL_035_FishE_MiSeq	Illumina MiSeq	FishE
SRR8423888	CBNL_020_F230_MiSeq	Illumina MiSeq	F230
SRR8423912	CBNL_026_FishE_MiSeq	Illumina MiSeq	FishE
SRR8423911	CBNL_020_FishE_MiSeq	Illumina MiSeq	FishE
SRR8423879	CBNL_003_FishE_MiSeq	Illumina MiSeq	FishE
SRR8423887	CBNL_010_FishE_MiSeq	Illumina MiSeq	FishE
SRR8423886	CBNL_011_FishE_MiSeq	Illumina MiSeq	FishE
SRR8423897	CBNL_028_F230_MiSeq	Illumina MiSeq	F230
SRR8423813	CBNL_062_F230_MiSeq	Illumina MiSeq	F230
SRR8423917	CBNL_036_FishE_MiSeq	Illumina MiSeq	FishE
SRR8423894	CBNL_018_F230_MiSeq	Illumina MiSeq	F230
SRR8423889	CBNL_019_F230_MiSeq	Illumina MiSeq	F230
SRR8423868	CBNL_062_FishE_MiSeq	Illumina MiSeq	FishE
SRR8423857	CBNL_042_FishE_MiSeq	Illumina MiSeq	FishE
SRR8423896	CBNL_034_F230_MiSeq	Illumina MiSeq	F230
SRR8423864	CBNL_061_FishE_MiSeq	Illumina MiSeq	FishE
SRR8423802	CBNL_035_F230_MiSeq	Illumina MiSeq	F230
SRR8423865	CBNL_060_FishE_MiSeq	Illumina MiSeq	FishE
SRR8423800	CBNL_042_F230_MiSeq	Illumina MiSeq	F230
SRR8423803	CBNL_036_F230_MiSeq	Illumina MiSeq	F230
SRR8423847	CBNL_019_FishE_NovaSeq	Illumina NovaSeq 6000	FishE
SRR8423854	CBNL_020_FishE_NovaSeq	Illumina NovaSeq 6000	FishE
SRR8423877	CBNL_043_F230_MiSeq_deep	Illumina MiSeq	F230
