## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[BWA-MEM_Human-hg19_Cat-felCat9-Bacteria11_Alignment/rg.bam] OUTPUT=BWA-MEM_Human-hg19_Cat-felCat9-Bacteria11_Alignment/nodup.bam METRICS_FILE=BWA-MEM_Human-hg19_Cat-felCat9-Bacteria11_Alignment/Basepaws_WGS1_MarkDuplicates_BWA_MEM_metrics.txt REMOVE_DUPLICATES=true CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 13 01:56:20 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
WGA	0	163573837	2664789	1960976	0	34053166	1343754	0.208182	346189076

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.006481	104830541	0	105672470
2.0	1.633964	19530634	1285466	19031963
3.0	2.025163	3890624	26350	3651466
4.0	2.269054	840978	1130	766184
5.0	2.421105	208908	170	187889
6.0	2.515901	66663	59	61231
7.0	2.575001	30574	42	28968
8.0	2.611846	18583	25	18015
9.0	2.634817	13131	16	12975
10.0	2.649138	10264	12	10147
11.0	2.658066	8080	12	8022
12.0	2.663632	6721	8	6704
13.0	2.667103	5661	2	5601
14.0	2.669266	4746	2	4739
15.0	2.670615	4141	2	4129
16.0	2.671456	3697	2	3660
17.0	2.67198	3225	0	3216
18.0	2.672307	2712	1	2700
19.0	2.672511	2646	1	2619
20.0	2.672638	2166	2	2163
21.0	2.672717	2131	0	2119
22.0	2.672766	1858	0	1835
23.0	2.672797	1723	1	1728
24.0	2.672816	1537	0	1545
25.0	2.672828	1469	0	1450
26.0	2.672836	1429	0	1389
27.0	2.67284	1287	2	1299
28.0	2.672843	1204	1	1207
29.0	2.672845	1205	1	1214
30.0	2.672846	1108	0	1108
31.0	2.672847	1000	0	982
32.0	2.672847	1008	0	1013
33.0	2.672848	883	0	877
34.0	2.672848	824	0	832
35.0	2.672848	733	0	716
36.0	2.672848	717	0	703
37.0	2.672848	686	0	705
38.0	2.672848	629	0	617
39.0	2.672848	558	0	559
40.0	2.672848	543	0	532
41.0	2.672848	485	0	462
42.0	2.672848	420	0	445
43.0	2.672848	393	1	389
44.0	2.672848	423	0	438
45.0	2.672848	362	0	356
46.0	2.672848	342	0	335
47.0	2.672848	324	0	309
48.0	2.672848	330	0	341
49.0	2.672848	291	0	283
50.0	2.672848	276	0	266
51.0	2.672848	253	0	269
52.0	2.672848	257	0	248
53.0	2.672848	261	0	259
54.0	2.672848	254	0	262
55.0	2.672848	241	0	230
56.0	2.672848	228	0	227
57.0	2.672848	192	0	182
58.0	2.672848	180	0	192
59.0	2.672848	200	0	207
60.0	2.672848	176	0	173
61.0	2.672848	184	0	179
62.0	2.672848	201	0	202
63.0	2.672848	152	0	162
64.0	2.672848	169	0	163
65.0	2.672848	166	0	157
66.0	2.672848	145	0	144
67.0	2.672848	128	0	128
