## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[BWA-MEM_Human-hg19_Cat-felCat9-Bacteria11_Alignment/rg.bam] OUTPUT=BWA-MEM_Human-hg19_Cat-felCat9-Bacteria11_Alignment/nodup.bam METRICS_FILE=BWA-MEM_Human-hg19_Cat-felCat9-Bacteria11_Alignment/Basepaws_WGS2_MarkDuplicates_BWA_MEM_metrics.txt REMOVE_DUPLICATES=true CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Dec 11 16:58:01 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
WGA	3819733	202370924	3224576	285988291	3184814	29764812	0	0.153501	618705276

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	147156309	147156309
2.0	1.72102	21802192	21802192
3.0	2.240891	3114209	3114209
4.0	2.615728	444662	444662
5.0	2.885994	68197	68197
6.0	3.08086	12815	12815
7.0	3.221363	3525	3525
8.0	3.322669	1477	1477
9.0	3.395712	804	804
10.0	3.448378	475	475
11.0	3.486351	365	365
12.0	3.513731	242	242
13.0	3.533472	179	179
14.0	3.547705	122	122
15.0	3.557968	101	101
16.0	3.565368	79	79
17.0	3.570703	53	53
18.0	3.57455	43	43
19.0	3.577324	56	56
20.0	3.579324	18	18
21.0	3.580766	25	25
22.0	3.581805	19	19
23.0	3.582555	19	19
24.0	3.583095	20	20
25.0	3.583485	14	14
26.0	3.583766	14	14
27.0	3.583969	6	6
28.0	3.584115	10	10
29.0	3.58422	3	3
30.0	3.584296	5	5
31.0	3.584351	4	4
32.0	3.58439	6	6
33.0	3.584419	2	2
34.0	3.584439	4	4
35.0	3.584454	1	1
36.0	3.584465	5	5
37.0	3.584472	1	1
38.0	3.584478	1	1
39.0	3.584482	2	2
40.0	3.584485	1	1
41.0	3.584487	0	0
42.0	3.584488	2	2
43.0	3.584489	2	2
44.0	3.58449	1	1
45.0	3.584491	1	1
46.0	3.584491	2	2
47.0	3.584492	1	1
48.0	3.584492	1	1
49.0	3.584492	0	0
50.0	3.584492	1	1
51.0	3.584492	0	0
52.0	3.584492	1	1
53.0	3.584492	0	0
54.0	3.584492	2	2
55.0	3.584492	1	1
56.0	3.584492	1	1
57.0	3.584492	0	0
58.0	3.584492	0	0
59.0	3.584492	0	0
60.0	3.584492	0	0
61.0	3.584492	0	0
62.0	3.584492	0	0
63.0	3.584492	1	1
64.0	3.584492	0	0
65.0	3.584492	1	1
66.0	3.584492	0	0
67.0	3.584492	2	2
68.0	3.584492	0	0
69.0	3.584492	0	0
70.0	3.584492	1	1
71.0	3.584492	1	1
72.0	3.584492	0	0
73.0	3.584492	2	2
74.0	3.584492	0	0
75.0	3.584492	1	1
76.0	3.584492	0	0
77.0	3.584492	0	0
78.0	3.584492	0	0
79.0	3.584492	0	0
80.0	3.584492	0	0
81.0	3.584492	0	0
82.0	3.584492	0	0
83.0	3.584492	0	0
84.0	3.584492	0	0
85.0	3.584492	0	0
86.0	3.584492	0	0
87.0	3.584492	0	0
88.0	3.584492	0	0
89.0	3.584492	0	0
90.0	3.584492	0	0
91.0	3.584492	0	0
92.0	3.584492	1	1
93.0	3.584492	0	0
94.0	3.584492	0	0
95.0	3.584492	0	0
96.0	3.584492	0	0
97.0	3.584492	0	0
98.0	3.584492	0	0
99.0	3.584492	0	0
100.0	3.584492	0	0
110.0	0	1	1

