## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[BWA-MEM_Human-hg19_Cat-felCat9-Bacteria11_Alignment/rg.bam] OUTPUT=BWA-MEM_Human-hg19_Cat-felCat9-Bacteria11_Alignment/nodup.bam METRICS_FILE=BWA-MEM_Human-hg19_Cat-felCat9-Bacteria11_Alignment/Bristle1_MarkDuplicates_BWA_MEM_metrics.txt REMOVE_DUPLICATES=true CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 13 03:20:25 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
WGA	28429	4780411	36281	562961	5403	529069	117050	0.11091	24812205

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.022761	3783972	0	3879727
2.0	1.866293	416136	109483	338495
3.0	2.562004	44724	3573	29238
4.0	3.135798	5133	127	2869
5.0	3.60904	792	10	502
6.0	3.99935	231	0	186
7.0	4.321263	98	0	96
8.0	4.586763	77	0	64
9.0	4.805737	41	0	33
10.0	4.986337	34	0	30
11.0	5.135289	18	0	22
12.0	5.258139	17	0	15
13.0	5.35946	3	0	3
14.0	5.443026	10	0	9
15.0	5.511948	7	0	5
16.0	5.568792	3	0	3
17.0	5.615674	4	0	3
18.0	5.654341	1	0	2
19.0	5.686231	3	0	2
20.0	5.712533	2	0	5
21.0	5.734226	5	0	2
22.0	5.752118	2	0	5
23.0	5.766874	2	0	1
24.0	5.779044	3	0	1
25.0	5.789082	0	0	0
26.0	5.79736	1	0	1
27.0	5.804188	2	0	2
28.0	5.80982	1	0	1
29.0	5.814464	4	0	4
30.0	5.818295	1	0	1
31.0	5.821454	1	0	1
32.0	5.82406	1	0	1
33.0	5.826209	0	0	0
34.0	5.827981	1	0	1
35.0	5.829443	0	0	0
36.0	5.830649	1	0	1
37.0	5.831643	0	0	0
38.0	5.832463	0	0	1
39.0	5.83314	3	0	2
40.0	5.833697	0	0	1
41.0	5.834157	0	0	0
42.0	5.834537	1	0	0
43.0	5.83485	1	0	1
44.0	5.835108	0	0	0
45.0	5.835321	0	0	0
46.0	5.835497	0	0	0
47.0	5.835641	0	0	0
48.0	5.835761	1	0	1
49.0	5.835859	0	0	1
50.0	5.835941	1	0	0
51.0	5.836008	0	0	0
52.0	5.836063	0	0	0
53.0	5.836108	0	0	0
54.0	5.836146	1	0	1
55.0	5.836177	0	0	1
56.0	5.836203	1	0	0
57.0	5.836224	0	0	0
58.0	5.836241	1	0	1
59.0	5.836255	0	0	0
60.0	5.836267	0	0	0
61.0	5.836277	0	0	0
62.0	5.836285	0	0	0
63.0	5.836292	0	0	1
64.0	5.836297	0	0	0
65.0	5.836302	0	0	0
66.0	5.836305	0	0	0
67.0	5.836309	1	0	0
68.0	5.836311	0	0	0
69.0	5.836313	0	0	0
70.0	5.836315	0	0	0
71.0	5.836316	0	0	0
72.0	5.836317	0	0	0
73.0	5.836318	0	0	0
74.0	5.836319	0	0	0
75.0	5.83632	0	0	0
76.0	5.83632	0	0	0
77.0	5.836321	0	0	0
78.0	5.836321	0	0	0
79.0	5.836322	0	0	0
80.0	5.836322	0	0	0
81.0	5.836322	0	0	0
82.0	5.836322	0	0	0
83.0	5.836322	0	0	0
84.0	5.836322	0	0	0
85.0	5.836323	0	0	0
86.0	5.836323	0	0	0
87.0	5.836323	0	0	0
88.0	5.836323	0	0	0
89.0	5.836323	0	0	0
90.0	5.836323	0	0	0
91.0	5.836323	0	0	0
92.0	5.836323	0	0	0
93.0	5.836323	0	0	0
94.0	5.836323	0	0	0
95.0	5.836323	0	0	0
96.0	5.836323	0	0	0
97.0	5.836323	0	0	0
98.0	5.836323	0	0	0
99.0	5.836323	0	0	0
100.0	5.836323	0	0	0

