## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[BWA-MEM_Human-hg19_Cat-felCat9-Bacteria11_Alignment/rg.bam] OUTPUT=BWA-MEM_Human-hg19_Cat-felCat9-Bacteria11_Alignment/nodup.bam METRICS_FILE=BWA-MEM_Human-hg19_Cat-felCat9-Bacteria11_Alignment/Nebula_lcWGS_MarkDuplicates_BWA_MEM_metrics.txt REMOVE_DUPLICATES=true CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Dec 11 20:01:52 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
WGA	16202	4187722	76330	460058	4665	725659	29813	0.173504	10993919

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.005892	2866850	0	2887588
2.0	1.693155	491583	29246	477717
3.0	2.162718	84895	282	79676
4.0	2.483542	14658	1	13415
5.0	2.702741	2794	0	2465
6.0	2.852506	623	0	563
7.0	2.954831	256	0	243
8.0	3.024743	103	0	97
9.0	3.07251	63	0	64
10.0	3.105146	54	0	55
11.0	3.127444	36	0	34
12.0	3.142679	32	0	32
13.0	3.153088	19	0	18
14.0	3.1602	15	0	16
15.0	3.165059	18	0	17
16.0	3.168379	14	0	15
17.0	3.170647	9	0	8
18.0	3.172197	4	0	5
19.0	3.173256	5	0	3
20.0	3.173979	4	0	6
21.0	3.174474	4	0	5
22.0	3.174811	6	0	3
23.0	3.175042	1	0	2
24.0	3.1752	2	0	1
25.0	3.175308	0	0	0
26.0	3.175381	1	0	1
27.0	3.175431	0	0	0
28.0	3.175466	1	0	1
29.0	3.175489	1	0	1
30.0	3.175505	0	0	0
31.0	3.175516	2	0	2
32.0	3.175524	0	0	0
33.0	3.175529	0	0	1
34.0	3.175532	1	0	0
35.0	3.175535	4	0	4
36.0	3.175536	2	0	2
37.0	3.175537	0	0	0
38.0	3.175538	0	0	0
39.0	3.175539	0	0	0
40.0	3.175539	0	0	0
41.0	3.175539	0	0	0
42.0	3.175539	0	0	0
43.0	3.17554	0	0	0
44.0	3.17554	0	0	0
45.0	3.17554	1	0	1
46.0	3.17554	0	0	0
47.0	3.17554	0	0	0
48.0	3.17554	0	0	0
49.0	3.17554	1	0	1
50.0	3.17554	0	0	0
51.0	3.17554	0	0	0
52.0	3.17554	0	0	0
53.0	3.17554	0	0	0
54.0	3.17554	0	0	1
55.0	3.17554	1	0	0
56.0	3.17554	0	0	0
57.0	3.17554	0	0	0
58.0	3.17554	0	0	0
59.0	3.17554	0	0	0
60.0	3.17554	0	0	0
61.0	3.17554	0	0	0
62.0	3.17554	0	0	0
63.0	3.17554	0	0	0
64.0	3.17554	0	0	0
65.0	3.17554	0	0	0
66.0	3.17554	0	0	0
67.0	3.17554	0	0	0
68.0	3.17554	0	0	0
69.0	3.17554	0	0	0
70.0	3.17554	0	0	0
71.0	3.17554	0	0	0
72.0	3.17554	0	0	0
73.0	3.17554	0	0	0
74.0	3.17554	0	0	0
75.0	3.17554	0	0	0
76.0	3.17554	0	0	0
77.0	3.17554	0	0	0
78.0	3.17554	0	0	0
79.0	3.17554	0	0	0
80.0	3.17554	0	0	0
81.0	3.17554	0	0	0
82.0	3.17554	0	0	0
83.0	3.17554	0	0	0
84.0	3.17554	0	0	0
85.0	3.17554	0	0	0
86.0	3.17554	0	0	0
87.0	3.17554	0	0	0
88.0	3.17554	0	0	0
89.0	3.17554	0	0	0
90.0	3.17554	0	0	0
91.0	3.17554	0	0	0
92.0	3.17554	0	0	0
93.0	3.17554	0	0	0
94.0	3.17554	0	0	0
95.0	3.17554	0	0	0
96.0	3.17554	0	0	0
97.0	3.17554	0	0	0
98.0	3.17554	0	0	0
99.0	3.17554	0	0	0
100.0	3.17554	0	0	0

