## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[BWA-MEM_Human-hg19_Cat-felCat9-Bacteria11_Alignment/rg.bam] OUTPUT=BWA-MEM_Human-hg19_Cat-felCat9-Bacteria11_Alignment/nodup.bam METRICS_FILE=BWA-MEM_Human-hg19_Cat-felCat9-Bacteria11_Alignment/SequencingDotCom_WGS_MarkDuplicates_BWA_MEM_metrics.txt REMOVE_DUPLICATES=true CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Dec 14 13:08:50 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
WGA	807894	432145208	3752694	11934752	485452	20947169	0	0.048988	4312387319

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	397283412	397283412
2.0	1.904647	12454412	12454412
3.0	2.723034	594406	594406
4.0	3.463385	258466	258466
5.0	4.133142	150641	150641
6.0	4.739035	97626	97626
7.0	5.287155	67824	67824
8.0	5.78301	49292	49292
9.0	6.231584	37585	37585
10.0	6.637386	28753	28753
11.0	7.004493	22888	22888
12.0	7.336595	18550	18550
13.0	7.63703	15121	15121
14.0	7.908818	12732	12732
15.0	8.154691	10502	10502
16.0	8.377118	9376	9376
17.0	8.578337	7862	7862
18.0	8.760369	6825	6825
19.0	8.925044	6116	6116
20.0	9.074016	5222	5222
21.0	9.208783	4506	4506
22.0	9.330701	4100	4100
23.0	9.440992	3679	3679
24.0	9.540768	3309	3309
25.0	9.631029	2948	2948
26.0	9.712684	2722	2722
27.0	9.786553	2462	2462
28.0	9.853378	2207	2207
29.0	9.913831	1924	1924
30.0	9.96852	1799	1799
31.0	10.017994	1649	1649
32.0	10.062751	1535	1535
33.0	10.10324	1372	1372
34.0	10.139868	1354	1354
35.0	10.173003	1217	1217
36.0	10.202979	1136	1136
37.0	10.230097	1064	1064
38.0	10.254629	950	950
39.0	10.276822	909	909
40.0	10.296899	854	854
41.0	10.315061	814	814
42.0	10.331491	813	813
43.0	10.346355	676	676
44.0	10.359802	655	655
45.0	10.371966	632	632
46.0	10.38297	598	598
47.0	10.392925	556	556
48.0	10.401931	544	544
49.0	10.410078	527	527
50.0	10.417449	499	499
51.0	10.424116	440	440
52.0	10.430148	392	392
53.0	10.435605	396	396
54.0	10.440541	357	357
55.0	10.445006	337	337
56.0	10.449046	376	376
57.0	10.452701	275	275
58.0	10.456007	308	308
59.0	10.458998	333	333
60.0	10.461703	260	260
61.0	10.464151	260	260
62.0	10.466365	225	225
63.0	10.468369	240	240
64.0	10.470181	235	235
65.0	10.47182	244	244
66.0	10.473303	226	226
67.0	10.474645	202	202
68.0	10.475858	188	188
69.0	10.476956	186	186
70.0	10.47795	199	199
71.0	10.478848	186	186
72.0	10.479661	165	165
73.0	10.480397	171	171
74.0	10.481062	145	145
75.0	10.481664	124	124
76.0	10.482208	149	149
77.0	10.482701	134	134
