## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[BWA-MEM_Human-hg19_Cat-felCat9-Bacteria11_Alignment/rg.bam] OUTPUT=BWA-MEM_Human-hg19_Cat-felCat9-Bacteria11_Alignment/nodup.bam METRICS_FILE=BWA-MEM_Human-hg19_Cat-felCat9-Bacteria11_Alignment/Veritas_WGS_MarkDuplicates_BWA_MEM_metrics.txt REMOVE_DUPLICATES=true CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Dec 12 13:17:48 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
WGA	103181	236605218	2606396	120953	38921	16093527	4165524	0.068086	2186602141

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.016969	206598302	0	210331424
2.0	1.92964	12751745	3996620	9383149
3.0	2.748709	873908	81216	545625
4.0	3.483776	129915	2018	101651
5.0	4.143456	50546	87	46731
6.0	4.73548	28353	5	27066
7.0	5.266788	18333	4	17689
8.0	5.743606	12833	0	12387
9.0	6.171522	9228	1	8905
10.0	6.555552	6816	0	6654
11.0	6.900197	5413	0	5119
12.0	7.209495	4070	0	3881
13.0	7.487073	3288	0	3211
14.0	7.736183	2758	1	2694
15.0	7.959744	2135	0	2052
16.0	8.160378	1889	0	1822
17.0	8.340435	1570	0	1538
18.0	8.502025	1338	0	1265
19.0	8.647044	1144	0	1080
20.0	8.777189	930	0	887
21.0	8.893987	788	0	755
22.0	8.998806	682	0	674
23.0	9.092876	630	0	596
24.0	9.177298	513	0	504
25.0	9.253061	493	0	477
26.0	9.321055	405	0	389
27.0	9.382075	372	0	374
28.0	9.436837	320	0	303
29.0	9.485983	306	0	266
30.0	9.530088	243	0	230
31.0	9.569671	236	0	231
32.0	9.605193	209	0	197
33.0	9.637073	177	0	178
34.0	9.665683	178	0	183
35.0	9.691359	176	0	150
36.0	9.714401	146	0	132
37.0	9.735081	142	0	142
38.0	9.753639	115	0	113
39.0	9.770294	104	0	91
40.0	9.785242	88	0	89
41.0	9.798656	98	0	95
42.0	9.810694	61	0	69
43.0	9.821498	75	0	55
44.0	9.831194	53	0	57
45.0	9.839895	52	0	59
46.0	9.847704	66	0	50
47.0	9.854712	51	0	43
48.0	9.861002	37	0	31
49.0	9.866646	30	0	27
50.0	9.871711	37	0	34
51.0	9.876257	33	0	28
52.0	9.880337	18	0	14
53.0	9.883998	19	0	25
54.0	9.887284	22	0	16
55.0	9.890233	20	0	19
56.0	9.89288	23	0	26
57.0	9.895255	20	0	17
58.0	9.897386	14	0	20
59.0	9.899299	16	0	9
60.0	9.901015	11	0	13
61.0	9.902556	14	0	8
62.0	9.903939	7	0	8
63.0	9.905179	12	0	5
64.0	9.906293	7	0	6
65.0	9.907292	5	0	4
66.0	9.908189	4	0	8
67.0	9.908994	4	0	4
68.0	9.909716	7	0	5
69.0	9.910365	6	0	4
70.0	9.910946	2	0	2
71.0	9.911469	2	0	1
72.0	9.911937	3	0	0
73.0	9.912358	1	0	4
74.0	9.912735	2	0	3
75.0	9.913074	1	0	0
76.0	9.913378	1	0	1
77.0	9.91365	3	0	5
78.0	9.913895	3	0	0
79.0	9.914115	1	0	1
80.0	9.914312	0	0	0
81.0	9.914489	1	0	1
82.0	9.914648	1	0	0
83.0	9.91479	1	0	1
84.0	9.914918	2	0	1
85.0	9.915033	0	0	0
86.0	9.915136	0	0	0
87.0	9.915228	0	0	0
88.0	9.915311	0	0	0
89.0	9.915386	0	0	1
90.0	9.915453	1	0	0
91.0	9.915513	0	0	0
92.0	9.915566	0	0	0
93.0	9.915615	0	0	0
94.0	9.915658	0	0	0
95.0	9.915697	0	0	0
96.0	9.915732	0	0	0
97.0	9.915763	0	0	0
98.0	9.915791	0	0	0
99.0	9.915816	0	0	0
100.0	9.915839	0	0	0
105.0	0	0	0	2
107.0	0	2	0	1
109.0	0	1	0	0
125.0	0	0	0	1
129.0	0	1	0	0
150.0	0	0	0	1
152.0	0	1	0	0
220.0	0	0	0	1
226.0	0	1	0	0
240.0	0	0	0	1
248.0	0	1	0	0

