## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[Bowtie2_Bacteria11_Alignment/rg.bam] OUTPUT=Bowtie2_Bacteria11_Alignment/nodup.bam METRICS_FILE=Bowtie2_Bacteria11_Alignment/Bristle1_MarkDuplicates_BWA_MEM_metrics.txt REMOVE_DUPLICATES=true CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 06 12:20:18 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
WGA	20679	62441	0	10006651	3377	6361	1417	0.1106	355982

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.021245	50370	0	51536
2.0	1.878188	5131	1333	4171
3.0	2.597265	514	42	349
4.0	3.200654	60	0	21
5.0	3.706968	3	0	3
6.0	4.131825	2	0	0
7.0	4.48833	0	0	0
8.0	4.787479	0	0	0
9.0	5.038501	0	0	0
10.0	5.249137	0	0	0
11.0	5.425885	0	0	0
12.0	5.574198	0	0	0
13.0	5.69865	0	0	0
14.0	5.803079	0	0	0
15.0	5.890708	0	0	0
16.0	5.964239	0	0	0
17.0	6.02594	0	0	0
18.0	6.077714	0	0	0
19.0	6.121159	0	0	0
20.0	6.157614	0	0	0
21.0	6.188204	0	0	0
22.0	6.213873	0	0	0
23.0	6.235412	0	0	0
24.0	6.253486	0	0	0
25.0	6.268652	0	0	0
26.0	6.281378	0	0	0
27.0	6.292056	0	0	0
28.0	6.301017	0	0	0
29.0	6.308536	0	0	0
30.0	6.314845	0	0	0
31.0	6.32014	0	0	0
32.0	6.324582	0	0	0
33.0	6.32831	0	0	0
34.0	6.331438	0	0	0
35.0	6.334063	0	0	0
36.0	6.336265	0	0	0
37.0	6.338114	0	0	0
38.0	6.339665	0	0	0
39.0	6.340966	0	0	0
40.0	6.342058	0	0	0
41.0	6.342974	0	0	0
42.0	6.343743	0	0	0
43.0	6.344388	0	0	0
44.0	6.34493	0	0	0
45.0	6.345384	0	0	0
46.0	6.345765	0	0	0
47.0	6.346085	0	0	0
48.0	6.346353	0	0	0
49.0	6.346579	0	0	0
50.0	6.346767	0	0	0
51.0	6.346926	0	0	0
52.0	6.347059	0	0	0
53.0	6.347171	0	0	0
54.0	6.347265	0	0	0
55.0	6.347343	0	0	0
56.0	6.347409	0	0	0
57.0	6.347464	0	0	0
58.0	6.347511	0	0	0
59.0	6.34755	0	0	0
60.0	6.347583	0	0	0
61.0	6.34761	0	0	0
62.0	6.347633	0	0	0
63.0	6.347652	0	0	0
64.0	6.347669	0	0	0
65.0	6.347682	0	0	0
66.0	6.347694	0	0	0
67.0	6.347703	0	0	0
68.0	6.347711	0	0	0
69.0	6.347718	0	0	0
70.0	6.347724	0	0	0
71.0	6.347728	0	0	0
72.0	6.347732	0	0	0
73.0	6.347736	0	0	0
74.0	6.347739	0	0	0
75.0	6.347741	0	0	0
76.0	6.347743	0	0	0
77.0	6.347745	0	0	0
78.0	6.347746	0	0	0
79.0	6.347747	0	0	0
80.0	6.347748	0	0	0
81.0	6.347749	0	0	0
82.0	6.34775	0	0	0
83.0	6.34775	0	0	0
84.0	6.347751	0	0	0
85.0	6.347751	0	0	0
86.0	6.347751	0	0	0
87.0	6.347752	0	0	0
88.0	6.347752	0	0	0
89.0	6.347752	0	0	0
90.0	6.347752	0	0	0
91.0	6.347752	0	0	0
92.0	6.347753	0	0	0
93.0	6.347753	0	0	0
94.0	6.347753	0	0	0
95.0	6.347753	0	0	0
96.0	6.347753	0	0	0
97.0	6.347753	0	0	0
98.0	6.347753	0	0	0
99.0	6.347753	0	0	0
100.0	6.347753	0	0	0

