## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[Bowtie2_Bacteria11_Alignment/rg.bam] OUTPUT=Bowtie2_Bacteria11_Alignment/nodup.bam METRICS_FILE=Bowtie2_Bacteria11_Alignment/SequencingDotCom_WGS_MarkDuplicates_BWA_MEM_metrics.txt REMOVE_DUPLICATES=true CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 06 22:52:40 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
WGA	690637	3580770	0	869180885	480449	104089	0	0.087699	60391644

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	3376982	3376982
2.0	1.942431	95830	95830
3.0	2.830607	3461	3461
4.0	3.667652	333	333
5.0	4.45651	53	53
6.0	5.199953	12	12
7.0	5.900598	7	7
8.0	6.560907	0	0
9.0	7.183202	3	3
10.0	7.769673	0	0
11.0	8.322382	0	0
12.0	8.843271	0	0
13.0	9.334174	0	0
14.0	9.796816	0	0
15.0	10.232824	0	0
16.0	10.643731	0	0
17.0	11.030983	0	0
18.0	11.395942	0	0
19.0	11.73989	0	0
20.0	12.064037	0	0
21.0	12.369524	0	0
22.0	12.657424	0	0
23.0	12.92875	0	0
24.0	13.184456	0	0
25.0	13.425441	0	0
26.0	13.652553	0	0
27.0	13.86659	0	0
28.0	14.068306	0	0
29.0	14.258409	0	0
30.0	14.437568	0	0
31.0	14.606413	0	0
32.0	14.765538	0	0
33.0	14.915502	0	0
34.0	15.056833	0	0
35.0	15.190027	0	0
36.0	15.315554	0	0
37.0	15.433854	0	0
38.0	15.545344	0	0
39.0	15.650416	0	0
40.0	15.749438	0	0
41.0	15.84276	0	0
42.0	15.93071	0	0
43.0	16.013596	0	0
44.0	16.091711	0	0
45.0	16.165329	0	0
46.0	16.234708	0	0
47.0	16.300094	0	0
48.0	16.361715	0	0
49.0	16.419789	0	0
50.0	16.47452	0	0
51.0	16.5261	0	0
52.0	16.57471	0	0
53.0	16.620522	0	0
54.0	16.663697	0	0
55.0	16.704386	0	0
56.0	16.742733	0	0
57.0	16.778872	0	0
58.0	16.812931	0	0
59.0	16.845029	0	0
60.0	16.875279	0	0
61.0	16.903787	0	0
62.0	16.930655	0	0
63.0	16.955975	0	0
64.0	16.979838	0	0
65.0	17.002328	0	0
66.0	17.023522	0	0
67.0	17.043497	0	0
68.0	17.062321	0	0
69.0	17.080062	0	0
70.0	17.096781	0	0
71.0	17.112538	0	0
72.0	17.127388	0	0
73.0	17.141383	0	0
74.0	17.154573	0	0
75.0	17.167003	0	0
76.0	17.178717	0	0
77.0	17.189757	0	0
78.0	17.200161	0	0
79.0	17.209967	0	0
80.0	17.219208	0	0
81.0	17.227917	0	0
82.0	17.236125	0	0
83.0	17.24386	0	0
84.0	17.25115	0	0
85.0	17.25802	0	0
86.0	17.264494	0	0
87.0	17.270596	0	0
88.0	17.276347	0	0
89.0	17.281766	0	0
90.0	17.286874	0	0
91.0	17.291688	0	0
92.0	17.296224	0	0
93.0	17.300499	0	0
94.0	17.304528	0	0
95.0	17.308326	0	0
96.0	17.311904	0	0
97.0	17.315277	0	0
98.0	17.318455	0	0
99.0	17.321451	0	0
100.0	17.324274	0	0

