## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[Bowtie2_Bacteria11_Alignment/rg.bam] OUTPUT=Bowtie2_Bacteria11_Alignment/nodup.bam METRICS_FILE=Bowtie2_Bacteria11_Alignment/Veritas_WGS_MarkDuplicates_BWA_MEM_metrics.txt REMOVE_DUPLICATES=true CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 06 07:30:22 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
WGA	269	333	0	473433635	10	14	5	0.040642	5867

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.014815	306	0	311
2.0	1.973636	12	5	7
3.0	2.879551	1	0	1
4.0	3.73548	0	0	0
5.0	4.544181	0	0	0
6.0	5.30826	0	0	0
7.0	6.030179	0	0	0
8.0	6.712264	0	0	0
9.0	7.356714	0	0	0
10.0	7.965604	0	0	0
11.0	8.540898	0	0	0
12.0	9.084448	0	0	0
13.0	9.598007	0	0	0
14.0	10.083228	0	0	0
15.0	10.541677	0	0	0
16.0	10.974829	0	0	0
17.0	11.384082	0	0	0
18.0	11.770752	0	0	0
19.0	12.136087	0	0	0
20.0	12.481264	0	0	0
21.0	12.807395	0	0	0
22.0	13.115531	0	0	0
23.0	13.406665	0	0	0
24.0	13.681735	0	0	0
25.0	13.941627	0	0	0
26.0	14.187179	0	0	0
27.0	14.419182	0	0	0
28.0	14.638383	0	0	0
29.0	14.84549	0	0	0
30.0	15.041169	0	0	0
31.0	15.226051	0	0	0
32.0	15.400732	0	0	0
33.0	15.565774	0	0	0
34.0	15.72171	0	0	0
35.0	15.869041	0	0	0
36.0	16.008243	0	0	0
37.0	16.139764	0	0	0
38.0	16.264029	0	0	0
39.0	16.381436	0	0	0
40.0	16.492366	0	0	0
41.0	16.597175	0	0	0
42.0	16.6962	0	0	0
43.0	16.789762	0	0	0
44.0	16.878161	0	0	0
45.0	16.961682	0	0	0
46.0	17.040595	0	0	0
47.0	17.115154	0	0	0
48.0	17.185599	0	0	0
49.0	17.252157	0	0	0
50.0	17.315042	0	0	0
51.0	17.374457	0	0	0
52.0	17.430595	0	0	0
53.0	17.483634	0	0	0
54.0	17.533747	0	0	0
55.0	17.581095	0	0	0
56.0	17.62583	0	0	0
57.0	17.668097	0	0	0
58.0	17.708032	0	0	0
59.0	17.745763	0	0	0
60.0	17.781413	0	0	0
61.0	17.815095	0	0	0
62.0	17.846919	0	0	0
63.0	17.876987	0	0	0
64.0	17.905396	0	0	0
65.0	17.932237	0	0	0
66.0	17.957597	0	0	0
67.0	17.981558	0	0	0
68.0	18.004197	0	0	0
69.0	18.025587	0	0	0
70.0	18.045796	0	0	0
71.0	18.06489	0	0	0
72.0	18.082931	0	0	0
73.0	18.099977	0	0	0
74.0	18.116081	0	0	0
75.0	18.131298	0	0	0
76.0	18.145674	0	0	0
77.0	18.159257	0	0	0
78.0	18.172091	0	0	0
79.0	18.184217	0	0	0
80.0	18.195674	0	0	0
81.0	18.206498	0	0	0
82.0	18.216725	0	0	0
83.0	18.226388	0	0	0
84.0	18.235518	0	0	0
85.0	18.244144	0	0	0
86.0	18.252294	0	0	0
87.0	18.259994	0	0	0
88.0	18.26727	0	0	0
89.0	18.274144	0	0	0
90.0	18.280638	0	0	0
91.0	18.286775	0	0	0
92.0	18.292573	0	0	0
93.0	18.29805	0	0	0
94.0	18.303226	0	0	0
95.0	18.308116	0	0	0
96.0	18.312736	0	0	0
97.0	18.317101	0	0	0
98.0	18.321226	0	0	0
99.0	18.325123	0	0	0
100.0	18.328805	0	0	0

