Genus	Basepaws_WGS1	Basepaws_WGS2	Bristle1	Nebula_lcWGS	SequencingDotCom_WGS	Veritas_WGS
Capnocytophaga_NZ_CP022387.1	145	4462835	96.5	192	5378.5	11.5
Komagataeibacter_NZ_CP050139.1	283.5	710712.5	205.5	302.5	4843.5	9
Porphyromonas_NC_010729.1	499	658838.5	177.5	336	1395	5.5
Prevotella_NZ_CP072373.1	27	338993.5	2418.5	4459.5	43169	215
Pseudomonas_NZ_CP063233.1	306.5	1714057	514.5	1092.5	13086.5	21.5
Rothia_NZ_CP079201.1	99	226108	24579	29984	562680	126.5
Staphylococcus_NZ_CP040625.1	137.5	125994	526.5	754	16344	36
Streptococcus_NZ_CP097843.1	102.5	91251	89080.5	79219.5	3522619.5	605.5
Tannerella_NC_016610.1	258.5	6867903	272	497	4776.5	14
Treponema_NC_002967.9	79	2522241	78.5	90.5	1887	8
Veillonella_NZ_CP019721.1	78	87460	6851	18525	1181488.5	494.5
