Genus	Basepaws_WGS1	Basepaws_WGS2	Bristle1	Nebula_lcWGS	SequencingDotCom_WGS	Veritas_WGS
Capnocytophaga_NZ_CP022387.1	3e-04	7.346	0.0271	0.0537	0.0571	0.0227
Komagataeibacter_NZ_CP050139.1	7e-04	1.1699	0.0577	0.0845	0.0514	0.0178
Porphyromonas_NC_010729.1	0.0012	1.0845	0.0498	0.0939	0.0148	0.0109
Prevotella_NZ_CP072373.1	1e-04	0.558	0.6788	1.2462	0.4584	0.425
Pseudomonas_NZ_CP063233.1	7e-04	2.8214	0.1444	0.3053	0.139	0.0425
Rothia_NZ_CP079201.1	2e-04	0.3722	6.8982	8.3791	5.9746	0.2501
Staphylococcus_NZ_CP040625.1	3e-04	0.2074	0.1478	0.2107	0.1735	0.0712
Streptococcus_NZ_CP097843.1	2e-04	0.1502	25.0007	22.1382	37.4035	1.197
Tannerella_NC_016610.1	6e-04	11.3048	0.0763	0.1389	0.0507	0.0277
Treponema_NC_002967.9	2e-04	4.1517	0.022	0.0253	0.02	0.0158
Veillonella_NZ_CP019721.1	2e-04	0.144	1.9228	5.1769	12.5452	0.9776
