Genus	Basepaws_WGS1	Basepaws_WGS2	Bristle1	Nebula_lcWGS	SequencingDotCom_WGS	Veritas_WGS
Capnocytophaga_NZ_CP022387.1	0	2741978	2.5	1.5	456.5	0
Komagataeibacter_NZ_CP050139.1	1	0	1.5	0	0	0
Porphyromonas_NC_010729.1	3	118422.5	14.5	22.5	93.5	0
Prevotella_NZ_CP072373.1	0	8328	657.5	1124	11334.5	26
Pseudomonas_NZ_CP063233.1	0	0	13.5	33.5	1002	0
Rothia_NZ_CP079201.1	0	4847	19311	24076.5	449804	16.5
Staphylococcus_NZ_CP040625.1	0	0	76.5	122	2159	2
Streptococcus_NZ_CP097843.1	3	135.5	31859	24246	1779548	147
Tannerella_NC_016610.1	0	2157162	45.5	48.5	732	3
Treponema_NC_002967.9	0	487796.5	19	6	641.5	1
Veillonella_NZ_CP019721.1	2.5	0	2391	6956.5	990689.5	118.5
