Genus	Basepaws_WGS1	Basepaws_WGS2	Bristle1	Nebula_lcWGS	SequencingDotCom_WGS	Veritas_WGS
Capnocytophaga_NZ_CP022387.1	0	4.5134	7e-04	4e-04	0.0048	0
Komagataeibacter_NZ_CP050139.1	0	0	4e-04	0	0	0
Porphyromonas_NC_010729.1	0	0.1949	0.0041	0.0063	0.001	0
Prevotella_NZ_CP072373.1	0	0.0137	0.1845	0.3141	0.1204	0.0514
Pseudomonas_NZ_CP063233.1	0	0	0.0038	0.0094	0.0106	0
Rothia_NZ_CP079201.1	0	0.008	5.4197	6.7283	4.7761	0.0326
Staphylococcus_NZ_CP040625.1	0	0	0.0215	0.0341	0.0229	0.004
Streptococcus_NZ_CP097843.1	0	2e-04	8.9413	6.7756	18.8954	0.2906
Tannerella_NC_016610.1	0	3.5508	0.0128	0.0136	0.0078	0.0059
Treponema_NC_002967.9	0	0.8029	0.0053	0.0017	0.0068	0.002
Veillonella_NZ_CP019721.1	0	0	0.671	1.944	10.5192	0.2343
