Genus	Basepaws_WGS1	Basepaws_WGS2	Bristle1	Kean5	Kean6a	Kean6b	Nebula_lcWGS	Ombre5	Ombre6	PetQCheck1	PetQCheck2	PetQCheck3	PetQCheck4	Psomagen1a	Psomagen1b	Psomagen2	Psomagen3	Psomagen4	SequencingDotCom_WGS	thryve2	thryve3a	thryve3b	thryve4	uBiome_Fecal2013	uBiome_Fecal2014	uBiome_Fecal2019	uBiome_Oral2014	uBiome_Oral2019	Veritas_WGS
Komagataeibacter	9966630	295	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	5	0	0	0	0	0	0	0	0	0	0	0
Acetobacter	11	39	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
Gluconobacter	10	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neokomagataea	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseomonas	4	8	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidiphilium	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gluconacetobacter	2	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parasaccharibacter	1	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Granulibacter	1	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Swingsia	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azospirillum	21	455	0	0	0	3	1	0	0	0	0	0	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	0
Hypericibacter	7	69	0	4	4	0	0	0	0	0	0	1	0	3	2	0	3	6	1	0	0	0	0	0	0	0	0	0	0
