Genus	Basepaws_WGS1	Basepaws_WGS2	Bristle1	Kean5	Kean6a	Kean6b	Nebula_lcWGS	Ombre5	Ombre6	PetQCheck1	PetQCheck2	PetQCheck3	PetQCheck4	Psomagen1a	Psomagen1b	Psomagen2	Psomagen3	Psomagen4	SequencingDotCom_WGS	thryve2	thryve3a	thryve3b	thryve4	uBiome_Fecal2013	uBiome_Fecal2014	uBiome_Fecal2019	uBiome_Oral2014	uBiome_Oral2019	Veritas_WGS
Komagataeibacter	92.9122485020875	0.0027639116339037	0	0	0	0	0	0	0	0	0	0	0	0	0	5.21012024176e-05	2.24771379410717e-05	0.000110216301696405	0	0	0	0	0	0	0	0	0	0	0
Burkholderia	2.90771971248432	0.0991260511413597	0	0.00245164738445999	0.00411191984119482	0.00381733684310811	0.000649127248414507	0	0	0.0109404060453558	0.14655063233884	0	0	0	0.00260057026236261	0.005079867235716	0.0037312048982179	0.0025570181993566	0.00226430125742656	0	0	0	0	0	0	0	0	0	1.56141568355309
Cupriavidus	0.419057534459073	0.0370551542782682	0	0	4.72634464505152e-05	3.26268106248556e-05	0	0	0	1.70982917337418	3.05404280725878	2.81880733944954	0.915768617406853	0	7.76289630556002e-05	5.21012024176e-05	4.49542758821434e-05	4.40865206785621e-05	2.31051148716996e-05	0	0	0	0	0	0	0	0	0	0
Lautropia	5.59340008621294e-05	0.066371355981606	0.0190174326465927	0	0	0	0.00714039973255957	0	0	0	0	0	0	0	9.70362038195002e-05	0	2.24771379410717e-05	0	0.0664734154858798	0	0	0	0	0.00353910713382881	0	0	1.43167028199566	0.257133293436254	0.208188757807078
Neisseria	0.000410182672988949	2.36692023135533	5.76782884310618	0	0.000189053785802061	9.78804318745669e-05	5.38386139834992	0	0	0	0.0018092670659116	0.00917431192660551	0.00241627603537428	0.00145134721305051	9.70362038195002e-05	0.0002084048096704	0.000314679931175004	0.000440865206785621	0.673144416672096	0	0	0	0	0	0	0	0.017353579175705	0.211995496363618	1.97779319916725
Klebsiella	2.12119443702801	0.00321363284891175	0.0903328050713154	0.000245164738445999	0.000850742036109273	0.00300166657748672	0.04608803463743	0	0	0.00156291514933654	0.0018092670659116	0	0	0.00108851040978789	0.000970362038195002	0.0011462264531872	0.00101147120734823	0.0121678797072831	0.00157114781127557	0	0	0	0.0219551018167847	0	0	0	0	0	1.28383067314365
Salmonella	0.00465184440503376	0.0219801243835189	0	0.0274584507059519	0.0432933169486719	0.00244701079686417	0	0	0	0.525139490177078	0.886540862296684	0.0344036697247706	0	0.0377350275393134	0.000815104112083802	0.0012504288580224	0.000337157069116075	0.0270470804362978	0.00198703987896617	0	0	0	2.93649486799495	0.00404469386723292	0	0	0	3.18043961171351	0
Escherichia	0.000335604005172776	0.00510620962873734	0	0.0112775779685159	0.0135646091312979	0.0152367205618076	0	0.0687784188605709	0	0.054702030226779	0.0325668071864088	0.036697247706422	0	0.0112479409011415	9.70362038195002e-05	0.0154740571180272	0.000179817103528573	4.03903067848715	0.000531417642049091	0	0.273461377601905	0	0.334815302705966	0.132969310885282	0.719542556975185	0.370043413590026	7.21908893709328	1.72385811516731	0
Citrobacter	0.00017712433606341	0.00139600960492085	0	0	0	0.577298787196195	0	0	0	0	0	0	0	0	0.191743538747332	1.03178616207694	0.977103663436327	0.133119249188918	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas	0.0136758632107906	0.120637715925912	0.000792393026941363	0.000245164738445999	0.000519897910955667	0.000391521727498268	0.0331054896691398	0	0	0	0.0054278011977348	0	0.80703619581501	0.00290269442610103	0.000640438945208702	0.0005991638278024	0.00123624258675894	0.000573124768821307	0.0199628192491485	0.0226980404025119	0	0	0	0.000505586733404115	0.00273590325846078	0	0	0.0101433251848621	0.624566273421235
Xanthomonas	0.0140207895494404	0.183964084514234	0	0	0.00127611305416391	0.000130507242499423	0.000649127248414507	0	0	0	0	0	0	0	5.82217222917001e-05	0	2.24771379410717e-05	0.000242475863732092	0.00129388643281518	0	0	0	0	0	0	0	0	0	1.04094378903539
Pasteurella	0.000428827339942992	22.070733839151	0.00158478605388273	0	0.000519897910955667	0	0.0097369087262176	0	0	0.00156291514933654	0	0.0137614678899083	0	0	0	0	0	0	0.00166356827076237	0	0	0	0	0	0	0	0.563991323210412	2.41258989521945	0.624566273421235
Haemophilus	0.000270347670833625	0.0157964576771581	1.06656101426307	0.000980658953783995	0.000708951696757728	3.26268106248556e-05	3.55332255782101	0	0	0	0	0.00229357798165138	0	0.00471687844241417	0.000232886889166801	0.0007554674350552	8.99085517642867e-05	4.40865206785621e-05	0.988205763062592	0	0	0	0	0	0	0	3.08893709327549	1.16901822755536	4.33726578764747
