Genus	Basepaws_WGS1	Basepaws_WGS2	Bristle1	Kean5	Kean6a	Kean6b	Nebula_lcWGS	Ombre5	Ombre6	PetQCheck1	PetQCheck2	PetQCheck3	PetQCheck4	Psomagen1a	Psomagen1b	Psomagen2	Psomagen3	Psomagen4	SequencingDotCom_WGS	thryve2	thryve3a	thryve3b	thryve4	uBiome_Fecal2013	uBiome_Fecal2014	uBiome_Fecal2019	uBiome_Oral2014	uBiome_Oral2019	Veritas_WGS
Komagataeibacter	30738481	6646	0	0	0	0	0	0	0	0	0	0	0	0	0	413	0	0	1	0	0	0	0	0	0	0	0	0	2
Acetobacter	42	2212	1	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	5	0	0	0	0	0	0	0	0	0	7
Gluconobacter	27	628	1	0	0	0	0	0	0	0	3	0	0	0	0	26	0	0	2	0	0	0	0	0	0	0	0	0	2
Neokomagataea	14	506	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseomonas	13	2656	0	0	0	0	4	0	0	0	0	0	0	0	0	17	0	0	3	0	0	0	0	0	0	0	0	0	1
Commensalibacter	7	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stella	5	269	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	3	0	0	0	0	0	0	1	0	0	0
Granulibacter	5	1524	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	2	0	0	0	0	0	0	0	0	0	0
Acidiphilium	4	931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Swingsia	4	376	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Gluconacetobacter	3	437	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	28	0	0	0	0	0	0	0	0	0	0
Kozakia	3	751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parasaccharibacter	2	341	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0
Bombella	2	68	0	1	8	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Neoasaia	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	25	0	0	0	0	0	0	0	0	0	0
Acidibrevibacterium	1	749	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0
Asaia	1	87	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Azospirillum	283	15953	3	0	0	0	1	0	0	0	0	0	0	0	0	134	0	0	32	0	0	0	0	4	0	0	0	0	5
Hypericibacter	33	1318	0	6	9	0	2	0	1	0	0	1	0	3	0	23	0	0	4	0	0	0	0	0	0	0	0	0	0
Nitrospirillum	24	1083	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	2
Magnetospirillum	22	5517	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	3	0	0	0	0	0	0	0	0	0	1
Thalassospira	19	1287	0	0	2	0	0	0	0	0	0	0	0	0	0	16	0	0	1	0	0	1	0	0	0	0	0	1	0
Niveispirillum	17	3470	0	60	251	0	0	23	12	4	3	6	4	49	0	9	0	0	3	4	20	39	13	67	27	35	0	0	0
CandidatusEndolissoclinum	16	7	0	0	6	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
Rhodospirillum	9	2261	0	1	3	0	0	0	0	0	2	0	2	1	0	30	0	0	4	0	1	0	0	5	1	0	0	0	1
Skermanella	9	577	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Pararhodospirillum	7	2917	0	1	1	0	0	0	0	2	1	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0
Ferrovibrio	7	1963	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0
Magnetospira	3	633	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	0	0	0
Indioceanicola	2	1435	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0
Tistrella	1	1963	0	3	52	0	0	1	0	0	0	0	0	5	0	11	0	0	0	9	1	1	2	135	0	1	0	0	0
Haematospirillum	1	334	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium	5069	27275	8	0	10	0	7	0	0	0	0	0	0	0	0	139	0	0	40	0	0	0	0	0	0	0	0	0	13
Rhodopseudomonas	113	4280	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	4	0	0	0	0	0	0	0	0	2	8
Bosea	61	4879	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	19	0	0	0	0	0	0	0	0	0	1
Nitrobacter	27	1070	0	0	0	0	1	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0
Tardiphaga	23	1395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afipia	17	1384	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0
Oligotropha	12	110	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0
Variibacter	4	94	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4
Rhizobium	250	23946	1	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	47	0	0	0	0	0	0	0	0	0	5
Agrobacterium	78	7805	0	0	5	0	0	0	0	0	5	0	0	0	0	52	0	0	31	0	0	0	0	0	0	0	0	0	1
Neorhizobium	26	1343	0	10	54	0	0	0	0	3	0	0	0	5	0	8	0	0	1	2	2	5	1	35	0	4	0	0	0
Sinorhizobium	45	6455	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	1	0	0	0	0	0	0	0	0	0	1
Ensifer	15	1596	0	6	2	0	0	0	0	0	0	2	0	0	0	24	0	0	4	0	0	0	0	0	0	0	0	0	0
Liberibacter	22	1963	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0
Shinella	13	264	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Georhizobium	5	142	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Mesorhizobium	191	15135	0	0	17	0	3	0	0	0	0	0	0	0	0	182	0	0	21	0	0	0	0	0	0	0	0	0	4
Aminobacter	22	734	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	10	0	0	0	0	0	0	0	0	0	0
Chelativorans	13	422	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0
Phyllobacterium	12	766	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitratireductor	10	933	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Hoeflea	6	95	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	3	0	0	0	0	0	0	0	0	0	0
Salaquimonas	6	515	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	3	0	0	0	0	0	0	0	0	0	0
Lentilitoribacter	5	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Roseitalea	2	692	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
Methylobacterium	165	6953	12	0	6	0	2	0	0	0	0	0	0	0	0	66	0	0	32	0	0	0	0	0	0	0	0	0	20
Methylorubrum	47	785	0	0	0	0	1	0	0	0	0	0	0	0	0	35	0	0	19	0	0	0	0	0	0	0	0	0	7
Microvirga	26	1290	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1	0	0	0	0	0	0	0	0	0	0
Rhodoplanes	115	1976	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Hyphomicrobium	18	1454	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	2	0	0	0	0	0	0	0	0	0	1
Devosia	15	2592	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	3	0	0	0	0	0	0	0	0	0	0
Blastochloris	12	2113	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	5	0	0	0	0	0	0	0	0	0	0
Youhaiella	7	1015	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
