Genus	Basepaws_WGS1	Basepaws_WGS2	Bristle1	Kean5	Kean6a	Kean6b	Nebula_lcWGS	Ombre5	Ombre6	PetQCheck1	PetQCheck2	PetQCheck3	PetQCheck4	Psomagen1a	Psomagen1b	Psomagen2	Psomagen3	Psomagen4	SequencingDotCom_WGS	thryve2	thryve3a	thryve3b	thryve4	uBiome_Fecal2013	uBiome_Fecal2014	uBiome_Fecal2019	uBiome_Oral2014	uBiome_Oral2019	Veritas_WGS
Komagataeibacter	82.7810580038966	0.0222497965847667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00613280659503905	0	0	1.09518121361192e-05	0	0	0	0	0	0	0	0	0	0.00844630263102327
Burkholderia	13.3817210822373	0.381996131494892	0.000984087308225986	0.00353976453486314	0.00523753332772276	0	0.014777169914967	0	0	0.0102139084250153	0.155750335525989	0	0	0	0	0.276896960236545	0	0	0.00331839907724412	0	0	0	0	0.418692082376364	0	0	0	0.00205701456660172	0.789729296000676
Cupriavidus	0.243809534479233	0.331513934278266	0.000328029102741995	0	4.47652421172885e-05	0	0.000642485648476827	0	0	1.5992062334024	2.82504597948735	2.50824948883535	0.846556156369116	0	0	0.0123992578858538	0	0	0.000438072485444768	0	0	0	0	0	0	0	0	0.000293859223800246	0.0591241184171629
Ralstonia	0.024412731741862	0.284188757552075	0	0	0.000223826210586443	0	0.00128497129695365	0	0	0.0160504275250241	0.0149122661673819	0	0	0	0	0.00371235266043526	0	0	0.000503783358261483	0	0	0	1.01667458034243	0	0	0	0	0	0.0168926052620465
Lautropia	4.0396136362706e-05	0.184208630376711	0.0249302118083916	0	4.47652421172885e-05	0	0.0115647416725829	0	0	0	0	0	0	0	0	0.000311837623476562	0	0	0.0951493438386036	0.479303706080539	0	0	0	0.0107713315798069	0	0	1.1299721307322	0.172789223594545	0.0886861776257443
Variovorax	0.000339327545446731	0.810122258045682	0.000328029102741995	0	0	0	0	0	0	0	0	0	0	0	0	0.00109885638748884	0	0	0.000843289534481178	0	0	0	0	0	0	0	0	0	0.0549009671016513
Acidovorax	0.000328555242416676	1.69490487023474	0.000656058205483991	0	0	0	0.000963728472715241	0	0	0	0	0	0	0	0	0.00161858575994977	0	0	0.000120469933497311	0	0	0	0	0	0	0	0	0	0.0126694539465349
Hydrogenophaga	0.00020198068181353	0.698602099448757	0	0	4.47652421172885e-05	0	0.000321242824238414	0	0	0	0	0	0	0	0	0.000920663459787944	0	0	0.000109518121361192	0	0	0	0	0	0	0	0	0	0.0126694539465349
Comamonas	0.000156198393935797	1.21147229776455	0	0	0	0	0.000642485648476827	0	0	0	0.0049707553891273	0	0.00221611559258931	0	0	0.000905814049146203	0	0	0.00027379530340298	0	0	0	0	0	0	0	0	0	0.0253389078930698
Ottowia	5.92476666653022e-05	1.02040727506078	0.000328029102741995	0	0	0	0.000642485648476827	0	0	0	0	0	0.00221611559258931	0	0	7.42470532087052e-05	0	0	7.66626849528344e-05	0	0	0	0	0	0	0	0	0	0.00422315131551163
Achromobacter	0.00028815910605397	0.297235320490811	0	0.00967535639529258	0.00953499657098245	0	0.00289118541814572	1.3002600520104	0	0	0	0	0	0.0243315866310274	0	0.000801868174654016	0	0	0.00027379530340298	0.549494625381036	0.334409054768252	0.63192747976015	0	0.0072967084895466	0	0	0	0	0.00422315131551163
Neisseria	0.000473981333322417	5.61450148403398	7.17268436055647	0	0.000223826210586443	0	7.10974618604457	0	0	0	0.00165691846304243	0.00809765775249509	0.00221611559258931	0.00105789507091423	0	0.0031480750560491	0	0	0.91660096492036	0	0	0	0	0	0	0	0.633392449961997	6.61271411317694	1.22893703281389
Eikenella	1.34653787875687e-05	0.451407060262868	0.0387074341235554	0	0	0	0.0138134414422518	0	0	0	0	0	0	0	0	0.000163343517059151	0	0	0.0477827563498881	0	0	0	0	0	0.131442028588641	0	5.42183937167469	0.755218205166633	0.0211157565775582
Klebsiella	0.824770609193127	0.0434148904771674	0.0544528310551712	0.000471968604648419	0.00192490541104341	0	0.0343729821935103	0.00285771440002286	0	0.00145912977500219	0.134210395506437	0	0	0.00176315845152372	0	0.0604816495438113	0	0	0.00194942256022922	0	0	0	0.0223444962712622	0.000347462309026028	0	0	0	0.0038201699094032	7.96064022973943
Salmonella	0.00673538246954185	0.108587443910158	0.000328029102741995	0.0434211116276545	0.0878294050341201	0	0.000642485648476827	0	0	0.887150903201331	1.26091495037529	0.0526347753912181	0.0598351209999114	0.0729947598930821	0	0.00245015275588727	0	0	0.00185085625100414	0	0.233852485851925	2.1723768952777	2.17579532441416	0.103891230398782	0.0273837559559669	0.229025389611551	0	3.26183738418273	0.046454664470628
Escherichia	0.00053322899998772	0.0586141195615551	0	0.0240703988370694	0.0269039105124904	0	0.0208807835754969	0.125739433601006	0	0.385210260600578	0.419200371149736	0.886693523898212	0.0398900806666076	0.0208052697279799	0	0.013245674292433	0	0	0.00082138591020894	0	0.156681165520789	0.0969090064807898	0.108929419322403	0.128213592030604	0.551326286580134	0.374850149403281	5.88801621484672	0.141934005095519	0.0211157565775582
Citrobacter	0.000272000651508887	0.0286542294566684	0.000656058205483991	0	0	0	0	0	0	0	0	0	0	0	0	0.942150556986544	0	0	0.000219036242722384	0	0	0	0	0	0	0	0	0	0.0633472697326745
