Genus	Basepaws_WGS1	Basepaws_WGS2	Bristle1	Kean5	Kean6a	Kean6b	Nebula_lcWGS	Ombre5	Ombre6	PetQCheck1	PetQCheck2	PetQCheck3	PetQCheck4	Psomagen1a	Psomagen1b	Psomagen2	Psomagen3	Psomagen4	SequencingDotCom_WGS	thryve2	thryve3a	thryve3b	thryve4	uBiome_Fecal2013	uBiome_Fecal2014	uBiome_Fecal2019	uBiome_Oral2014	uBiome_Oral2019	Veritas_WGS
Komagataeibacter	94.8401702990926	0.0228584119455471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1020924437346e-05	0	0	0	0	0	0	0	0	0	0.00867641317079519
Burkholderia	0.995210341998008	0.239888447568398	0.000993338013059084	0.000264209169115005	0.00078176017995077	0	0.0055430022856733	0	0	0.00331367221154483	0.00561597933319605	0	0	0	0	0	0	0	0.00131149000804417	0	0	0	0	0.0010242386066258	0	0	0	0.00241068415216238	0.251615981953061
Cupriavidus	0.279649431541354	0.266835168525554	0.000331112671019695	0	5.21173453300513e-05	0	0.000652117915961564	0.00362752566474408	0.0062758880381574	1.7297368944264	3.04386079859226	2.68994592612959	0.915787880316868	0	0	0	0	0	0.00044083697749384	0	0.00299544692068057	0	0.00464943276920216	0.0010242386066258	0	0	0	0.000401780692027064	0.0607348921955664
Lautropia	4.77320635077014e-05	0.162783093305279	0.023840112313418	0	5.21173453300513e-05	0	0.0117381224873082	0	0	0	0	0	0	0	0	0	0	0	0.0951987452897947	0.00247279920870425	0	0	0	0.0005121193033129	0	0	1.15722266560255	0.213747328158398	0.0911023382933495
Variovorax	0.000375492232927251	0.63876754389841	0.000331112671019695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000815548408363603	0	0	0	0	0	0	0	0	0	0.0563966856101688
Acidovorax	0.000295938793747749	0.791917751214869	0.000662225342039389	0	0	0	0.000652117915961564	0	0	0	0	0	0	0	0	0	0	0	0.00011020924437346	0	0	0	0	0	0	0	0	0	0.0130146197561928
Comamonas	0.000168653291060545	0.866152835899349	0	0	0	0	0.000652117915961564	0	0	0	0.00187199311106535	0	0.00252283162621727	0	0	0	0	0	0.000264502186496304	0	0	0	0	0	0	0	0	0	0.0260292395123856
Ottowia	6.6824888910782e-05	0.850272214522488	0.000331112671019695	0	0	0	0.000652117915961564	0	0	0	0	0	0.00252283162621727	0	0	0	0	0	7.71464710614219e-05	0	0	0	0	0	0	0	0	0	0.0043382065853976
Neisseria	0.000550509799122156	5.71355785475975	7.18448273578533	0.000264209169115005	0.000260586726650257	0	7.13873482603124	0	0	0	0.00187199311106535	0.00687379708551004	0.00252283162621727	0.00115973851762223	0	0	0	0	0.912576627109997	0	0	0	0	0	0	0	0.113061984570364	0.112096813075551	1.24506529000911
Klebsiella	0.919383185909673	0.0218555466710829	0.051984689350092	0.00052841833823001	0.000469056107970462	0	0.0280410703863473	0.00362752566474408	0	0.00165683610577242	0.0037439862221307	0	0	0.0015463180234963	0	0	0	0	0.000529004372992608	0	0	0	0.0139482983076065	0.0005121193033129	0	0	0	0.000401780692027064	7.68730206932454
Pseudomonas	0.0517320104296468	1.04027099648306	0.00364223938121664	0.000792627507345015	0.00166775505056164	0	0.0309756010081743	0	0	0.00165683610577242	0.00561597933319605	0.00458253139034002	0.845148594782784	0.0030926360469926	0	0	0	0	0.0337570915515908	0.00247279920870425	0	0.00269665345306475	0	0.0071696702463806	0.00561293219577908	0.00120078291045762	0	0.00482136830432477	26.6105591948289
Xanthomonas	0.0171230822489961	0.658894012510072	0	0	5.21173453300513e-05	0	0.00195635374788469	0	0	0	0	0	0	0	0	0	0	0	0.00111311336817194	0	0	0	0	0	0	0	0	0	11.4094833195957
Stenotrophomonas	0.000407313608599052	0.52796053705933	0.000993338013059084	0	0.000156352035990154	0	0.00228241270586547	0	0	0	0	0	0	0	0	0	0	0	0.00044083697749384	0	0	0	0	0.0020484772132516	0	0	0	0	0.0997787514641447
Haemophilus	0.000353217269956991	0.0480722124475945	1.28670383958253	0.00105683667646002	0.000885994870610873	0	4.85599606120779	0	0	0	0	0.00229126569517001	0	0.00541211308223706	0	0	0	0	1.16202423082489	0	0	0	0	0	0.00280646609788954	0	2.38095238095238	0.97713064300982	1.71792980781745
Pasteurella	0.00031821375671801	11.6674191358222	0.00264890136815756	0.00132104584557502	0.00265798461183262	0	0.0176071837309622	0.0108825769942322	0	0.00165683610577242	0	0.0137475941710201	0	0.000386579505874076	0	0	0	0	0.00510268801449119	0	0.00599089384136113	0.00539330690612949	0	0.0025605965165645	0.00280646609788954	0.00240156582091524	0.0266028198989093	0.0474101216591935	0.21691032926988
Cardiobacterium	9.54641270154029e-06	0.547595179022979	0.513555752751546	0	0	0	0.00195635374788469	0	0	0	0	0	0	0	0	0	0	0	0.0457147945661112	0	0	0	0	0	0	0	0.219473264166002	0.00160712276810826	0.0477202724393736
Campylobacter	0.00116466234958791	0.109212412628725	0.373826205581235	0.00105683667646002	0.000521173453300513	0	0.325406840064821	0	0	0	0	0	0	0.000386579505874076	0	0	0	0	0.110473746559956	0	0	0	0	0	0	0	0.179569034317638	0.902801214984813	0.386100386100386
