Genus	Basepaws_WGS1_Kraken2.kreport	Basepaws_WGS2_Kraken2.kreport	Bristle1_Kraken2.kreport	Kean5_Kraken2.kreport	Kean6a_Kraken2.kreport	Kean6b_Kraken2.kreport	Nebula_lcWGS_Kraken2.kreport	Ombre5_Kraken2.kreport	Ombre6_Kraken2.kreport	PetQCheck1_Kraken2.kreport	PetQCheck2_Kraken2.kreport	PetQCheck3_Kraken2.kreport	PetQCheck4_Kraken2.kreport	Psomagen1a_Kraken2.kreport	Psomagen1b_Kraken2.kreport	Psomagen2_Kraken2.kreport	Psomagen3_Kraken2.kreport	Psomagen4_Kraken2.kreport	SequencingDotCom_WGS_Kraken2.kreport	thryve2_Kraken2.kreport	thryve3a_Kraken2.kreport	thryve3b_Kraken2.kreport	thryve4_Kraken2.kreport	uBiome_Fecal2013_Kraken2.kreport	uBiome_Fecal2014_Kraken2.kreport	uBiome_Fecal2019_Kraken2.kreport	uBiome_Oral2014_Kraken2.kreport	uBiome_Oral2019_Kraken2.kreport	Veritas_WGS_Kraken2.kreport
Komagataeibacter	30317733	18582	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	17
Acetobacter	823	10372	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	24
Gluconobacter	388	2118	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	6
Commensalibacter	222	886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	2	14
Granulibacter	135	3428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	1	1
Roseomonas	132	10022	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	5
Neokomagataea	98	2135	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
Swingsia	91	916	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
Gluconacetobacter	82	2122	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	2
Parasaccharibacter	78	879	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2
Neoasaia	66	552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0
Acidiphilium	47	3162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Stella	42	1588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	1
Acidibrevibacterium	42	2399	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1
Asaia	35	1014	3	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	1
Bombella	30	1458	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
