Genus	Basepaws_WGS1	Basepaws_WGS2	Bristle1	Kean5	Kean6a	Kean6b	Nebula_lcWGS	Ombre5	Ombre6	PetQCheck1	PetQCheck2	PetQCheck3	PetQCheck4	Psomagen1a	Psomagen1b	Psomagen2	Psomagen3	Psomagen4	SequencingDotCom_WGS	thryve2	thryve3a	thryve3b	thryve4	uBiome_Fecal2013	uBiome_Fecal2014	uBiome_Fecal2019	uBiome_Oral2014	uBiome_Oral2019	Veritas_WGS
Komagataeibacter	94.2911516730419	0.0022894596226774	0	0	0	0	0	0	0	0	0	0	0	0	0	3.06937995762414e-05	2.65411517904396e-05	7.41910761489787e-05	0	0	0	0	0	0	0	0	0	0	0
Burkholderia	1.47357836497798	0.0252430118912371	0	0.000269893149302191	0.000482836244478231	0.000491176022751273	0.000658072243170855	0	0	0.00349436533589587	0.00605180343742435	0	0	0	0.000111138006508686	0.000184162797457448	0.000185788062533077	0.00019784286973061	0.000999606898775389	0	0	0	0	0	0	0	0	0	1.15870786516854
Cupriavidus	0.4255944732549	0.030175667387306	0	0	5.36484716086923e-05	3.77827709808672e-05	0	0.00455892409391384	0.00778452436556126	1.8188171573338	3.26797385620915	2.9807472214451	0.953331407411298	0	8.8910405206949e-05	6.13875991524828e-05	5.30823035808791e-05	4.94607174326524e-05	2.32466720645439e-05	0	0.00377529447296889	0	0	0.0013622307891403	0	0	0	0	0
Lautropia	5.69814531068283e-05	0.0526575713215802	0.019207990524058	0	0	0	0.00723879467487941	0	0	0	0	0	0	0	0.000111138006508686	0	2.65411517904396e-05	0	0.0667644421693701	0	0	0	0	0.000681115394570148	0	0	1.76131511528608	0.308939706318132	0.210674157303371
Neisseria	0.000417863989450074	2.11592251368124	5.78080481480296	0	0.000214593886434769	0.000113348312942602	5.38039866016491	0	0	0	0.00201726781247478	0.00762989903100282	0.00262625732069228	0.00117984819286585	0.000111138006508686	0.000245550396609931	0.000345034973275714	0.000494607174326524	0.671108175831318	0	0	0	0	0	0	0	0.0213492741246798	0.0258500570592723	1.96629213483146
Klebsiella	2.1525788571078	0.00188659333714189	0.0896372891122707	0.000269893149302191	0.000268242358043462	0.00094456927452168	0.0282971064563468	0	0	0.00174718266794793	0.00201726781247478	0	0	0.00117984819286585	0.00106692486248339	0.00113567058432093	0.00103510491982714	0.00638043254881216	0.000185973376516351	0	0	0	0.021703743895822	0	0	0	0	0	1.29915730337079
Escherichia	0.00034188871864097	0.00243684972714161	0	0.00728711503115916	0.00638416812143439	0.00657420215067089	0	0.00455892409391384	0	0.0052415480038438	0.0121036068748487	0.00508659935400188	0	0.00786565461910567	8.8910405206949e-05	0.0102517290584646	0.000159246910742637	1.102899807672	0.000162726704451807	0	0.00377529447296889	0	0.130222463374932	0.00817338473484178	0.00373162176281812	0.00150432493418578	0.0533731853116994	0.0271110354524075	0
Citrobacter	0.000180441268171623	0.00134616295410646	0	0	0.000107296943217385	0.628478612495745	0	0	0	0	0	0	0	0.000393282730955284	0.211606764392539	1.14273015822347	1.09330966570358	0.126174290170696	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas	0.0138844807403638	0.108675637024944	0.000800332938502417	0.000269893149302191	0.000536484716086923	0.000453393251770406	0.0335616844017136	0	0	0.00174718266794793	0.00605180343742435	0.00254329967700094	0.866664915828453	0.00275297911668699	0.000733510842957329	0.000705957390253552	0.00143322219668374	0.000642989326624482	0.0200153846475723	0.0028685350391555	0	0	0	0.000681115394570148	0.00373162176281812	0	0	0.00252195678627047	0.632022471910112
Xanthomonas	0.0114817628010259	0.103379419271197	0	0	5.36484716086923e-05	7.55655419617344e-05	0.000658072243170855	0	0	0	0	0	0	0	4.44552026034745e-05	0	2.65411517904396e-05	0.000247303587163262	0.00130181363561446	0	0	0	0	0	0	0	0	0	1.05337078651685
Pasteurella	0.00038937326289666	22.2994349849475	0.00160066587700483	0	0.000429187772869539	0	0.00855493916122112	0	0	0.00174718266794793	0	0.0152597980620056	0	0	0	0	0	0	0.00151103368419535	0	0	0	0	0	0	0	0.0320239111870196	0.0245890786661371	0.632022471910112
Haemophilus	0.000227925812427313	0.0137858877708858	1.0604411435157	0.00107957259720877	0.000536484716086923	3.77827709808672e-05	3.50226047815529	0	0	0	0	0.00254329967700094	0	0.00511267550241869	0.000200048411715635	0.000890120187711001	0.000106164607161758	4.94607174326524e-05	0.978010740427427	0	0	0	0	0	0.00373162176281812	0	3.5866780529462	1.34420296708216	4.38904494382022
Aggregatibacter	1.89938177022761e-05	0.00591525619249698	0.0344143163556039	0	0	0	0.0381681901039096	0	0	0	0	0	0	0	0	3.06937995762414e-05	0	0	0.015087090169889	0	0	0	0	0	0	0	0.106746370623399	0.000630489196567617	0.561797752808989
Campylobacter	0.000607802166472835	0.0561556298008642	0.228895220411691	0.000539786298604383	0.000268242358043462	0.0169644641704094	0.182944083601498	0	0	0	0	0	0	0	0.0230722501512033	0.0217312100999789	0.0164289729582821	0.0166682617748039	0.0267569195462901	0	0	0	0	0	0	0	0.245516652433817	1.1739708840089	0.421348314606742
