Genus	Basepaws_WGS1_Kraken2.kreport	Basepaws_WGS2_Kraken2.kreport	Bristle1_Kraken2.kreport	Kean5_Kraken2.kreport	Kean6a_Kraken2.kreport	Kean6b_Kraken2.kreport	Nebula_lcWGS_Kraken2.kreport	Ombre5_Kraken2.kreport	Ombre6_Kraken2.kreport	PetQCheck1_Kraken2.kreport	PetQCheck2_Kraken2.kreport	PetQCheck3_Kraken2.kreport	PetQCheck4_Kraken2.kreport	Psomagen1a_Kraken2.kreport	Psomagen1b_Kraken2.kreport	Psomagen2_Kraken2.kreport	Psomagen3_Kraken2.kreport	Psomagen4_Kraken2.kreport	SequencingDotCom_WGS_Kraken2.kreport	thryve2_Kraken2.kreport	thryve3a_Kraken2.kreport	thryve3b_Kraken2.kreport	thryve4_Kraken2.kreport	uBiome_Fecal2013_Kraken2.kreport	uBiome_Fecal2014_Kraken2.kreport	uBiome_Fecal2019_Kraken2.kreport	uBiome_Oral2014_Kraken2.kreport	uBiome_Oral2019_Kraken2.kreport	Veritas_WGS_Kraken2.kreport
Komagataeibacter	87.6236754562502	0.0400036847651945	0.000853893183655346	0	0	0	0.000856841738474765	0	0	0	0	0	0	0	0	0	0	0	0.000368923370926625	0	0	0	0	0	0	0	0	0	0.0354994988306047
Bradyrhizobium	0.0229046686304277	0.238678749464406	0.00967745608142725	0	5.20780983994838e-05	0	0.00685473390779812	0	0	0	0	0	0	0	0	0	0	0	0.00352969927859528	0	0	0	0	0	0	0	0	0	0.588874039425326
Burkholderia	1.19219884038504	0.462871179114744	0.00910819395899036	0.000264061959498177	0.000781171475992257	0	0.0194217460720947	0	0	0.00331060054293849	0.00561219717519409	0	0	0	0	0	0	0	0.00677024240159941	0	0	0	0	0.00101762009189109	0	0	0	0.00238291923492406	1.01277981957902
Cupriavidus	0.346809920123256	0.411403732570696	0.00170778636731069	0	5.20780983994838e-05	0	0.00314175304107414	0.00361925443358668	0.00624609618988132	1.72813348341389	3.0418108689552	2.68705225332448	0.915441454618818	0	0	0	0	0	0.0024229291658154	0	0.00299123567945918	0	0.00458715596330275	0.00101762009189109	0	0	0	0.000397153205820677	0.225526227865018
Lautropia	0.000173410740419642	0.218140855122572	0.0244782712647866	0	5.20780983994838e-05	0	0.0137094678155962	0	0	0	0	0	0	0	0	0	0	0	0.0975951879629677	0.00246986761509583	0	0	0	0.000508810045945547	0	0	1.16140164587205	0.211682658702421	0.0522051453391246
Variovorax	0.00354913982058867	0.808430939102108	0.00227704848974759	0	0	0	0.00485543651802367	0	0	0	0	0	0	0	0	0	0	0	0.00255255089073557	0	0	0	0	0	0	0	0	0	0.208820581356499
Acidovorax	0.00240751911282603	1.00187895899398	0.00313094167340293	0	0	0	0.00199929738977445	0	0	0	0	0	0	0	0	0	0	0	0.000707934036102442	0	0	0	0	0	0	0	0	0	0.123204143000334
Hydrogenophaga	0.00200289405184686	0.563289426659276	0.00142315530609224	0	5.20780983994838e-05	0	0.00114245565129969	0	0	0	0	0	0	0	0	0	0	0	0.000598254115016148	0	0	0	0	0	0	0	0	0	0.0480287337119947
Comamonas	0.00175144847823838	1.03528640599572	0.000569262122436897	0	5.20780983994838e-05	0	0.00199929738977445	0	0	0	0.00187073239173136	0	0.00252187728545129	0	0	0	0	0	0.000578312311182277	0	0	0	0	0	0	0	0	0	0.0501169395255596
Ottowia	0.000465318820126039	0.917221500178652	0.00113852424487379	0	0	0	0.000856841738474765	0	0	0	0	0	0.00252187728545129	0	0	0	0	0	0.000279185253674203	0	0	0	0	0	0	0	0	0	0.0292348813899098
Massilia	0.00323411030882632	0.225477662661038	0.00341557273462138	0.000264061959498177	0.000312468590396903	0	0.00599789216932335	0	0	0	0	0	0	0	0	0	0	0	0.00221354022555975	0	0	0	0	0	0	0	0	0	0.605579685933846
Neisseria	0.00373122109802929	6.01253315314524	6.72924754932656	0.000264061959498177	0.000260390491997419	0	6.75276974091962	0	0	0	0.00187073239173136	0.00686640269162985	0.00252187728545129	0.00115913806493491	0	0	0	0	0.906763791228059	0	0	0	0	0	0	0	0.112821874170427	0.117557348922921	0.808135649849649
Eikenella	0.000254335752615475	0.645565867535189	0.0455409697949518	0	0	0	0.0162799930310205	0	0	0	0	0	0	0	0	0	0	0	0.0509712505993758	0	0	0	0	0	0.00560224089635854	0	0.252190071675073	0.025814958378344	0.0146174406949549
Klebsiella	1.33643322372907	0.0681022798332883	0.0555030569375975	0.000528123918996353	0.000468702885595354	0	0.0402715617083139	0.00361925443358668	0	0.00165530027146924	0.00374146478346273	0	0	0.00154551741991322	0	0	0	0	0.0014756934837065	0	0	0	0.0137614678899083	0.000508810045945547	0	0.00119451478809308	0.0199097425006637	0.000397153205820677	8.37161710658203
Enterobacter	0.00734972521478582	0.081725319182882	0.00426946591827673	0.00079218587849453	0.00109364006638916	0	0.00228491130259937	0	0	0	0	0	0	0	0	0	0	0	0.00167511152204522	0	0	0	0	0.00101762009189109	0	0	0.00663658083355455	0.00635445129313084	0.65778483127297
Pseudomonas	0.202618889464324	2.15260813712666	0.0281784750606264	0.00079218587849453	0.00182273344398193	0	0.065405586036907	0	0	0.00165530027146924	0.00561219717519409	0.0045776017944199	0.844828890626182	0.00309103483982644	0	0	0	0	0.0567144901035309	0.00246986761509583	0	0.00269106566200215	0	0.0101762009189109	0.00560224089635854	0.00119451478809308	0.00663658083355455	0.00556014488148948	22.5547109923154
Acinetobacter	0.0285318471570451	0.115005749856929	0.0099620871426457	0.00132030979749088	0.00682223089033238	0	0.0174224486823202	0	0	0	0	0.0045776017944199	0	0.00425017290476135	0	0	0	0	0.00901369533290997	0.0543370875321083	0.080763363345398	0.0726587728740581	0.0137614678899083	0.00152643013783664	0.00280112044817927	0.00597257394046538	0.0132731616671091	0.118748808540383	0.613932509188106
Xanthomonas	0.0555897030205232	1.03071381819886	0.00256167955096604	0	5.20780983994838e-05	0	0.00542666434367351	0	0	0	0	0	0	0	0	0	0	0	0.00320065951533639	0	0	0	0	0	0	0	0	0	7.83286000668226
Stenotrophomonas	0.00462717659019744	0.901981693674895	0.00398483485705828	0	0.000156234295198451	0	0.00971087303604733	0	0	0	0	0	0	0	0	0	0	0	0.00362940829776463	0	0	0	0	0.00203524018378219	0.00280112044817927	0	0	0	0.599315068493151
Lysobacter	0.00186994581752514	0.720656198210572	0.00313094167340293	0.000264061959498177	0.000104156196798968	0	0.00142806956412461	0	0	0	0	0	0	0	0	0	0	0	0.00145575167987263	0	0	0	0	0.000508810045945547	0	0	0	0	0.152439024390244
Vibrio	0.025650338687072	0.201391922420322	0.0119545045711748	0.0203327708813596	0.0152068047326493	0	0.0122813982514716	0.01085776330076	0	0.00827650135734622	0.00374146478346273	0.0045776017944199	0	0.0231827612986983	0	0	0	0	0.0106489232472874	0.00246986761509583	0.00897370703837755	0	0.00458715596330275	0.00457929041350992	0.00280112044817927	0	0.0132731616671091	0.0087373705280549	0.72878382893418
Haemophilus	0.004841049836715	0.105014516351641	1.21195905866815	0.00105624783799271	0.000885327672791225	0	4.61237907820966	0	0	0	0	0.00228880089720995	0	0.00540931096969627	0	0	0	0	1.12259393412205	0	0	0	0	0	0.00280112044817927	0	2.37589593841253	0.967862362584991	0.989809555629803
Pasteurella	0.00180347170036428	6.66709995739356	0.00284631061218449	0.00132030979749088	0.00265598301837367	0	0.0257052521542429	0.01085776330076	0	0.00165530027146924	0	0.0137328053832597	0	0.000386379354978305	0	0	0	0	0.00848523753131237	0	0.00598247135891837	0.00538213132400431	0	0.00254405022972774	0.00280112044817927	0.00238902957618615	0.0265463233342182	0.0484526911101226	0.135733377881724
Aggregatibacter	0.00123121625697946	0.0679644994100307	0.0389944553869275	0	0.000260390491997419	0	0.0645487442984323	0	0	0	0	0	0	0.000386379354978305	0	0	0	0	0.0191241898766829	0	0	0	0	0.000508810045945547	0	0	0.106185293336873	0.00158861282328271	0.551286334781156
