Genus	Basepaws_WGS1.DOWNSAMPLE_1M	Basepaws_WGS2.DOWNSAMPLE_1M	Bristle1.DOWNSAMPLE_1M	Kean5.DOWNSAMPLE_1M	Kean6a.DOWNSAMPLE_1M	Kean6b.DOWNSAMPLE_1M	Nebula_lcWGS.DOWNSAMPLE_1M	Ombre5.DOWNSAMPLE_1M	Ombre6.DOWNSAMPLE_1M	PetQCheck1.DOWNSAMPLE_1M	PetQCheck2.DOWNSAMPLE_1M	PetQCheck3.DOWNSAMPLE_1M	PetQCheck4.DOWNSAMPLE_1M	Psomagen1a.DOWNSAMPLE_1M	Psomagen1b.DOWNSAMPLE_1M	Psomagen2.DOWNSAMPLE_1M	Psomagen3.DOWNSAMPLE_1M	Psomagen4.DOWNSAMPLE_1M	SequencingDotCom_WGS.DOWNSAMPLE_1M	thryve2.DOWNSAMPLE_1M	thryve3a.DOWNSAMPLE_1M	thryve3b.DOWNSAMPLE_1M	thryve4.DOWNSAMPLE_1M	uBiome_Fecal2013.DOWNSAMPLE_1M	uBiome_Fecal2014.DOWNSAMPLE_1M	uBiome_Fecal2019.DOWNSAMPLE_1M	uBiome_Oral2014.DOWNSAMPLE_1M	uBiome_Oral2019.DOWNSAMPLE_1M	Veritas_WGS-DOWNSAMPLE_1M
Klebsiella	71563	957	34	3	43	0	36	1	0	1	5	3	0	35	1357	0	0	0	0	0	0	0	46	20	0	3	6	71	9
Raoultella	6	113	1	0	0	0	1	16	8	0	1	0	0	1	15	0	0	0	0	0	0	0	0	7	2	0	0	0	0
Salmonella	51120	776	3	29	146	0	35	255	259	30	23	12	0	67	1247	0	0	0	0	0	110	0	456	99	0	34	11	175	0
Escherichia	2548	980	8	40	119	0	13	11	5	19	44	12	5	64	173	0	0	0	3	71	144	88	288	401	75	298	39	975	0
Enterobacter	455	540	1	1	0	0	12	5	0	0	0	0	0	2	79	0	0	0	0	0	0	0	4	0	1	0	0	40	0
CandidatusBlochmannia	36	39	0	0	0	0	0	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CandidatusHamiltonella	4	2	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	2	0	0	0	0	2	0
Symbiopectobacterium	3	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusMikella	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusAnnandia	2	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CandidatusGullanella	2	2	0	6	13	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusTachikawaea	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusPurcelliella	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Citrobacter	53	376	1	0	7	0	8	0	0	2	0	0	1	4	43	0	0	0	0	0	0	0	0	0	0	1	0	2	0
Buttiauxella	21	13	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kosakonia	20	113	2	0	0	0	1	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
