Genus	Basepaws_WGS1.DOWNSAMPLE_1M	Basepaws_WGS2.DOWNSAMPLE_1M	Bristle1.DOWNSAMPLE_1M	Kean5.DOWNSAMPLE_1M	Kean6a.DOWNSAMPLE_1M	Kean6b.DOWNSAMPLE_1M	Nebula_lcWGS.DOWNSAMPLE_1M	Ombre5.DOWNSAMPLE_1M	Ombre6.DOWNSAMPLE_1M	PetQCheck1.DOWNSAMPLE_1M	PetQCheck2.DOWNSAMPLE_1M	PetQCheck3.DOWNSAMPLE_1M	PetQCheck4.DOWNSAMPLE_1M	Psomagen1a.DOWNSAMPLE_1M	Psomagen1b.DOWNSAMPLE_1M	Psomagen2.DOWNSAMPLE_1M	Psomagen3.DOWNSAMPLE_1M	Psomagen4.DOWNSAMPLE_1M	SequencingDotCom_WGS.DOWNSAMPLE_1M	thryve2.DOWNSAMPLE_1M	thryve3a.DOWNSAMPLE_1M	thryve3b.DOWNSAMPLE_1M	thryve4.DOWNSAMPLE_1M	uBiome_Fecal2013.DOWNSAMPLE_1M	uBiome_Fecal2014.DOWNSAMPLE_1M	uBiome_Fecal2019.DOWNSAMPLE_1M	uBiome_Oral2014.DOWNSAMPLE_1M	uBiome_Oral2019.DOWNSAMPLE_1M	Veritas_WGS.DOWNSAMPLE_1M
Klebsiella	27.3218389926926	0.318042691498589	0.0421402278051138	0.000642885613505741	0.00430740011339481	0	0.0390998349118081	0.00252889259793137	0	0.0012230470995438	0.00701990846039368	0.00491658199219902	0	0.0108468945340949	0.157023110284146	0	0	0	0	0	0	0	0.110428269637027	0.00609510806626601	0	0.00248799542208842	0.0298284862043251	0.0194109992016885	9.27835051546392
Salmonella	19.5169628062888	0.257890416512963	0.00371825539456887	0.0062145609305555	0.0146251259664103	0	0.0380137283864801	0.644867612472498	0.947815267510796	0.0366914129863141	0.0322915789178109	0.0196663279687961	0	0.0207640552509816	0.14429463413731	0	0	0	0	0	0.22284799740686	0	1.09468023814096	0.0301707849280168	0	0.0281972814503355	0.0546855580412627	0.0478440121168378	0
Escherichia	0.972793842535678	0.325686350750906	0.00991534771885032	0.00857180818007655	0.011920479383581	0	0.0141193848292641	0.027817818577245	0.0182975920368879	0.0232378948913323	0.0617751944514644	0.0196663279687961	0.00926663824897604	0.0198343214337735	0.0200184215763871	0	0	0	0.011454753722795	0.128777161098415	0.291728287514434	0.151779092430018	0.691376992510083	0.122206916728634	0.119523817112623	0.247140878594117	0.193885160328113	0.266559496079525	0
Yersinia	0.036269786122798	0.0581582769198047	0	0	0	0	0	0	0	0	0.00421194507623621	0	0	0	0.00161998787323363	0	0	0	0	0	0	0	0.00240061455732668	0	0	0	0	0.00656146451888061	9.27835051546392
Pseudoalteromonas	2.57019158082817	0.0764365925231719	0.00867592925399403	0	0	0	0.00217221305065601	0	0	0	0	0	0	0	0.0199027081568704	0	0	0	0.00763650248186331	0	0	0	0	0	0	0.000829331807362808	0.00497141436738752	0.000820183064860077	0
Shewanella	0.265723906752289	0.165834172474186	0.00247883692971258	0	0	0	0.00325831957598401	0	0	0.0012230470995438	0.00280796338415747	0	0	0.000309911272402711	0.0108770614345687	0	0	0	0	0	0	0	0	0.000304755403313301	0	0	0	0.00300733790448695	1.03092783505155
Xanthomonas	1.5408932293854	1.53836950778158	0	0	0.000200344191320689	0	0.001086106525328	0	0	0	0	0	0.00185332764979521	0	0.0211755557715539	0	0	0	0.0152730049637266	0	0	0	0	0	0	0	0	0	0
Stenotrophomonas	0.0179439994502264	1.19972216960283	0.00867592925399403	0	0.000500860478301722	0	0	0	0	0.012230470995438	0	0	0	0	0.00717423201003467	0	0	0	0	0	0	0	0	0.0012190216132532	0	0	0	0	0
Lysobacter	0.00725395722455961	1.18509951712014	0.00371825539456887	0	0.000500860478301722	0	0.00651663915196803	0	0	0	0	0.00163886066406634	0	0.000619822544805422	0.00555424413680103	0	0	0	0.00381825124093165	0	0	0	0	0	0	0	0	0.000273394354953359	0
Haemophilus	1.0312072875545	0.0880682479071329	1.13530731380836	0.00107147602250957	0.000100172095660344	0	4.30315405334955	0.00252889259793137	0	0	0	0	0	0.00495858035844338	0.0101827809174686	0	0	0	0.99274532264223	0.0090688141618602	0	0.00172476241397747	0	0.06277961308254	0.00478095268450493	0.000829331807362808	14.4817300521999	8.28111501153724	0
Pasteurella	0.00916289333628582	3.63804947109201	0.00123941846485629	0	0	0	0.00977495872795204	0	0	0	0	0.00819430332033171	0	0	0.000694280517100129	0	0	0	0.00763650248186331	0	0	0	0	0	0	0	0.0149142431021626	0.0224183371061754	0
Bibersteinia	0.00839931889159534	0.5104635048504	0	0	0	0	0	0	0	0	0	0.0294994919531941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0745712155108128	0.053311899215905	0
Aeromonas	0.872383803058879	0.278827396204092	0.00247883692971258	0	0.000200344191320689	0	0.01086106525328	0	0	0	0	0	0	0.000619822544805422	0.0275397938449718	0	0	0	0	0	0	0	0.0096024582293067	0.000304755403313301	0	0	0	0.000273394354953359	0
Pseudomonas	0.516558111833113	2.44962662386217	0.0520555755239642	0.000857180818007655	0.00410705592207412	0	0.0944912677035364	0.00505778519586273	0.00365951840737759	0.0110074238958942	0.0126358352287086	0.00491658199219902	0.619011435031599	0.00681804799285964	0.0772965642371477	0	0	0	0.0572737686139748	0.00181376283237204	0	0	0.00240061455732668	0.00274279862981971	0	0	0	0.00191376048467351	0
Acinetobacter	0.187457526171514	0.194747144428603	0.0161124400431318	0.000642885613505741	0.0018030977218862	0	0.0271526631332001	0.0101155703917255	0	0.00244609419908761	0	0	0	0.0027892014516244	0.0130756164053858	0	0	0	0.011454753722795	0.511481118728915	0.698932355503333	0.493282050397558	0	0.0158472809722916	0	0.00497599084417685	0.0149142431021626	0.0109357741981344	0
Cardiobacterium	0.000381787222345243	1.26120377663234	0.494527967477659	0	0	0	0.00760274567729603	0	0	0	0	0.00163886066406634	0	0	0.000462853678066753	0	0	0	0.0954562810232913	0	0	0	0.00240061455732668	0	0	0	0.164056674123788	0.00136697177476679	1.03092783505155
Xanthobacter	2.27316112184357	0.015951984526575	0	0	0	0	0.00217221305065601	0	0	0	0	0	0	0	0.0152741713762028	0	0	0	0	0	0	0	0	0.0432752672704887	0	0	0	0	0
Bartonella	2.25521712239335	0.0315716360421797	0.00495767385942516	0	0	0	0.001086106525328	0	0	0	0	0	0	0	0.0170098726689532	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aliiroseovarius	0.00152714888938097	0.00830832527425782	0.00123941846485629	0	0.000100172095660344	0	0.001086106525328	0	0	0	0	0	0	0	0.000578567097583441	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03092783505155
Aestuariispira	0.000763574444690485	0.00598199419746563	0	0	0	0	0	0	0	0	0	0	0	0	0.000115713419516688	0	0	0	0	0	0.00202589088551691	0	0	0.49766557361062	0.819136559945178	0	0	0.000273394354953359	0
Phenylobacterium	0.00419965944579767	0.01063465635105	0	0	0	0	0.00217221305065601	0	0	0	0	0	0	0	0.00104142077565019	0	0	0	0	0	0	0	0.00240061455732668	0	0	0	0	0	1.03092783505155
Burkholderia	2.44343822300955	0.458287222128061	0.0260277877619821	0.000857180818007655	0.00110189305226379	0	0.0184638109305761	0.00252889259793137	0	0.0012230470995438	0.0154437986128661	0.00491658199219902	0.00185332764979521	0.00123964508961084	0.0570467158217273	0	0	0	0.0687285223367698	0	0	0	0	0.607377518803408	0.113149213533283	0.000829331807362808	0	0.0046477040342071	0
Cupriavidus	0.469216496262303	0.481550532895983	0.00371825539456887	0	0.000100172095660344	0	0.0152054913545921	0.0177022481855196	0.0109785552221328	0.316769198781845	0.706202791115604	0.524435412501229	0	0	0.0120341956297356	0	0	0	0.00763650248186331	0.00725505132948816	0.00202589088551691	0.0103485744838648	0.0240061455732668	0.00609510806626601	0	0	0	0.000273394354953359	0
Acidovorax	0.0106900422256668	1.79293659418484	0.00247883692971258	0	0	0	0.001086106525328	0	0	0	0	0	0	0	0.00428139652211746	0	0	0	0	0	0	0	0	0.00213328782319311	0.135460326060973	0	0	0	0
Hydrogenophaga	0.00725395722455961	0.812886544833385	0.00247883692971258	0	0	0	0.00325831957598401	0	0	0	0	0	0	0	0.00381854284405071	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Variovorax	0.00725395722455961	0.864065828522813	0	0	0	0	0.00760274567729603	0	0	0	0	0	0	0.000309911272402711	0.00659566491245123	0	0	0	0.00381825124093165	0	0	0	0	0	0	0	0	0.000273394354953359	0
Rhodoferax	0.00419965944579767	0.52043349517951	0.00371825539456887	0	0	0	0.00325831957598401	0	0	0	0	0	0	0	0.00300854890743389	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Comamonas	0.00381787222345243	1.83613988561098	0.00371825539456887	0	0	0	0.001086106525328	0	0	0	0.00140398169207874	0	0	0	0.0059013843953511	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delftia	0.00343608500110718	0.5742714429567	0	0	0	0	0.00434442610131202	0	0	0	0	0	0	0	0.00300854890743389	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ottowia	0.00152714888938097	0.984370378494066	0	0	0	0	0	0	0	0	0	0	0	0	0.000925707356133506	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diaphorobacter	0.000763574444690485	0.569951113814086	0.00371825539456887	0	0	0	0.00217221305065601	0	0	0	0	0	0	0	0.00150427445371695	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Turicimonas	0.00114536166703573	0.00465266215358438	0	1.36806058554022	1.17862487753961	0	0.001086106525328	0.00252889259793137	0	0.00856132969680662	0.0350995423019684	0.0229440492969288	0.00555998294938562	1.75533744688896	0.0188612873812202	0	0	0	0	0	0	0	0	0.000304755403313301	0.00637460357933991	0	0	0	0
Sutterella	0.000381787222345243	0.0182783156033672	0.00123941846485629	0.0402874984463598	0.0381655684465912	0	0.001086106525328	1.36307311028501	0.629437166068945	1.04570527010995	1.69741386572319	1.47169687633157	0.539318346090405	0.0489659810396284	0.00520710387825097	0	0	0	0	1.05560996844053	0.662466319564028	0.529502061091085	0.818609564048396	0.0984359952701961	0.331479386125675	0	0	0.000820183064860077	0
Neisseria	0.0725395722455961	8.59313466465938	5.8327032956137	0	0	0	5.90190285863237	0	0	0	0	0.00491658199219902	0	0.000619822544805422	0.00671137833196791	0	0	0	0.733104238258877	0	0	0.00172476241397747	0	0.00853315129277242	0.0653396866882341	0	4.05667412378822	7.25151187078289	0
Kingella	0.000763574444690485	0.113325556740877	0.106589987977641	0	0	0	0.0510470066904162	0	0	0	0	0	0	0	0.000925707356133506	0	0	0	0.194730813287514	0	0	0	0	0.0015237770165665	0	0	1.89410887397465	0.152827444418928	0
Campylobacter	0.0855203378053343	1.00198402807549	0.38421972410545	0.0015000664315134	0.00110189305226379	0	0.323659744547745	0	0	0	0	0.00163886066406634	0	0.00185946763441627	0.0108770614345687	0	0	0	0.129820542191676	0	0	0	0	0	0	0	0.134228187919463	0.63810242446114	1.03092783505155
Oleidesulfovibrio	0.000381787222345243	0.00166166505485156	0	0.0246439485177201	0.0123211677662224	0	0	0.791543383152517	0.508673058625485	0	0	0	0	0.00526849163084609	0.000694280517100129	0	0	0	0	0.48064715057859	0.443670103928202	0.36909915659118	0.660169003264836	0.169748759645509	0.138647627850643	0	0	0	0
