Genus	Basepaws_WGS1.DOWNSAMPLE_1M	Basepaws_WGS2.DOWNSAMPLE_1M	Bristle1.DOWNSAMPLE_1M	Kean5.DOWNSAMPLE_1M	Kean6a.DOWNSAMPLE_1M	Kean6b.DOWNSAMPLE_1M	Nebula_lcWGS.DOWNSAMPLE_1M	Ombre5.DOWNSAMPLE_1M	Ombre6.DOWNSAMPLE_1M	PetQCheck1.DOWNSAMPLE_1M	PetQCheck2.DOWNSAMPLE_1M	PetQCheck3.DOWNSAMPLE_1M	PetQCheck4.DOWNSAMPLE_1M	Psomagen1a.DOWNSAMPLE_1M	Psomagen1b.DOWNSAMPLE_1M	Psomagen2.DOWNSAMPLE_1M	Psomagen3.DOWNSAMPLE_1M	Psomagen4.DOWNSAMPLE_1M	SequencingDotCom_WGS.DOWNSAMPLE_1M	thryve2.DOWNSAMPLE_1M	thryve3a.DOWNSAMPLE_1M	thryve3b.DOWNSAMPLE_1M	thryve4.DOWNSAMPLE_1M	uBiome_Fecal2013.DOWNSAMPLE_1M	uBiome_Fecal2014.DOWNSAMPLE_1M	uBiome_Fecal2019.DOWNSAMPLE_1M	uBiome_Oral2014.DOWNSAMPLE_1M	uBiome_Oral2019.DOWNSAMPLE_1M	Veritas_WGS-DOWNSAMPLE_1M
Klebsiella	69133	332	32	2	35	0	30	1	0	1	5	3	0	18	1113	0	0	0	0	0	0	0	8	11	0	2	5	28	1
Raoultella	6	78	1	0	0	0	1	1	1	0	1	0	0	1	13	0	0	0	0	0	0	0	0	2	1	0	0	0	0
Salmonella	9140	119	2	6	39	0	4	1	1	6	12	3	0	18	174	0	0	0	0	0	1	0	6	7	0	3	1	15	0
Escherichia	442	133	5	19	95	0	13	1	1	15	27	10	4	51	43	0	0	0	2	2	3	2	48	265	63	199	31	766	0
Enterobacter	313	343	2	1	0	0	12	1	0	0	0	0	0	2	69	0	0	0	1	0	0	0	2	0	1	0	0	22	0
CandidatusBlochmannia	36	39	1	0	1	0	0	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	1	0	1	0	0	0	0
CandidatusHamiltonella	4	2	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	2	0	0	0	0	2	0
Symbiopectobacterium	3	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusMikella	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusAnnandia	2	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CandidatusGullanella	2	2	0	6	13	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusPurcelliella	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
CandidatusTachikawaea	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter	50	246	1	0	7	0	7	0	0	2	0	0	1	4	39	0	0	0	0	0	0	0	0	0	0	1	0	2	0
Buttiauxella	21	13	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kosakonia	20	107	2	0	1	0	1	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudocitrobacter	12	13	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Leclercia	12	73	1	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Cronobacter	12	65	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusProfftia	10	7	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	4	0	0	0	6	0
Pluralibacter	8	55	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cedecea	7	75	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kluyvera	5	41	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusSchneideria	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Lelliottia	3	40	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shimwellia	2	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plesiomonas	2	43	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudescherichia	2	14	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jejubacter	2	16	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shigella	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
CandidatusMoranella	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	2	1	1	0	0	0	1	0
CandidatusRiesia	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Scandinavium	1	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serratia	1198	449	39	0	1	0	11	0	0	0	2	1	0	1	99	0	0	0	2	1	0	0	1	0	0	0	0	0	0
Yersinia	95	156	3	0	0	0	0	0	0	0	2	0	0	0	14	0	0	0	0	0	0	0	1	0	0	0	0	10	8
Rahnella	31	63	1	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	1	0	56	0
Gibbsiella	3	31	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chania	3	13	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusFukatsuia	2	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Nissabacter	2	33	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ewingella	1	14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Providencia	90	115	3	0	0	0	188	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteus	52	82	4	0	6	0	1	0	0	0	0	0	0	3	7	0	0	0	0	0	0	0	0	39	9	2	0	28	0
Xenorhabdus	22	69	0	0	1	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Photorhabdus	16	41	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Morganella	11	53	1	0	2	0	0	0	0	0	0	0	0	1	25	0	0	0	0	0	0	0	1	0	0	0	1	4	0
Arsenophonus	9	21	0	0	3	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0
Moellerella	2	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Buchnera	119	134	2	0	0	0	6	0	1	0	0	0	0	1	16	0	0	0	1	0	0	2	0	11	0	6	0	0	0
Pantoea	44	349	3	6	7	0	3	4	4	1	0	0	0	2	70	0	0	0	0	0	2	9	44	66	15	65	0	1	0
Erwinia	27	142	1	1	4	0	5	0	0	0	0	0	0	1	37	0	0	0	0	0	0	0	0	2	0	0	0	1	0
Wigglesworthia	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mixta	2	61	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pectobacterium	39	164	3	1	2	0	2	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	1	0	6	0
Dickeya	25	184	4	0	1	0	0	0	0	0	0	0	0	0	40	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Brenneria	7	46	3	1	1	0	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Musicola	1	9	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Edwardsiella	11	86	1	0	1	0	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Hafnia	8	33	1	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Obesumbacterium	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sodalis	10	71	2	5	17	0	1	0	0	1	1	1	1	5	7	0	0	0	0	0	0	0	0	239	31	157	26	522	0
Jinshanibacter	4	6	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pragia	3	12	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leminorella	1	11	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthomonas	3021	3201	1	0	1	0	1	0	0	0	0	0	1	0	128	0	0	0	4	0	0	0	0	0	0	0	0	0	0
