Genus	Basepaws_WGS1.DOWNSAMPLE_1M	Basepaws_WGS2.DOWNSAMPLE_1M	Bristle1.DOWNSAMPLE_1M	Kean5.DOWNSAMPLE_1M	Kean6a.DOWNSAMPLE_1M	Kean6b.DOWNSAMPLE_1M	Nebula_lcWGS.DOWNSAMPLE_1M	Ombre5.DOWNSAMPLE_1M	Ombre6.DOWNSAMPLE_1M	PetQCheck1.DOWNSAMPLE_1M	PetQCheck2.DOWNSAMPLE_1M	PetQCheck3.DOWNSAMPLE_1M	PetQCheck4.DOWNSAMPLE_1M	Psomagen1a.DOWNSAMPLE_1M	Psomagen1b.DOWNSAMPLE_1M	Psomagen2.DOWNSAMPLE_1M	Psomagen3.DOWNSAMPLE_1M	Psomagen4.DOWNSAMPLE_1M	SequencingDotCom_WGS.DOWNSAMPLE_1M	thryve2.DOWNSAMPLE_1M	thryve3a.DOWNSAMPLE_1M	thryve3b.DOWNSAMPLE_1M	thryve4.DOWNSAMPLE_1M	uBiome_Fecal2013.DOWNSAMPLE_1M	uBiome_Fecal2014.DOWNSAMPLE_1M	uBiome_Fecal2019.DOWNSAMPLE_1M	uBiome_Oral2014.DOWNSAMPLE_1M	uBiome_Oral2019.DOWNSAMPLE_1M	Veritas_WGS.DOWNSAMPLE_1M
Klebsiella	34.5024978664577	0.125425483284788	0.0399995000062499	0.000441870792561547	0.00365107414601376	0	0.0330163761225568	0.00355593485527345	0	0.00124325533978168	0.00732955128487034	0.00501420691960555	0	0.00570879439776976	0.145630496308208	0	0	0	0	0	0	0	0.0223363859727496	0.00384930327610702	0	0.00185030992691276	0.0268817204301075	0.00864571110973878	1.13636363636364
Salmonella	4.56153834636749	0.0449567244303907	0.00249996875039062	0.00132561237768464	0.00406833976270104	0	0.00440218348300757	0.00355593485527345	0.00478354460655346	0.00745953203869011	0.0175909230836888	0.00501420691960555	0	0.00570879439776976	0.02276703176786	0	0	0	0	0	0.00257340641807561	0	0.0167522894795622	0.00244955663024992	0	0.00277546489036914	0.00537634408602151	0.00463163095164577	0
Serratia	0.597890912357577	0.169626632514668	0.0487493906326171	0	0.000104316404171822	0	0.0121060045782708	0	0	0	0.00293182051394814	0.00167140230653518	0	0.000317155244320542	0.0129536560058514	0	0	0	0.00767312488010742	0.00265181649429859	0	0	0.0027920482465937	0	0	0	0	0	0
Yersinia	0.0474120506460516	0.05893486563984	0.00374995312558593	0	0	0	0	0	0	0	0.00293182051394814	0	0	0	0.00183183014224161	0	0	0	0	0	0	0	0.0027920482465937	0	0	0	0	0.00308775396776385	9.09090909090909
Xanthomonas	1.50770321054444	1.20929810841749	0.00124998437519531	0	0.000104316404171822	0	0.00110054587075189	0	0	0	0	0	0.00187090739008419	0	0.0167481613004947	0	0	0	0.0153462497602148	0	0	0	0	0	0	0	0	0	0
Stenotrophomonas	0.0239555624316892	0.927090771026713	0.00499993750078124	0	0.000104316404171822	0	0.00110054587075189	0	0	0.0124325533978168	0	0	0	0	0.00798154561976702	0	0	0	0	0	0	0	0	0.0013997466458571	0.00175645056469886	0	0	0	0
Lysobacter	0.00948241012921031	1.22667633802923	0.00374995312558593	0	0.000521582020859108	0	0.00660327522451136	0	0	0	0	0.00167140230653518	0	0.000317155244320542	0.00628056048768552	0	0	0	0.00383656244005371	0	0	0	0	0	0	0	0	0.000308775396776385	0
Haemophilus	1.3230457501335	0.0936913248633353	1.12998587517656	0.00110467698140387	0.000104316404171822	0	4.29653107941539	0.00355593485527345	0	0	0	0	0	0.00507448390912868	0.01138351588393	0	0	0	0.985996547093804	0.013259082471493	0	0.00215936082919456	0	0.0696373956313907	0.00526935169409657	0.000925154963456379	15.0430107526882	9.17186438584574	0
Pasteurella	0.010480558563864	3.47073468354622	0.00124998437519531	0	0.000104316404171822	0	0.00990491283676704	0	0	0	0	0.00835701153267591	0	0	0.00078507006096069	0	0	0	0.00767312488010742	0	0	0	0	0	0	0	0.0161290322580645	0.0228493793614525	0
Shewanella	0.346856581042167	0.176049021719009	0.00249996875039062	0	0.000104316404171822	0	0.00330163761225568	0	0	0.00124325533978168	0.00293182051394814	0	0	0.00126862097728217	0.0122994309550508	0	0	0	0	0	0	0	0	0.00069987332292855	0	0	0.010752688172043	0.004014080158093	1.13636363636364
Pseudomonas	0.66726222856601	2.51984329370341	0.052499343758203	0.000883741585123094	0.00406833976270104	0	0.0968480366261666	0.0071118697105469	0.00478354460655346	0.0111892980580352	0.0131931923127666	0.00334280461307037	0.61178671655753	0.00666026013073139	0.0846567215735944	0	0	0	0.0575484366008057	0.00265181649429859	0	0	0.0027920482465937	0.00314942995317847	0	0	0	0.00216142777743469	1.13636363636364
Acinetobacter	0.239056550099565	0.185871499325649	0.0149998125023437	0.000662806188842321	0.00187769527509279	0	0.0264131008980454	0.0142237394210938	0	0.00248651067956337	0	0	0.00187090739008419	0.00285439719888488	0.0142621061074525	0	0	0	0.0115096873201611	0.689472288517635	0.802902802439589	0.567911898078169	0	0.0164470230888209	0	0.00555092978073827	0.0161290322580645	0.0114246896807262	0
Cardiobacterium	0.000499074217326859	1.36343544932168	0.497493781327733	0	0	0	0.00770382109526325	0	0	0	0	0.00167140230653518	0	0	0.00052338004064046	0	0	0	0.0959140610013428	0	0	0	0.0027920482465937	0	0	0	0.17741935483871	0.00154387698388192	1.13636363636364
Xanthobacter	2.96150640561758	0.0166226544112369	0	0	0	0	0.00220109174150379	0	0	0	0	0	0	0	0.0164864712801745	0	0	0	0	0	0	0	0	0.0440920193444986	0	0	0	0	0
Bartonella	2.93904806583787	0.0347564592234954	0.00499993750078124	0	0	0	0.00330163761225568	0	0	0	0	0	0	0	0.0191033714833768	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aliiroseovarius	0.00199629686930743	0.00944469000638461	0.00124998437519531	0	0.000104316404171822	0	0.00110054587075189	0	0	0	0	0	0	0	0.000654225050800575	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13636363636364
Aestuariispira	0.000998148434653717	0.00680017680459692	0	0	0	0	0	0	0	0	0	0	0	0	0.000130845010160115	0	0	0	0	0	0.00257340641807561	0	0	0.532953535410091	0.876468831784729	0	0	0.000308775396776385	0
Phenylobacterium	0.00548981639059545	0.0117114156079169	0	0	0	0	0.00220109174150379	0	0	0	0	0	0	0	0.00117760509144104	0	0	0	0	0	0	0	0.0027920482465937	0	0	0	0	0	1.13636363636364
