## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=Basepaws_WGS1_Picard_insert_hist.pdf MINIMUM_PCT=0.5 INPUT=../../felCat9.gatk.bam OUTPUT=Basepaws_WGS1_Picard_insert_stats.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Dec 02 02:29:08 UTC 2022

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
173	137	64	2	237763637	199.154497	118.237076	142692796	FR	25	49	73	99	129	159	199	249	371	535	913			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	700
3	1058
4	892
5	409
6	391
7	586
8	596
9	2028
10	569
11	519
12	409
13	461
14	651
15	723
16	517
17	538
18	538
19	107466
20	100359
21	64799
22	34052
23	20452
24	14818
25	14985
26	19973
27	70880
28	82194
29	81465
30	59642
31	100424
32	143209
33	195173
34	214042
35	211670
36	173403
37	120924
38	109085
39	137388
40	181347
41	242841
42	307951
43	371887
44	385866
45	348516
46	252442
47	172267
48	141564
49	164246
50	213788
51	276927
52	335213
53	385276
54	402386
55	377788
56	303223
57	227270
58	183672
59	190696
60	240090
61	310515
62	375644
63	426955
64	452036
65	429439
66	372737
67	299779
68	238826
69	230193
70	266830
71	339408
72	417835
73	477549
74	511181
75	506581
76	466173
77	392427
78	319174
79	291070
80	309972
81	380360
82	466918
83	537556
84	582849
85	589236
86	558147
87	487778
88	410251
89	356510
90	353722
91	407789
92	487130
93	581782
94	641057
95	659696
96	643747
97	577528
98	500822
99	435905
100	411826
101	438155
102	503634
103	593362
104	672003
105	716824
106	718281
107	660252
108	587843
109	512155
110	464294
111	474366
112	522752
113	606549
114	687988
115	746276
116	758069
117	733866
118	664580
119	590848
120	522974
121	509579
122	538707
123	607433
124	688831
125	750447
126	775112
127	773685
128	714213
129	646506
130	579752
131	542150
132	552337
133	600031
134	676504
135	737022
136	777901
137	780528
138	745802
139	686812
140	618105
141	572602
142	557913
143	586368
144	640213
145	703855
146	750419
147	768601
148	751007
149	702836
150	643055
151	592689
152	562346
153	570979
154	606304
155	657167
156	706544
157	732906
158	733292
159	699610
160	652205
161	596521
162	557886
163	550495
164	570419
165	611863
166	655330
167	680592
168	689192
169	673828
170	638100
171	591176
172	550961
173	530813
174	538186
175	567177
176	601438
177	628657
178	640197
179	637547
180	608158
181	572167
182	535803
183	511752
184	507436
185	517912
186	542230
187	568645
188	587724
189	587652
190	571888
191	544288
192	509750
193	486919
194	475220
195	478342
196	493936
197	513387
198	532627
199	536510
200	529724
201	509208
202	483472
203	460604
204	445224
205	443852
206	449017
207	465801
208	480930
209	488697
210	486089
211	473746
212	454212
213	431828
214	415620
215	408449
216	411534
217	422416
218	431757
219	441262
220	441982
221	434106
222	420090
223	402880
224	388218
225	377793
226	375695
227	380122
228	387441
229	395985
230	400017
231	396145
232	386394
233	372494
234	359867
235	348398
236	345237
237	345100
238	350423
239	355426
240	359573
241	359542
242	352816
243	344135
244	331640
245	321436
246	317116
247	315791
248	318792
249	322322
250	324516
251	325148
252	321424
253	315056
254	305555
255	297169
256	291403
257	289161
258	288351
259	289909
260	294242
261	294376
262	292043
263	287579
264	279876
265	273905
266	268356
267	264353
268	262953
269	263515
270	264886
271	266906
272	264551
273	261905
274	256013
275	251320
276	247128
277	242688
278	240665
279	240693
280	240911
281	241993
282	240615
283	238593
284	235640
285	231820
286	226852
287	223000
288	221189
289	220478
290	220145
291	220678
292	220787
293	219009
294	216312
295	212183
296	207686
297	204924
298	202693
299	201551
300	202315
301	201217
302	200292
303	198804
304	196490
305	194817
306	191033
307	187855
308	187143
309	184993
310	183766
311	183611
312	183401
313	181945
314	180882
315	177459
316	174934
317	172447
318	170882
319	169452
320	169462
321	166947
322	166767
323	166843
324	165439
325	163255
326	160773
327	157887
328	157209
329	155381
330	154802
331	153881
332	153607
333	151462
334	150492
335	148469
336	148204
337	144337
338	143618
339	142708
340	142077
341	140728
342	140522
