## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=Basepaws_WGS2_Picard_insert_hist.pdf MINIMUM_PCT=0.5 INPUT=../Basepaws_WGS2.felCat9.gatk.bam OUTPUT=Basepaws_WGS2_Picard_insert_stats.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Dec 01 02:53:43 UTC 2022

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
245	19	106	2	241513133	238.50048	167.78316	149506450	FR	33	67	103	149	213	323	449	453	453	561	911			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	528
3	428
4	430
5	434
6	452
7	454
8	418
9	435
10	465
11	626
12	548
13	646
14	666
15	710
16	941
17	1822
18	3576
19	18816072
20	11075953
21	4950427
22	1925361
23	704162
24	259275
25	165399
26	117136
27	67651
28	36641
29	20624
30	13954
31	9295
32	7306
33	5428
34	4567
35	4686
36	3883
37	4124
38	4016
39	3345
40	3355
41	3701
42	3779
43	3468
44	3685
45	3797
46	3993
47	4312
48	4321
49	4944
50	5198
51	4846
52	4952
53	5044
54	5381
55	5151
56	5451
57	6004
58	5792
59	5849
60	6129
61	6475
62	6468
63	6927
64	6922
65	7292
66	7561
67	7428
68	8121
69	8314
70	8296
71	9178
72	8986
73	9213
74	9644
75	9732
76	10520
77	11074
78	11042
79	11508
80	11905
81	12608
82	12807
83	13085
84	13834
85	14262
86	14573
87	14839
88	15512
89	16369
90	16714
91	17572
92	18150
93	18653
94	19396
95	19958
96	20941
97	21524
98	22435
99	23173
100	24055
101	24928
102	25527
103	26745
104	27580
105	28092
106	29680
107	30851
108	31813
109	33590
110	34616
111	35581
112	37434
113	38920
114	39987
115	41865
116	42489
117	44475
118	46336
119	47726
120	49102
121	51229
122	52661
123	54665
124	56846
125	59050
126	60792
127	62609
128	65675
129	67242
130	69850
131	71490
132	74881
133	77748
134	80197
135	83724
136	86135
137	88037
138	91473
139	95161
140	97533
141	101434
142	104483
143	107482
144	110902
145	115126
146	117984
147	121722
148	125906
149	129842
150	133733
151	138408
152	141917
153	146635
154	150364
155	154815
156	158445
157	163618
158	167898
159	171819
160	177062
161	181988
162	186675
163	191284
164	196286
165	200248
166	207186
167	211200
168	216509
169	221925
170	226950
171	232448
172	237125
173	242585
174	247319
175	252827
176	258586
177	263672
178	269287
179	274103
180	278994
181	284806
182	290872
183	296034
184	302192
185	307830
