## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=Bristle1_Picard_insert_hist.pdf MINIMUM_PCT=0.5 INPUT=/mnt/usb8/CDW_Genome/Bristle_Health/BWA_MEM.nodup.bam OUTPUT=Bristle1_Picard_insert_stats.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Dec 04 18:12:45 UTC 2022

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
363	362	68	2	223477550	366.708412	117.484454	4152023	FR	25	51	77	105	137	173	219	281	391	499	689			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	32
3	36
4	46
5	18
6	26
7	28
8	18
9	26
10	54
11	28
12	24
13	27
14	39
15	59
16	35
17	23
18	55
19	16962
20	11145
21	5452
22	2132
23	911
24	362
25	316
26	262
27	235
28	289
29	176
30	196
31	245
32	249
33	172
34	202
35	192
36	198
37	196
38	246
39	209
40	265
41	275
42	277
43	271
44	268
45	269
46	354
47	363
48	355
49	374
50	379
51	412
52	431
53	439
54	492
55	467
56	494
57	531
58	500
59	572
60	546
61	579
62	627
63	632
64	635
65	715
66	785
67	659
68	686
69	706
70	802
71	681
72	709
73	705
74	754
75	711
76	721
77	752
78	721
79	767
80	778
81	862
82	787
83	810
84	854
85	758
86	898
87	808
88	942
89	886
90	888
91	966
92	921
93	904
94	949
95	939
96	982
97	1052
98	1042
99	1076
100	1061
101	1093
102	1079
103	1172
104	1110
105	1141
106	1262
107	1140
108	1127
109	1199
110	1187
111	1122
112	1214
113	1277
114	1285
115	1224
116	1295
117	1289
118	1232
119	1184
120	1251
121	1277
122	1322
123	1365
124	1309
125	1374
126	1306
127	1260
128	1370
129	1368
130	1427
131	1371
132	1429
133	1406
134	1561
135	1531
136	1490
137	1524
138	1577
139	1660
140	1644
141	1648
142	1647
143	1691
144	1686
145	1731
146	1812
147	1676
148	1793
149	1846
150	1882
151	1785
152	1846
153	1914
154	2046
155	1990
156	1897
157	1967
158	2021
159	1952
160	1935
161	1959
162	2055
163	2029
164	2079
165	2032
166	2107
167	2198
168	2176
169	2227
170	2300
171	2176
172	2335
173	2325
174	2403
175	2418
176	2538
177	2490
178	2519
179	2556
180	2592
181	2622
182	2596
183	2747
184	2745
185	2700
186	2863
187	2827
188	2975
189	2981
190	2893
191	3153
192	3131
193	3079
194	3161
195	3273
196	3358
197	3350
198	3358
199	3471
200	3491
201	3500
202	3670
203	3584
204	3636
205	3751
206	3818
207	3929
208	3921
209	4063
210	3983
211	4083
212	4248
213	4191
214	4321
215	4280
216	4486
217	4409
218	4720
219	4586
220	4755
221	4845
222	4861
223	4888
224	4815
225	5130
226	5142
227	5340
228	5294
229	5493
230	5424
231	5613
232	5700
233	5626
234	5752
235	5962
236	5992
237	6153
238	6181
239	6159
240	6412
241	6450
242	6597
243	6604
244	6882
245	7032
246	6827
247	7098
248	7158
249	7309
250	7234
251	7575
252	7759
253	7788
254	7945
255	8144
256	8284
257	8243
258	8322
259	8442
260	8409
261	8827
262	8827
263	8835
264	8974
265	9187
266	9369
267	9933
268	9603
269	9820
270	9942
271	9921
272	9986
273	9993
274	10235
275	10651
276	10609
277	10820
278	10893
279	10887
280	11019
281	11124
282	11401
283	11483
284	11601
285	11744
286	11799
287	12077
288	12391
289	12293
290	12477
291	12413
292	12582
293	12660
294	12400
295	12870
296	13235
297	13106
298	13240
299	13650
300	13611
301	13664
302	13831
303	14155
304	14300
305	14169
306	14227
307	14209
308	14569
309	14647
310	14598
311	14882
312	15061
313	15165
314	14865
315	15340
316	15396
317	15309
318	15675
319	15731
320	15737
321	15848
322	15904
323	15898
324	16274
325	16101
326	16078
327	16181
328	16349
329	16522
330	16832
331	16661
332	16596
333	16783
334	16678
335	16790
336	16695
337	16581
338	16881
339	16984
340	16914
341	16969
342	16783
343	16956
344	16995
345	17127
346	16937
347	17023
348	17273
349	17000
350	17313
351	17207
352	17278
353	16924
354	17339
355	16926
356	17310
357	17105
358	16825
359	17101
360	17348
361	17255
362	17394
363	16989
364	17065
365	17012
366	17182
367	16907
368	16857
369	17040
370	16974
371	16833
372	16687
373	17057
374	16461
375	16337
376	16528
377	16357
378	16367
379	16379
380	16373
381	16172
382	16312
383	16241
384	15907
385	15909
386	15783
387	15747
388	15642
389	15787
390	15524
391	15493
392	15306
393	15448
394	15266
395	15046
396	14694
397	15032
398	14478
399	14775
400	14431
401	14565
402	14584
403	14308
404	14474
405	14430
406	14015
407	14033
408	13813
409	13845
410	13673
411	13589
412	13433
413	13563
414	13293
415	13016
416	13066
417	12910
418	13093
419	12756
420	13003
421	12844
422	12428
423	12533
424	12263
425	12162
426	12057
427	12131
428	11859
429	11844
430	11793
431	11556
432	11445
433	11383
434	11297
435	11277
436	11213
437	11044
438	10985
439	10976
440	10781
441	10801
442	10602
443	10642
444	10336
445	10597
446	10181
447	10357
448	9895
449	9875
450	9721
451	9629
452	9768
453	9550
454	9441
455	9626
456	9243
457	9122
458	9091
459	9081
460	8897
461	8827
462	8872
463	8759
464	8687
465	8618
466	8315
467	8421
468	8329
469	8053
470	8068
471	7839
472	7896
473	7757
474	7714
475	7679
476	7713
477	7582
478	7514
479	7344
480	7211
481	7298
482	7159
483	6944
484	7118
485	6953
486	6909
487	6828
488	6666
489	6640
490	6658
491	6456
492	6575
493	6322
494	6280
495	6243
496	6123
497	6071
498	5958
499	6039
500	5940
501	5746
502	5704
503	5652
504	5739
505	5531
506	5544
507	5510
508	5437
509	5407
510	5338
511	5265
512	5046
513	5142
514	5105
515	5029
516	4916
517	4891
518	4809
519	4738
520	4756
521	4772
522	4667
523	4613
524	4601
525	4509
526	4520
527	4326
528	4317
529	4218
530	4246
531	4155
532	4115
533	3977
534	3888
535	3962
536	3936
537	3904
538	3824
539	3731
540	3763
541	3762
542	3738
543	3581
544	3563
545	3475
546	3484
547	3465
548	3342
549	3365
550	3411
551	3271
552	3302
553	3107
554	3180
555	3081
556	3088
557	3034
558	3100
559	3020
560	3026
561	2917
562	2863
563	2909
564	2810
565	2724
