## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=Nebula_lcWGS_Picard_insert_hist.pdf MINIMUM_PCT=0.5 INPUT=/home/cwarden/CDW_Genome/Nebula/BWA_MEM.nodup.bam OUTPUT=Nebula_lcWGS_Picard_insert_stats.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Dec 02 02:21:39 UTC 2022

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
298	19	71	2	223477770	309.592184	123.039797	3361844	FR	27	55	83	111	143	179	223	283	403	557	865			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	65
3	64
4	92
5	57
6	57
7	66
8	63
9	118
10	88
11	67
12	55
13	66
14	88
15	48
16	78
17	67
18	79
19	36099
20	22952
21	9828
22	3549
23	1136
24	463
25	332
26	315
27	238
28	207
29	191
30	164
31	176
32	197
33	187
34	166
35	198
36	192
37	238
38	227
39	261
40	230
41	213
42	234
43	241
44	291
45	254
46	258
47	270
48	295
49	305
50	282
51	291
52	280
53	332
54	341
55	297
56	331
57	353
58	361
59	411
60	374
61	359
62	330
63	385
64	430
65	405
66	380
67	398
68	438
69	477
70	416
71	408
72	462
73	473
74	595
75	515
76	475
77	518
78	522
79	601
80	558
81	562
82	613
83	591
84	687
85	651
86	665
87	647
88	685
89	795
90	703
91	725
92	690
93	738
94	818
95	789
96	850
97	819
98	873
99	952
100	874
101	889
102	916
103	980
104	1051
105	1032
106	1035
107	1088
108	1074
109	1218
110	1182
111	1241
112	1221
113	1203
114	1332
115	1343
116	1397
117	1305
118	1432
119	1503
120	1612
121	1560
122	1558
123	1680
124	1765
125	1698
126	1945
127	1872
128	1927
129	2021
130	1977
131	2029
132	2193
133	2212
134	2394
135	2431
136	2394
137	2442
138	2479
139	2656
140	2704
141	2686
142	2673
143	2902
144	3057
145	3031
146	3036
147	3096
148	3295
149	3306
150	3295
151	3518
152	3666
153	3694
154	3753
155	3745
156	4012
157	3923
158	4103
159	4240
160	4281
161	4395
162	4447
163	4485
164	4733
165	4823
166	4948
167	5032
168	5218
169	5059
170	5398
171	5401
172	5597
173	5779
174	5910
175	5911
176	6182
177	6045
178	6301
179	6412
180	6632
181	6636
182	6643
183	6689
184	6974
185	7145
186	7095
187	7276
188	7533
189	7449
190	7718
191	7850
192	7834
193	7856
194	8169
195	8311
196	8268
197	8417
198	8608
199	8753
