## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=SequencingDotCom_WGS_Picard_insert_hist.pdf MINIMUM_PCT=0.5 INPUT=/mnt/usb8/CDW_Genome/Sequencing.com/BWA_MEM.nodup.bam OUTPUT=SequencingDotCom_WGS_Picard_insert_stats.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Dec 03 17:25:22 UTC 2022

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
342	342	55	2	249004766	343.077341	86.383182	400239873	FR	21	41	63	85	111	139	173	219	287	345	493			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	2111
3	2139
4	2321
5	2195
6	2212
7	2194
8	2130
9	2262
10	2475
11	2240
12	2288
13	2522
14	2977
15	3245
16	2922
17	3264
18	3900
19	452635
20	288877
21	136829
22	57582
23	24844
24	13154
25	10102
26	8277
27	6268
28	6513
29	5519
30	4956
31	4882
32	4434
33	4100
34	4398
35	4113
36	4067
37	3765
38	3987
39	4410
40	4273
41	4189
42	4192
43	4494
44	4874
45	4900
46	4737
47	4727
48	4847
49	4930
50	4859
51	5007
52	5240
53	4891
54	5559
55	5140
56	5323
57	5103
58	5256
59	5912
60	5972
61	5738
62	5529
63	5664
64	5914
65	5865
66	6574
67	5442
68	5515
69	6218
70	6151
71	5873
72	6001
73	7306
74	7519
75	7053
76	6858
77	7504
78	7571
79	7514
80	7279
81	8723
82	7863
83	7848
84	8514
85	7915
86	8161
87	7418
88	8747
89	8526
90	8129
91	8062
92	7537
93	7851
94	8348
95	7951
96	8695
97	8182
98	8048
99	8774
100	8582
101	8523
102	8346
103	8994
104	9366
105	8991
106	9597
107	10272
108	10743
109	10033
110	10699
111	9834
112	10665
113	10871
114	10893
115	10751
116	11195
117	9948
118	10895
119	10650
120	11834
121	10793
122	10651
123	11358
124	11401
125	11149
126	12290
127	11851
128	11631
129	12507
130	23682
131	24055
132	23569
133	25024
134	24723
135	104411
136	105587
137	107135
138	109683
139	115407
140	120374
141	126076
142	131080
143	134423
144	138334
145	143147
146	144595
147	146660
148	149324
149	153058
150	159805
151	165925
152	171987
153	177197
154	182896
155	185487
156	188794
157	191988
158	194727
159	197547
160	204499
161	212312
162	218429
163	225360
164	231308
165	237866
166	241146
167	243550
168	246976
169	250467
170	256015
171	262434
172	272294
173	280073
174	286770
175	294447
176	299763
177	304047
178	308745
179	309266
180	313794
181	322467
182	330486
183	337815
184	346359
185	358913
186	363438
187	368405
188	373616
189	377149
190	379992
191	387306
192	397590
193	407905
194	417016
195	428124
196	439352
197	441632
198	447806
199	451736
200	452931
201	460923
202	468660
203	480941
204	492958
205	505216
206	513719
207	522748
208	530787
209	534010
210	535368
211	541042
212	549852
213	562436
214	576158
215	589781
216	601203
217	612643
218	620999
219	626842
220	630987
221	634890
222	642142
223	653732
224	669604
225	685516
226	699105
227	711661
228	723898
229	731392
230	737523
231	738614
232	743954
233	755709
234	770265
235	791586
236	807350
237	823425
238	837143
239	844524
240	851177
241	855701
242	860774
243	870769
244	884453
245	904566
246	923770
247	940830
248	955956
249	967981
250	976985
251	983177
252	988671
253	996565
254	1009568
255	1030735
256	1049452
257	1069100
258	1089361
259	1103279
260	1112249
261	1119789
262	1124427
263	1130644
264	1142745
265	1161055
266	1182266
267	1208467
268	1227440
269	1243535
270	1256839
271	1264432
272	1269391
273	1274655
274	1284847
275	1301173
276	1323483
277	1347062
278	1368891
279	1388302
280	1404569
281	1414174
282	1420293
283	1424304
284	1430363
285	1443660
286	1466006
287	1489516
288	1512401
289	1536426
290	1552942
291	1563515
292	1570514
293	1572414
294	1579566
295	1590324
296	1606320
297	1628680
298	1651735
299	1680856
300	1693142
301	1708876
302	1712870
303	1716544
304	1720105
305	1727956
306	1741520
307	1755189
308	1785076
309	1804435
310	1823769
311	1840456
312	1846498
313	1846065
314	1844919
315	1845306
316	1856515
317	1873097
318	1893402
319	1912864
320	1934968
321	1945132
322	1952086
323	1953732
324	1949014
325	1944473
326	1946108
327	1959020
328	1973048
329	1992568
330	2006112
331	2015667
332	2022159
333	2019776
334	2011179
335	2003733
336	1998515
337	1999105
338	2009006
339	2025500
340	2036441
341	2046507
342	2049927
343	2041043
344	2032436
345	2018691
346	2005954
347	2001449
348	2003398
349	2009329
350	2020854
351	2027292
352	2027263
353	2017385
354	2001170
355	1985378
356	1972080
357	1957885
358	1953706
359	1955332
360	1957175
361	1960174
362	1958186
363	1947138
364	1934174
365	1913473
366	1895696
367	1876237
368	1866756
369	1859071
370	1858267
371	1856670
372	1851012
373	1844842
374	1826395
375	1808031
376	1785672
377	1764186
378	1748797
379	1737507
380	1728472
381	1726587
382	1719742
383	1709844
384	1691356
385	1676186
386	1650354
387	1630367
388	1609894
389	1600700
390	1584914
391	1581465
392	1573958
393	1563227
394	1549786
395	1528724
396	1506768
397	1484427
398	1463069
399	1447882
400	1434462
401	1424884
402	1417945
403	1407101
404	1392656
405	1375916
406	1357061
407	1336976
408	1313634
409	1298708
410	1283355
411	1274685
412	1261633
413	1254256
414	1241437
415	1228452
416	1208507
417	1187982
418	1169387
419	1153102
420	1136808
421	1124877
422	1116491
423	1106497
424	1095089
425	1084786
426	1065135
427	1045903
428	1030562
429	1013368
430	1000580
431	986614
432	975937
433	970497
434	959704
435	949338
436	934135
437	919864
438	900316
439	884215
440	871001
441	858201
442	848569
443	839840
444	829954
445	820973
446	807229
447	794722
448	778631
449	767117
450	752869
451	742586
452	732802
453	724522
454	715638
455	706252
456	695901
457	684887
458	671492
459	658722
460	646456
461	635252
462	626083
463	619938
464	612345
465	604508
466	596327
467	585954
468	575174
469	563254
470	552646
471	540725
472	530975
473	526012
474	519647
475	512076
476	507949
477	496063
478	486057
479	476846
480	467247
481	457682
482	449998
483	443144
484	436705
485	431104
486	424928
487	416747
488	409339
489	399683
490	392672
491	383014
492	376545
493	368186
494	365033
495	357886
496	353806
497	347829
498	340550
499	332788
500	325158
501	316884
502	312080
503	305619
504	301253
505	295888
506	291202
507	285782
508	281096
509	274815
510	269164
511	262221
512	256987
513	251199
514	247170
515	242352
516	238007
517	234543
518	230361
519	224692
520	219811
521	215092
522	210120
523	206269
524	201410
525	198516
526	193424
527	189951
528	187240
529	183030
530	178393
531	174114
532	169687
533	166494
534	162673
535	160241
536	156039
537	153622
538	150353
539	147456
540	143505
541	140582
542	136152
543	132790
544	130734
545	127218
546	124915
547	122329
548	120029
549	117302
550	114536
551	112139
552	108251
553	106141
554	104538
555	101522
556	99048
557	97268
558	94794
559	93261
560	91360
561	88418
562	86612
563	84212
564	82392
565	80201
566	78468
567	77379
568	74915
569	73485
570	72425
571	69857
572	68044
573	66839
574	65035
575	64711
576	61555
577	60056
578	58902
579	57781
580	56681
581	54973
582	53599
583	51849
584	50431
585	48991
586	47971
587	46828
588	45480
589	45019
590	43617
591	42388
592	41352
593	40950
594	39262
595	38752
596	37721
597	37007
598	35960
599	35037
600	34454
601	34068
602	33016
603	31948
604	31594
605	30191
606	29573
607	28757
608	27836
609	27828
610	27126
611	26582
612	25956
613	24993
614	24420
615	23844
616	23115
617	22294
618	22032
619	21568
620	20818
621	20506
622	20121
623	19856
624	19232
625	18617
626	18340
627	18014
628	17434
629	17109
630	16729
631	16435
632	15869
633	16227
634	15182
635	14928
636	14544
637	14411
638	13818
639	13412
640	13220
641	12708
642	12664
643	12384
644	12119
645	11477
646	11429
647	11017
648	10741
649	10913
650	10475
651	10081
652	9968
653	9825
654	9828
655	9385
656	9304
657	8966
658	9022
659	8756
660	8404
661	8574
662	8504
663	8683
664	7991
665	8682
666	7795
667	8233
668	7380
669	7649
670	7075
671	6752
672	6599
673	6608
674	6428
675	6080
676	5985
677	5830
678	5528
679	5555
680	5304
681	5360
682	5104
683	5047
684	5095
685	4908
686	4931
687	4775
688	4818
689	4517
690	4503
691	4334
692	4305
693	4217
694	4153
695	4111
696	4018
697	3856
698	3853
699	3757
700	3711
701	3541
702	3574
703	3334
704	3335
705	3263
706	3158
707	3183
708	3141
709	3230
710	3119
711	2920
712	2881
713	2820
714	2874
715	3025
716	2850
717	2616
718	2536
719	2767
720	2819
721	2275
722	1822
723	1741
724	1764
725	1486
726	1350
727	1321
728	1259
729	1195
730	1192
731	1194
732	1227
733	1227
734	1149
735	1145
736	1139
737	1093
738	1034
739	1039
740	1030
741	967
742	985
743	1000
744	934
745	862
746	934
747	897
748	844
749	856
750	863
751	805
752	839
753	802
754	707
755	744
756	721
757	813
758	730
759	720
760	772
761	703
762	673
763	594
764	689
765	645
766	697
767	625
768	577
769	602
770	550
771	569
772	495
773	586
774	551
775	532
776	481
777	525
778	492
779	482
780	450
781	499
782	468
783	407
784	473
785	476
786	461
787	461
788	451
789	441
790	399
791	422
792	414
793	383
794	393
795	388
796	381
797	358
798	379
799	362
800	401
801	359
802	401
803	324
804	363
805	374
806	377
807	337
808	338
809	323
810	333
811	346
812	313
813	315
814	330
815	332
816	247
817	287
818	289
819	264
820	265
821	264
822	269
823	270
824	273
825	266
826	267
827	265
828	272
829	335
830	251
831	230
832	207
833	233
834	230
835	260
836	205
837	211
838	199
839	216
840	210
841	177
842	210
843	180
844	196
845	193
846	204
847	187
848	173
849	199
850	166
851	181
852	169
853	156
854	183
855	172
856	168
857	228
858	155
859	138
860	137
861	167
862	131
863	145
864	149
865	157
866	172
867	133
868	148
869	130
870	143
871	144
872	131
873	133
874	124
875	121
876	121
877	141
878	129
879	124
880	99
881	130
882	95
883	120
884	114
885	134
886	118
887	110
888	112
889	90
890	114
891	110
892	128

