## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=Veritas_WGS_Picard_insert_hist.pdf MINIMUM_PCT=0.5 INPUT=/mnt/usb8/CDW_Genome/Veritas/BWA_MEM.nodup.bam OUTPUT=Veritas_WGS_Picard_insert_stats.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Dec 04 17:27:09 UTC 2022

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
388	373	53	2	244203750	392.108465	88.106112	223459550	FR	21	41	61	83	107	135	169	215	291	365	551			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	437
3	429
4	477
5	486
6	479
7	488
8	482
9	500
10	518
11	485
12	533
13	569
14	535
15	556
16	578
17	565
18	558
19	611
20	782
21	916
22	1831
23	1985
24	2143
25	3043
26	3504
27	3886
28	3982
29	3755
30	3800
31	3887
32	3955
33	4014
34	4593
35	4421
36	4493
37	4592
38	4819
39	5476
40	5725
41	5774
42	5704
43	6067
44	6418
45	6537
46	6693
47	6959
48	6866
49	7089
50	6987
51	7552
52	7284
53	7602
54	8055
55	7781
56	8103
57	8168
58	8294
59	8646
60	8657
61	8455
62	8757
63	9162
64	9979
65	10203
66	10859
67	10254
68	10439
69	10998
70	11098
71	10697
72	10286
73	11005
74	11260
75	10844
76	10854
77	11176
78	10837
79	11011
80	10816
81	12462
82	11310
83	11214
84	11352
85	11198
86	11363
87	10902
88	11987
89	11748
90	11826
91	12318
92	12323
93	12817
94	13057
95	12929
96	12986
97	13114
98	13179
99	13863
100	13939
101	13819
102	13925
103	14657
104	14447
105	13875
106	14058
107	14627
108	14982
109	15296
110	15469
111	15440
112	16132
113	16374
114	16197
115	15856
116	15747
117	15537
118	16535
119	16704
120	18231
121	17817
122	18133
123	18790
124	18872
125	18303
126	18039
127	18382
128	18634
129	19348
130	19597
131	20235
132	21202
133	21967
134	22062
135	22368
136	21364
137	21662
138	22454
139	24175
140	24329
141	25676
142	26243
143	25775
144	26208
145	26806
146	27089
147	27126
148	27262
149	27794
150	29166
151	30031
152	30620
153	31302
154	31732
155	31546
156	32277
157	33189
158	33964
159	35525
160	35935
161	37256
162	37632
163	38091
164	38901
165	39391
166	39584
167	40452
168	41676
169	42440
170	43081
171	44150
172	45052
173	45130
174	47013
175	47269
176	48479
177	48611
178	49361
179	50342
180	51438
181	52142
182	53286
183	53505
184	54544
185	55536
186	55564
187	56823
188	58241
189	59619
190	60171
191	61918
192	62535
193	63098
194	64014
195	65494
196	67440
197	67977
198	69360
199	70486
200	72145
201	72756
202	74170
203	74113
204	75639
205	77206
206	78532
207	79601
208	81255
209	83344
210	84428
211	85860
212	87355
213	89151
214	89466
215	91627
216	93314
217	95418
218	97077
219	99106
220	101982
221	102817
222	104823
223	105949
224	107794
225	110502
226	112205
227	113829
228	116818
229	120634
230	122295
231	123994
232	126763
233	129198
234	131900
235	134259
236	136647
237	140772
238	143238
239	146658
240	150119
241	153302
242	156719
243	160752
244	162667
245	166278
246	169304
247	173857
248	177347
249	181029
250	185321
251	189669
252	194265
253	197610
254	202458
255	205061
256	210573
257	214579
258	220214
259	225813
260	231042
261	235999
262	241019
263	246498
264	252132
265	256428
266	262306
267	272122
268	274690
269	281724
270	287669
271	294337
272	301007
273	308447
274	314646
275	320371
276	327860
277	334527
278	342045
279	349056
280	357130
281	366308
282	373312
283	383478
284	390005
285	398675
286	405070
287	412943
288	421527
289	431310
290	440854
291	450242
292	460574
293	470820
294	479792
295	489476
296	497783
297	506489
298	518012
299	528519
300	538354
301	552589
302	563738
303	574606
304	585548
305	596396
306	605624
307	616169
308	626494
309	637688
310	651645
311	663818
312	673918
313	689205
314	699585
315	710735
316	722407
317	733325
318	744660
319	756763
320	769882
321	782519
322	795047
323	806424
324	821774
325	831359
326	843381
327	853884
328	863207
329	876941
330	886467
331	899168
332	913440
333	924250
334	934622
335	946009
336	958783
337	967522
338	977987
339	988517
340	997182
341	1008140
342	1019756
343	1028368
344	1039626
345	1049074
346	1057972
347	1066386
348	1071474
349	1079752
350	1088239
351	1095324
352	1104273
353	1110587
354	1118941
355	1126283
356	1132510
357	1135645
358	1140847
359	1144753
360	1150317
361	1154393
362	1160948
363	1166639
364	1168987
365	1171783
366	1175429
367	1177018
368	1178819
369	1180999
370	1180035
371	1182513
372	1182610
373	1188157
374	1184140
375	1186209
376	1182524
377	1182646
378	1179406
379	1180414
380	1177351
381	1175022
382	1172784
383	1170115
384	1168696
385	1165152
386	1163940
387	1159062
388	1154415
389	1152470
390	1144131
391	1141144
392	1137287
393	1132905
394	1131653
395	1122129
396	1117034
397	1112733
398	1106185
399	1100087
400	1093970
401	1088349
402	1083044
403	1075017
404	1070324
405	1064358
406	1057901
407	1050740
408	1044887
409	1037711
410	1029342
411	1020399
412	1012179
413	1006486
414	999910
415	989931
416	985820
417	976420
418	970239
419	962284
420	955092
421	945995
422	938855
423	931851
424	923284
425	916613
426	908791
427	899069
428	892112
429	884975
430	877627
431	870572
432	862065
433	853010
434	846124
435	838629
436	833051
437	826396
438	817371
439	809549
440	803180
441	794819
442	786296
443	778429
444	769754
445	764597
446	757143
447	748688
448	741527
449	736079
450	729214
451	720471
452	712478
453	705830
454	700001
455	690468
456	683567
457	675657
458	669017
459	661983
460	655719
461	649324
462	642759
463	634259
464	627474
465	619997
466	616065
467	607598
468	602690
469	596364
470	588713
471	582162
472	575768
473	569007
474	561831
475	555553
476	550779
477	543372
478	536667
479	529478
480	524475
481	518742
482	511670
483	505439
484	499256
485	493792
486	487836
487	480653
488	475232
489	467142
490	461741
491	456165
492	452316
493	445467
494	439657
495	433992
496	428247
497	422276
498	416225
499	412905
500	406924
501	399960
502	396213
503	390707
504	386719
505	380740
506	375245
507	369827
508	365124
509	360717
510	354774
511	351238
512	344157
513	339283
514	335638
515	330097
516	324141
517	320887
518	315199
519	310733
520	305897
521	302277
522	297219
523	294379
524	288555
525	284264
526	279823
527	275691
528	271092
529	267392
530	264252
531	258800
532	255160
533	251011
534	247364
535	244477
536	238693
537	236322
538	230649
539	227834
540	223077
541	219678
542	216259
543	211801
544	208836
545	204868
546	201590
547	197627
548	194632
549	190773
550	186899
551	183690
552	180893
553	177839
554	174544
555	170765
556	168473
557	165128
558	162330
559	159926
560	156337
561	153626
562	150602
563	147508
564	144934
565	141205
566	139897
567	137376
568	134357
569	131918
570	129507
571	126489
572	123924
573	121451
574	118901
575	117710
576	114076
577	112303
578	110007
579	107710
580	106150
581	103715
582	101376
583	99459
584	96671
585	95197
586	93014
587	90835
588	88755
589	87520
590	85707
591	84029
592	81883
593	80611
594	78456
595	77107
596	75172
597	73598
598	72124
599	70577
600	68826
601	67816
602	66055
603	65037
604	64008
605	62226
606	61139
607	59306
608	58299
609	57239
610	55942
611	54874
612	53796
613	52312
614	51390
615	50034
616	49416
617	48128
618	47219
619	46172
620	45231
621	43772
622	43245
623	42195
624	41381
625	40517
626	39596
627	38675
628	37552
629	36640
630	36272
631	35121
632	34449
633	33908
634	32825
635	32082
636	31932
637	30829
638	30130
639	29745
640	28994
641	28245
642	27796
643	27228
644	26498
645	25879
646	25595
647	25023
648	24439
649	24194
650	23395
651	23234
652	22833
653	22028
654	21789
655	21333
656	21158
657	20675
658	20004
659	19878
660	19243
661	18819
662	18693
663	18577
664	17741
665	17799
666	16899
667	17105
668	16303
669	16397
670	15686
671	15237
672	15066
673	14678
674	14600
675	14028
676	13765
677	13614
678	13331
679	13170
680	12762
681	12511
682	12364
683	11916
684	11685
685	11462
686	11468
687	11227
688	11066
689	10627
690	10311
691	10387
692	9771
693	9814
694	9582
695	9394
696	9165
697	8931
698	8999
699	8806
700	8759
701	8409
702	8427
703	8002
704	7952
705	7742
706	7747
707	7553
708	7178
709	7399
710	7136
711	6833
712	6633
713	6636
714	6462
715	6509
716	6105
717	6156
718	6131
719	5916
720	5889
721	5558
722	5500
723	5360
724	5266
725	5159
726	5148
727	4901
728	5023
729	4813
730	4730
731	4666
732	4654
733	4666
734	4432
735	4270
736	4263
737	4126
738	4245
739	4167
740	3961
741	3943
742	3978
743	3981
744	3724
745	3547
746	3619
747	3518
748	3352
749	3164
750	3130
751	3068
752	3179
753	3237
754	2794
755	2653
756	2621
757	2612
758	2631
759	2583
760	2342
761	2124
762	2151
763	2181
764	2036
765	1871
766	1703
767	1752
768	1580
769	1598
770	1557
771	1558
772	1553
773	1443
774	1502
775	1488
776	1419
777	1421
778	1388
779	1343
