Genus	Basepaws_WGS1	Basepaws_WGS2	Basepaws_WGS2SUB1	Basepaws_WGS2SUB2	Basepaws_WGS2SUB3	Bristle1	Nebula_lcWGS	SequencingDotCom_WGS	Veritas_WGS
Burkholderia	36216942	217993	3051	150979	63934	23	24	0	459
Cupriavidus	111397	173581	2714	118172	52706	3	7	0	91
Ralstonia	22874	134206	2182	90434	41609	4	9	0	31
Paraburkholderia	12194	88551	1424	60159	26976	4	8	0	115
Pandoraea	848	61668	945	42062	18662	6	7	0	153
Polynucleobacter	420	13830	245	9315	4268	12	1	0	33
Caballeronia	180	1606	34	1100	471	1	0	0	1
Lautropia	61	83113	1336	55963	25815	74	36	0	18
Mycetohabitans	54	2379	35	1572	771	0	0	0	1
Mycoavidus	52	2198	27	1501	669	1	0	0	3
Ephemeroptericola	51	4507	73	3056	1377	0	1	0	0
Variovorax	900	352385	5537	240729	106127	5	14	0	95
Acidovorax	651	699969	10812	479955	209208	5	5	0	56
Hydrogenophaga	481	272165	4458	185846	81871	2	5	0	21
Comamonas	460	492089	7834	335660	148609	3	8	0	35
Rhodoferax	250	155578	2602	106250	46729	8	2	0	13
Delftia	248	152451	2345	104332	45776	6	8	0	10
Polaromonas	154	85049	1439	58050	25560	0	1	0	22
Ramlibacter	123	85769	1424	58733	25613	2	0	0	5
Ottowia	112	369376	5695	252795	110890	2	2	0	19
Limnohabitans	86	45117	706	31066	13345	0	1	0	1
Pulveribacter	80	115312	1717	79303	34290	2	2	0	6
Alicycliphilus	74	75396	1242	51175	22984	0	0	0	5
Simplicispira	73	57401	880	39339	17183	0	0	0	0
Verminephrobacter	58	49837	732	34074	15030	0	0	0	14
Melaminivora	39	98799	1488	67833	29477	3	0	0	0
Serpentinomonas	39	105602	1609	72422	31571	2	0	0	0
Diaphorobacter	38	139655	1995	95265	42400	0	0	0	1
Curvibacter	34	18204	318	12539	5345	2	0	0	1
Hylemonella	25	41233	653	28074	12506	0	0	0	0
CandidatusSymbiobacter	20	6980	88	4793	2098	0	0	0	2
Bordetella	1096	178757	2776	121468	54516	2	11	0	87
Achromobacter	882	177001	2636	121003	53365	4	14	0	41
Alcaligenes	391	34182	485	23380	10317	4	6	0	44
Taylorella	124	1193	15	791	385	3	0	0	3
Pelistega	118	332	6	211	114	4	5	0	5
Advenella	117	8277	134	5600	2543	1	4	0	19
Pusillimonas	109	13834	217	9516	4101	0	1	0	0
Pigmentiphaga	107	15916	236	10883	4797	0	0	0	5
Orrella	34	10099	169	6969	2960	0	2	0	0
Kerstersia	31	14361	221	9807	4332	1	0	0	0
Castellaniella	28	17782	318	12067	5396	0	0	0	2
Basilea	22	211	4	135	71	0	0	0	2
Oligella	19	1789	22	1197	570	0	0	0	2
Paenalcaligenes	18	933	18	623	291	0	0	0	0
Massilia	764	89249	1455	61101	26694	10	15	0	196
Janthinobacterium	537	57679	951	39528	17199	14	9	0	60
Undibacterium	501	7672	111	5146	2415	3	0	0	20
Herbaspirillum	318	60153	902	41072	18177	2	4	0	25
Collimonas	232	28195	403	19292	8500	2	4	0	4
Herminiimonas	70	8084	138	5377	2568	2	0	0	12
Noviherbaspirillum	50	10682	173	7285	3223	0	0	0	1
Oxalobacter	17	1116	13	779	322	0	0	0	3
Thiomonas	153	51071	838	34928	15305	1	3	0	8
Methylibium	151	21018	330	14224	6464	0	0	0	4
Roseateles	120	20836	299	14326	6211	0	0	0	0
Sphaerotilus	117	24787	374	17093	7319	0	1	0	28
Mitsuaria	101	15673	244	10797	4631	2	0	0	1
Paucibacter	70	36846	588	25103	11156	1	0	0	0
Rhizobacter	56	19691	343	13314	6033	0	0	0	2
Rubrivivax	54	27952	419	19203	8329	1	0	0	6
Leptothrix	53	27001	400	18458	8143	1	0	0	0
Inhella	52	21722	351	14718	6653	0	0	0	4
Aquabacterium	48	16112	247	10962	4903	0	1	0	0
Xylophilus	36	41028	640	27961	12426	0	1	0	2
Sutterella	23	7137	123	5005	2008	0	1	0	3
Neisseria	855	2197324	33907	1489919	673523	22000	21955	0	399
Snodgrassella	83	8685	114	5878	2693	0	0	0	5
Vitreoscilla	62	37835	584	26038	11212	2	6	0	1
Eikenella	58	260488	4241	177851	78401	148	59	0	6
Chitinolyticbacter	52	6056	99	4171	1784	0	1	0	0
Simonsiella	51	5554	87	3767	1700	15	9	0	13
Kingella	41	16896	283	11564	5049	8	2	0	4
Crenobacter	33	12925	204	8679	4042	0	0	0	6
Chromobacterium	331	76415	1218	52053	23144	4	6	0	23
Iodobacter	90	2334	31	1584	718	0	3	0	15
Aquitalea	222	38798	588	26691	11518	2	0	0	8
Pseudogulbenkiania	68	15470	254	10545	4670	1	3	0	0
Laribacter	59	19684	289	13513	5882	1	0	0	9
Microvirgula	36	8713	148	5943	2622	2	0	0	6
Vogesella	34	15874	242	10803	4829	0	0	0	2
Aquaspirillum	27	26880	398	18377	8104	3	0	0	16
Jeongeupia	27	7252	131	4920	2199	0	0	0	0
Nitrosomonas	734	5888	85	3920	1882	3	3	0	45
Nitrosospira	97	6518	117	4457	1943	0	2	0	6
CandidatusMethylopumilus	304	3558	71	2433	1055	3	6	0	14
Methylotenera	106	2692	36	1820	835	1	0	0	8
Methylophilus	58	3870	73	2601	1196	0	0	0	5
Methylobacillus	35	5240	80	3494	1665	0	0	0	1
Methylovorus	29	7799	123	5339	2335	0	0	0	13
Sterolibacterium	257	11963	163	8085	3714	2	2	0	11
Denitratisoma	85	12900	234	8699	3967	0	0	0	7
Sulfuritalea	60	7434	115	5055	2263	0	0	0	2
Methyloversatilis	48	7679	115	5207	2356	0	1	0	3
Sulfuriferula	94	12475	197	8643	3634	5	0	0	5
Gallionella	40	4016	65	2719	1230	0	0	0	0
Sulfuricella	32	5481	77	3758	1645	0	0	0	3
Ferriphaselus	28	3853	72	2559	1222	0	0	0	1
Sideroxydans	18	4125	54	2876	1195	0	0	0	0
Thiobacillus	22	4782	81	3258	1443	0	0	0	0
Sulfuritortus	5	16605	312	11158	5135	0	1	0	0
Thauera	527	66926	979	45828	20120	4	0	0	24
Azoarcus	438	66557	1045	45480	20032	3	2	0	4
Oryzomicrobium	36	8274	134	5769	2371	1	1	0	1
Azospira	30	13515	197	9184	4133	1	0	0	2
Aromatoleum	24	2601	53	1777	769	0	0	0	6
Dechloromonas	55	11405	162	7788	3454	0	0	0	8
CandidatusKinetoplastibacterium	331	4162	87	2753	1320	3	1	0	104
CandidatusAccumulibacter	39	7596	130	5165	2300	0	0	0	0
Casimicrobium	34	7697	105	5312	2278	0	1	0	0
CandidatusProfftella	29	1068	17	724	326	0	0	0	7
CandidatusNasuia	20	22	0	17	4	0	0	0	1
Klebsiella	388553	35681	707	23522	11476	204	136	0	1202
Salmonella	92188	148224	2071	98236	47939	17	30	0	124
Escherichia	6885	46767	489	30201	15949	19	4	0	149
Shigella	3215	5110	0	3015	2031	0	0	0	5
Enterobacter	3208	37392	485	25187	11727	10	3	0	151
Citrobacter	1324	20960	351	14134	6487	16	10	0	227
CandidatusBlochmannia	415	740	9	462	269	2	1	0	61
CandidatusHamiltonella	124	458	13	285	159	1	1	0	13
CandidatusTachikawaea	96	189	2	122	64	0	0	0	3
CandidatusGullanella	29	87	1	43	42	1	0	0	16
CandidatusPurcelliella	26	306	5	201	99	0	0	0	0
CandidatusAnnandia	26	114	0	79	35	0	0	0	0
CandidatusDoolittlea	18	604	12	402	189	0	0	0	0
CandidatusMikella	13	35	0	18	16	0	0	0	14
CandidatusHoaglandella	3	79	0	53	25	1	3	0	0
Kosakonia	516	9135	146	6157	2833	0	0	0	37
Pluralibacter	363	4279	58	2910	1311	0	0	0	1
Cronobacter	287	10487	142	7146	3200	2	0	0	18
Leclercia	284	8308	120	5677	2515	5	4	0	36
Cedecea	260	4409	59	2976	1373	4	4	0	3
Raoultella	247	8286	124	5592	2571	0	0	0	17
Lelliottia	222	3916	62	2702	1154	2	0	0	12
CandidatusRiesia	91	463	7	322	134	1	0	0	30
Buttiauxella	85	711	17	483	210	1	0	0	1
Kluyvera	80	1927	34	1299	593	1	0	0	23
Limnobaculum	74	445	4	280	160	0	0	0	5
Shimwellia	69	2060	26	1423	610	0	0	0	2
Gibbsiella	40	4691	58	3234	1399	0	1	0	2
Izhakiella	38	995	15	669	310	0	0	0	4
Atlantibacter	35	2359	42	1623	693	0	1	0	0
CandidatusIshikawaella	26	74	1	48	24	0	0	0	6
Pseudescherichia	14	2169	43	1452	674	0	0	0	2
CandidatusMoranella	14	296	2	199	95	0	0	0	0
Metakosakonia	1	2517	78	1669	774	0	0	0	0
Serratia	5452	47355	764	31805	14790	155	25	0	166
Yersinia	1493	19846	277	13640	5943	19	8	0	137
Rahnella	212	3826	66	2559	1201	3	10	0	24
Chania	79	896	22	610	263	1	0	0	5
Nissabacter	69	5386	88	3697	1601	0	2	0	3
Rouxiella	44	499	4	346	148	0	0	0	3
CandidatusFukatsuia	39	372	3	258	111	0	0	0	2
Buchnera	2157	7224	123	4563	2537	18	3	0	296
Pantoea	1118	28482	445	19252	8789	13	19	0	58
Erwinia	987	15717	231	10631	4856	9	19	0	246
Mixta	202	9097	137	6196	2766	0	1	0	3
Tatumella	196	1698	25	1126	547	2	0	0	18
Wigglesworthia	110	92	2	60	30	2	0	0	13
Proteus	1670	6718	70	4464	2184	23	14	0	223
Providencia	1466	8501	119	5588	2794	6	778	0	146
Xenorhabdus	570	6112	70	4029	2011	0	8	0	32
Photorhabdus	386	1792	28	1198	565	1	2	0	15
Arsenophonus	245	1588	22	1037	528	3	0	0	16
Morganella	165	3626	48	2522	1056	0	3	0	36
Dickeya	714	19147	288	12965	5896	4	9	0	45
Pectobacterium	573	8896	145	5932	2818	4	10	0	83
Brenneria	209	6148	92	4113	1943	2	2	0	8
Sodalis	108	9825	156	6741	2928	4	0	0	19
Lonsdalea	37	866	15	601	249	2	0	0	6
Hafnia	513	3865	50	2566	1249	11	3	0	343
Edwardsiella	429	9331	153	6340	2840	0	0	0	61
Obesumbacterium	126	1309	3	905	400	0	0	0	0
Pragia	186	1323	21	905	395	1	3	0	7
Leminorella	98	1386	14	922	449	0	0	0	34
Plesiomonas	71	4401	61	3019	1320	1	0	0	12
Phytobacter	36	2604	40	1862	711	0	0	0	1
Aeromonas	380981	58034	877	39484	17674	11	9	0	81
Oceanisphaera	141	3211	47	2171	992	2	2	0	0
Tolumonas	52	1278	21	851	405	0	1	0	2
Zobellella	48	8173	106	5645	2422	0	0	0	20
Oceanimonas	24	5687	91	3887	1708	2	0	0	1
Succinivibrio	82	413	1	280	131	1	0	0	1
Xanthomonas	160318	457404	7454	311306	138653	13	14	0	81
