Genus	Basepaws_WGS1	Basepaws_WGS2	Kean5	Kean6a	Kean6b	Nebula_lcWGS	Ombre5	Ombre6	PetQCheck1	PetQCheck2	PetQCheck3	PetQCheck4	Psomagen1a	Psomagen1b	Psomagen2	Psomagen3	Psomagen4	SequencingDotCom_WGS	thryve2	thryve3a	thryve3b	thryve4	uBiome_Fecal2013	uBiome_Fecal2014	uBiome_Fecal2019	uBiome_Oral2014	uBiome_Oral2019	Veritas_WGS
Komagataeibacter	30634544	20574	0	0	285	0	0	0	0	0	0	0	0	184	618	0	495	0	0	0	0	0	0	0	0	0	0	0
Acetobacter	823	11925	0	0	260	0	0	0	0	0	0	0	0	324	314	0	400	0	0	0	0	0	0	0	0	0	0	0
Gluconobacter	388	2315	0	0	110	0	0	0	0	4	0	0	0	82	82	0	88	0	0	0	0	0	0	0	0	0	0	0
Commensalibacter	222	896	0	0	0	0	0	0	0	0	0	0	0	13	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Granulibacter	135	3717	0	0	36	0	0	0	0	0	0	0	0	38	41	0	63	0	0	0	0	0	0	0	0	0	4	0
Roseomonas	132	11274	0	0	115	0	0	0	0	0	0	0	0	68	76	0	277	0	0	0	0	0	0	0	0	0	0	0
Neokomagataea	98	2238	0	2	25	0	0	0	0	0	0	0	0	3	9	0	87	0	0	0	0	0	0	0	0	0	0	0
Swingsia	91	950	0	0	28	0	0	0	0	0	0	0	0	6	23	0	44	0	0	0	0	0	0	0	0	0	0	0
Gluconacetobacter	82	2428	0	0	57	0	0	0	0	0	0	0	0	25	31	0	57	0	0	0	0	0	0	0	0	0	0	0
Parasaccharibacter	78	918	0	0	14	0	0	0	0	0	0	0	0	5	20	0	13	0	0	0	0	0	0	0	0	0	0	0
Neoasaia	66	598	0	0	61	0	0	0	0	0	0	0	0	53	56	0	58	0	0	0	0	0	0	0	0	0	0	0
Acidiphilium	47	4005	0	0	11	0	0	0	0	0	0	0	0	5	27	0	34	0	0	0	0	0	0	0	0	0	0	0
Stella	42	1916	0	0	82	0	0	0	0	0	0	0	0	80	113	0	1251	0	0	0	0	0	0	0	1	0	0	0
Acidibrevibacterium	42	2700	0	0	34	0	0	0	0	0	0	0	0	10	17	0	32	0	0	0	0	0	0	0	0	0	0	0
Asaia	35	1078	0	0	6	0	0	0	0	0	0	0	0	9	2	0	91	0	0	0	0	0	0	0	0	0	0	0
Bombella	30	1509	1	7	22	0	0	0	0	0	0	0	2	14	19	0	44	0	0	0	0	0	0	0	0	0	0	0
Kozakia	29	1775	0	0	25	0	0	0	0	0	0	0	0	17	7	0	71	0	0	0	0	0	0	0	0	0	0	0
Azospirillum	1618	62520	0	0	998	0	0	0	0	0	0	0	0	900	1071	0	1397	0	0	0	0	0	7	0	0	0	0	0
Hypericibacter	340	11214	6	9	173	0	0	1	0	0	1	0	3	108	103	0	380	0	0	0	0	0	0	0	0	0	0	0
Thalassospira	296	10032	1	2	68	0	0	0	0	0	0	0	0	54	63	0	81	0	0	0	1	0	0	0	0	0	1	0
Magnetospirillum	293	37968	0	0	343	0	0	0	0	0	0	0	0	336	408	0	310	0	0	0	0	0	0	0	0	0	0	0
CandidatusEndolissoclinum	237	353	0	6	35	0	0	0	0	0	0	0	1	3	7	0	67	0	0	0	0	0	1	0	0	0	0	0
Nitrospirillum	139	4778	0	0	232	0	0	0	0	0	0	0	0	216	214	0	274	0	0	0	0	0	0	0	0	0	0	0
Skermanella	108	1732	0	0	80	0	0	0	0	0	0	0	0	44	62	0	110	0	0	0	0	0	0	0	0	0	0	0
Rhodospirillum	100	13525	1	4	117	0	0	0	0	2	0	2	1	105	100	0	160	0	0	1	0	0	5	1	0	0	0	0
Niveispirillum	95	9864	60	258	33	0	23	13	4	4	5	4	49	25	22	0	56	0	4	23	65	13	81	33	36	0	2	0
Tistrella	91	7349	3	52	238	0	1	0	0	0	0	0	5	295	316	0	112	0	9	1	1	3	153	0	1	0	5	0
Pararhodospirillum	88	3866	1	1	22	0	0	0	2	1	0	0	0	22	16	0	39	0	0	0	0	0	0	0	0	0	0	0
Ferrovibrio	66	6085	0	0	51	0	0	0	0	0	0	0	0	31	47	0	45	0	0	0	0	0	0	0	0	0	0	0
Magnetospira	63	1627	0	0	46	0	0	0	0	0	0	0	0	44	66	0	41	0	0	0	0	0	0	0	0	0	0	0
Indioceanicola	38	5357	0	0	47	0	0	0	0	0	0	0	0	25	31	0	85	0	0	0	0	0	0	0	1	0	0	0
Haematospirillum	24	1301	0	0	3	0	0	0	0	0	0	0	0	5	9	0	13	0	0	0	0	0	0	0	0	0	0	0
