Genus	Basepaws_WGS1	Basepaws_WGS2	Kean5	Kean6a	Kean6b	Nebula_lcWGS	Ombre5	Ombre6	PetQCheck1	PetQCheck2	PetQCheck3	PetQCheck4	Psomagen1a	Psomagen1b	Psomagen2	Psomagen3	Psomagen4	SequencingDotCom_WGS	thryve2	thryve3a	thryve3b	thryve4	uBiome_Fecal2013	uBiome_Fecal2014	uBiome_Fecal2019	uBiome_Oral2014	uBiome_Oral2019	Veritas_WGS
Komagataeibacter	72.5214596643533	0.0338973170950675	0	0	0.0042806971798767	0	0	0	0	0	0	0	0	0.00182860104963688	0.00725592273498975	0	0.0054500670908764	0	0	0	0	0	0	0	0	0	0	0
Burkholderia	17.13635515709	0.549367527698173	0.00377046360206527	0.00553901296575729	3.40763021505321	0	0	0	0.00872410032715376	0.158780040025802	0	0	0	1.28816993507572	3.80070633707401	0	1.64237496527647	0	0	0	0	0	0.393615447341891	0	0	0	0.00200279246492252	0
Cupriavidus	0.286944001757491	0.432842410970815	0	4.46694594012684e-05	0.0533209648721483	0	0	0	1.59069429298437	2.81669175170771	2.47535640733409	0.84241714020386	0	0.0235034863173436	0.0364674692797381	0	0.0342528458984171	0	0	0	0	0	0	0	0	0	0.000286113209274646	0
Ralstonia	0.0287912231511546	0.323588066107973	0	0.000223347297006342	0.0146444903522098	0	0	0	0.0159941839331152	0.0148856287524189	0	0	0	0.00559512168992154	0.00939278023946893	0	0.00884121994742172	0	0	0	0	1.00062033066321	0	0	0	0	0	0
Lautropia	0.000142038594726959	0.209310248910006	0	4.46694594012684e-05	0.00106641929744297	0	0	0	0	0	0	0	0	0.000626097098516975	0.000610530715565481	0	0.000946880343061354	0	0.478201960628039	0	0	0	0.00894580562140663	0	0	1.14716981132075	0.171954038774062	0
Variovorax	0.0029757085595298	0.895657602761766	0	0	0.00947761375614806	0	0	0	0	0	0	0	0	0.00471063531265152	0.00723244078439108	0	0.0101404278599943	0	0	0	0	0	0	0	0	0	0	0
Acidovorax	0.00212347699116804	1.71044043133059	0	0	0.00740485512168145	0	0	0	0	0	0	0	0	0.00383608698456432	0.00570611399547738	0	0.00649603956286278	0	0	0	0	0	0	0	0	0	0	0
Hydrogenophaga	0.00168552465742658	0.664062182712075	0	4.46694594012684e-05	0.00714951528989933	0	0	0	0	0	0	0	0	0.00499883873895299	0.00668061494532228	0	0.00342418356618699	0	0	0	0	0	0	0	0	0	0	0
Comamonas	0.00148193600498461	1.23859485191458	0	8.93389188025369e-05	0.00378503750641729	0	0	0	0	0.00496187625080631	0	0.00221106860945895	0	0.00189816739391654	0.00327573210851479	0	0.00335812214690364	0	0	0	0	0	0	0	0	0	0	0
Ottowia	0.000385871515674906	0.932042766110044	0	0	0.000781039485451187	0	0	0	0	0	0	0.00221106860945895	0	0.000357769770581128	0.000680976567361498	0	0.000869808687230779	0	0	0	0	0	0	0	0	0	0	0
Achromobacter	0.00298044317935403	0.442248446904311	0.00966181298029226	0.00960393377127271	0.0107392929249538	0	1.28364272414377	0	0	0	0	0	0.0242990259260042	0.005883325116223	0.00800734515414727	0	0.0104487144833166	0	0.549932254722244	0.336091602345688	0.629811056682995	0	0.00584918059861202	0	0	0	0	0
Neisseria	0.00310117598487194	5.09464450893037	0	0.000223347297006342	0.012226271945332	0	0	0	0	0.00165395875026877	0.00799792054065943	0.00221106860945895	0.00105647938808714	0.00925232378919529	0.0141126523098021	0	0.00931466011895239	0	0	0	0	0	0	0	0	0.638993710691824	6.70849641786262	0
Eikenella	0.000208323272266207	0.637536139879831	0	0	0.000645859574507712	0	0	0	0	0	0	0	0	0.000397521967312365	0.000821868270953532	0	0.000814757504494654	0	0	0	0	0	0	0.0942353346260488	0	5.45408805031447	0.700405136304333	0
Klebsiella	1.17062054768188	0.0911754462294128	0.000471307950258159	0.00201012567305708	0.417555724914288	0	0.00282119280031597	0	0.00145401672119229	0.125700865020426	0	0	0.00176079898014523	0.609739069562071	0.257561775141537	0	0.282654792640362	0	0	0	0	0.0242738085605632	0.000344069446977178	0	0.000885363175974785	0	0.00286113209274646	0
Salmonella	0.0588655282746761	0.370295320036624	0.0487803728517194	0.0971114047383576	0.0103037132119137	0	0	0	0.888404216648491	1.25700865020426	1.09371563393518	0.0574877838459327	0.0785316345144773	0.00734421834609594	0.00966282267135366	0	0.0442060997371086	0	0	0.24337667756067	2.06538038588423	2.20891657901125	0.127305695381556	0.221090592776499	0.269150405496335	0	4.75090984000549	0
Escherichia	0.00569338033863895	0.109974337454003	0.0240367054631661	0.0269356840189649	0.0112049126182036	0	0.126953676014219	0	0.388222464558342	0.421759481318536	0.877771779337372	0.0397992349702611	0.0211295877617428	0.00225593716449767	0.0148053698524629	0	3.18089036920296	0	0	0.157615372134529	0.0919724082775168	0.0997923240823152	0.111134431373628	0.366068030662728	0.357686723093813	5.15220125786163	0.130753736638513	0
Citrobacter	0.00381136895850674	0.0570013356439219	0	0	0.440145790031954	0	0	0	0	0	0	0	0	0.169294667829153	0.820283239288121	0	0.121971400470159	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas	0.187131113932945	5.39626209173599	0.000706961925387238	0.00174210891664947	0.197768209710303	0	0	0	0	0.00496187625080631	0.00599844040549457	0.751763327216044	0.00352159796029046	0.0976711473686481	0.141114782122721	0	0.171693628717427	0	0.00398501633856699	0	0.00199940017994602	0	0.00825766672745227	0.00724887189431145	0.000885363175974785	0.0855345911949685	0.00515003776694362	0
Xanthomonas	0.108706871164366	1.19222205678685	0	0.000134008378203805	0.0590435811020888	0	0	0	0	0	0	0	0	0.0225991238417079	0.0427606320401823	0	0.0335371805228475	0	0	0	0	0	0	0	0	0	0	0
Stenotrophomonas	0.00384214398736425	0.986788564323075	0	0.000625372431617758	0.00647361573518195	0	0	0	0	0	0	0	0	0.00386590113211275	0.00540084863769464	0	0.00811454433530486	0	0	0	0	0	0	0	0	0	0	0
Lysobacter	0.00154111875278751	0.693006873424924	0.000235653975129079	0.000178677837605074	0.00621827590339983	0	0	0	0	0	0	0	0	0.00428329919779073	0.00521299303290526	0	0.00691442855165733	0	0	0	0	0	0.000344069446977178	0	0	0	0	0
