Genus	Basepaws_WGS1	Basepaws_WGS2	Bristle1	Kean5	Kean6a	Kean6b	Nebula_lcWGS	Ombre5	Ombre6	PetQCheck1	PetQCheck2	PetQCheck3	PetQCheck4	Psomagen1a	Psomagen1b	Psomagen2	Psomagen3	Psomagen4	SequencingDotCom_WGS	thryve2	thryve3a	thryve3b	thryve4	uBiome_Fecal2013	uBiome_Fecal2014	uBiome_Fecal2019	uBiome_Oral2014	uBiome_Oral2019	Veritas_WGS
Komagataeibacter	30634544	20574	3	0	0	285	3	0	0	0	0	0	0	0	184	618	0	495	0	0	0	0	0	0	0	0	0	0	17
Acetobacter	823	11925	4	0	0	260	0	0	0	0	0	0	0	0	324	314	0	400	0	0	0	0	0	0	0	0	0	0	24
Gluconobacter	388	2315	1	0	0	110	0	0	0	0	4	0	0	0	82	82	0	88	0	0	0	0	0	0	0	0	0	0	6
Commensalibacter	222	896	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	4	0	0	0	0	0	0	0	0	0	0	14
Granulibacter	135	3717	0	0	0	36	0	0	0	0	0	0	0	0	38	41	0	63	0	0	0	0	0	0	0	0	0	4	1
Roseomonas	132	11274	0	0	0	115	4	0	0	0	0	0	0	0	68	76	0	277	0	0	0	0	0	0	0	0	0	0	5
Neokomagataea	98	2238	0	0	2	25	2	0	0	0	0	0	0	0	3	9	0	87	0	0	0	0	0	0	0	0	0	0	1
Swingsia	91	950	0	0	0	28	1	0	0	0	0	0	0	0	6	23	0	44	0	0	0	0	0	0	0	0	0	0	1
Gluconacetobacter	82	2428	0	0	0	57	2	0	0	0	0	0	0	0	25	31	0	57	0	0	0	0	0	0	0	0	0	0	2
Parasaccharibacter	78	918	0	0	0	14	2	0	0	0	0	0	0	0	5	20	0	13	0	0	0	0	0	0	0	0	0	0	2
Neoasaia	66	598	0	0	0	61	0	0	0	0	0	0	0	0	53	56	0	58	0	0	0	0	0	0	0	0	0	0	0
Acidiphilium	47	4005	0	0	0	11	0	0	0	0	0	0	0	0	5	27	0	34	0	0	0	0	0	0	0	0	0	0	0
Stella	42	1916	0	0	0	82	0	0	0	0	0	0	0	0	80	113	0	1251	0	0	0	0	0	0	0	1	0	0	1
Acidibrevibacterium	42	2700	1	0	0	34	0	0	0	0	0	0	0	0	10	17	0	32	0	0	0	0	0	0	0	0	0	0	1
Asaia	35	1078	3	0	0	6	7	0	0	0	0	0	0	0	9	2	0	91	0	0	0	0	0	0	0	0	0	0	1
Bombella	30	1509	0	1	7	22	0	0	0	0	0	0	0	2	14	19	0	44	0	0	0	0	0	0	0	0	0	0	0
Kozakia	29	1775	0	0	0	25	4	0	0	0	0	0	0	0	17	7	0	71	0	0	0	0	0	0	0	0	0	0	2
Azospirillum	1618	62520	10	0	0	998	15	0	0	0	0	0	0	0	900	1071	0	1397	0	0	0	0	0	7	0	0	0	0	77
Hypericibacter	340	11214	1	6	9	173	6	0	1	0	0	1	0	3	108	103	0	380	0	0	0	0	0	0	0	0	0	0	9
Thalassospira	296	10032	1	1	2	68	0	0	0	0	0	0	0	0	54	63	0	81	0	0	0	1	0	0	0	0	0	1	14
Magnetospirillum	293	37968	1	0	0	343	7	0	0	0	0	0	0	0	336	408	0	310	0	0	0	0	0	0	0	0	0	0	6
CandidatusEndolissoclinum	237	353	0	0	6	35	0	0	0	0	0	0	0	1	3	7	0	67	0	0	0	0	0	1	0	0	0	0	2
Nitrospirillum	139	4778	2	0	0	232	0	0	0	0	0	0	0	0	216	214	0	274	0	0	0	0	0	0	0	0	0	0	39
Skermanella	108	1732	0	0	0	80	0	0	0	0	0	0	0	0	44	62	0	110	0	0	0	0	0	0	0	0	0	0	2
Rhodospirillum	100	13525	0	1	4	117	1	0	0	0	2	0	2	1	105	100	0	160	0	0	1	0	0	5	1	0	0	0	5
Niveispirillum	95	9864	1	60	258	33	0	23	13	4	4	5	4	49	25	22	0	56	0	4	23	65	13	81	33	36	0	2	4
