Genus	Basepaws_WGS1	Basepaws_WGS2	Bristle1	Kean5	Kean6a	Kean6b	Nebula_lcWGS	Ombre5	Ombre6	PetQCheck1	PetQCheck2	PetQCheck3	PetQCheck4	Psomagen1a	Psomagen1b	Psomagen2	Psomagen3	Psomagen4	SequencingDotCom_WGS	thryve2	thryve3a	thryve3b	thryve4	uBiome_Fecal2013	uBiome_Fecal2014	uBiome_Fecal2019	uBiome_Oral2014	uBiome_Oral2019	Veritas_WGS
Komagataeibacter	72.469937125391	0.0338656253335288	0.000841958732795977	0	0	0.00428048372770356	0.000838361171581792	0	0	0	0	0	0	0	0.00182853890102228	0.00725556750336979	0	0.00544980547497367	0	0	0	0	0	0	0	0	0	0	0.0336081292133721
Bradyrhizobium	0.0194478283439714	0.214205759072297	0.00982285188261973	0	0.000446694594012684	0.0191194939837426	0.00726579682037553	0	0	0	0	0	0	0	0.0116271223597613	0.0138067109772862	0	0.0204119986880832	0	0	0	0	0	0	0	0	0	0	0.563430401518297
Burkholderia	17.1241807120313	0.548853905200084	0.00982285188261973	0.00377046360206527	0.00553901296575729	3.40746029738698	0.150905010884723	0	0	0.00872410032715376	0.158780040025802	0	0	0	1.28812615407885	3.80052026410735	0	1.64229612745631	0	0	0	0	0	0.393615447341891	0	0	0	0.00200279246492252	1.48271158294289
Cupriavidus	0.286740143705281	0.432437731791227	0.00168391746559195	0	4.46694594012684e-05	0.0533183060819215	0.00307399096246657	0	0	1.59069429298437	2.81669175170771	2.47535640733409	0.84241714020386	0	0.0235026875049875	0.0364656839247032	0	0.0342512016821072	0	0	0	0	0	0	0	0	0	0.000286113209274646	0.215487416721033
Ralstonia	0.0287707685584941	0.323285532553501	0.00196457037652395	0	0.000223347297006342	0.0146437601210911	0.00335344468632717	0	0	0.0159941839331152	0.0148856287524189	0	0	0	0.00559493152867144	0.0093923203927117	0	0.00884079554829062	0	0	0	0	1.00062033066321	0	0	0	0	0	0.0454698218769152
Lautropia	0.000141937684057692	0.209114557596813	0.0249781090729473	0	4.46694594012684e-05	0.00106636612163843	0.0134137787453087	0	0	0	0	0	0	0	0.00062607581937176	0.000610500825526261	0	0.000946834890601486	0	0.478201960628039	0	0	0	0.00894580562140663	0	0	1.14716981132075	0.171954038774062	0.0494237194314295
Variovorax	0.00297359448100864	0.89482022182429	0.00252587619838793	0	0	0.00947714116554718	0.00475071330563015	0	0	0	0	0	0	0	0.0047104752124161	0.00723208670238801	0	0.0101399410958601	0	0	0	0	0	0	0	0	0	0	0.199671826502975
Acidovorax	0.00212196837666249	1.70884128204914	0.00336783493118391	0	0	0.00740448588686967	0.00279453723860597	0	0	0	0	0	0	0	0.00383595660757935	0.00570583463857236	0	0.0064957277378474	0	0	0	0	0	0	0	0	0	0	0.118616926635431
Hydrogenophaga	0.00168432718415128	0.663441328256771	0.00140326455465996	0	4.46694594012684e-05	0.00714915878732244	0.00111781489544239	0	0	0	0	0	0	0	0.00499866884355548	0.0066802878793162	0	0.0034240191974077	0	0	0	0	0	0	0	0	0	0	0.0454698218769152
Comamonas	0.00148088317033525	1.23743684720937	0.000561305821863984	0	8.93389188025369e-05	0.00378484876975894	0.00195617606702418	0	0	0	0.00496187625080631	0	0.00221106860945895	0	0.00189810288095248	0.00327557173695821	0	0.0033579609492262	0	0	0	0	0	0	0	0	0	0	0.0474467706541723
Ottowia	0.000385597375023396	0.931171367438447	0.00112261164372797	0	0	0.000781000539791527	0.000838361171581792	0	0	0	0	0	0.00221106860945895	0	0.000357757611069577	0.000680943228471598	0	0.000869766934389737	0	0	0	0	0	0	0	0	0	0	0.0276772828816005
Achromobacter	0.0029783257371439	0.441834973699903	0.00196457037652395	0.00966181298029226	0.00960393377127271	0.0107387574221335	0.00363289841018777	1.28364272414377	0	0	0	0	0	0.0242990259260042	0.00588312515981082	0.00800695313478672	0	0.0104482129207071	0	0.549932254722244	0.336091602345688	0.629811056682995	0	0.00584918059861202	0	0	0	0	0.0573315145404583
Massilia	0.00267552534448749	0.219799002723669	0.00336783493118391	0	0.000402025134611416	0.00958227585359604	0.00586852820107254	0	0	0	0	0	0	0	0.00649926326776398	0.00764300071956915	0	0.0111748536507036	0	0	0	0	0	0	0	0	0	0	0.57529209418184
Neisseria	0.00309897276859294	5.08988135146725	6.71602415860257	0	0.000223347297006342	0.0122256622959674	6.69235777901358	0	0	0	0.00165395875026877	0.00799792054065943	0.00221106860945895	0.00105647938808714	0.00925200933071601	0.0141119613900493	0	0.00931421299359136	0	0	0	0	0	0	0	0	0.638993710691824	6.70849641786262	0.772986971907558
Eikenella	0.000208175269951281	0.636940085529551	0.0457464244819147	0	0	0.000645827369442993	0.0162083159839146	0	0	0	0	0	0	0	0.000397508456743974	0.000821828034362274	0	0.000814718394238488	0	0	0	0	0	0	0.0942353346260488	0	5.45408805031447	0.700405136304333	0.0138386414408003
Klebsiella	1.16978888567374	0.0910902031851926	0.0623049462269023	0.000471307950258159	0.00201012567305708	0.41753490396547	0.0525373000857923	0.00282119280031597	0	0.00145401672119229	0.125700865020426	0	0	0.00176079898014523	0.609718346376745	0.257549165568646	0	0.282641224552574	0	0	0	0	0.0242738085605632	0.000344069446977178	0	0.000885363175974785	0	0.00286113209274646	9.14931894114624
Salmonella	0.0588237075296427	0.36994911827238	0.00308718202025191	0.0487803728517194	0.0971114047383576	0.0103031994287882	0.00167672234316358	0	0	0.888404216648491	1.25700865020426	1.09371563393518	0.0574877838459327	0.0785316345144773	0.00734396873834493	0.00966234960400216	0	0.0442039777414531	0	0	0.24337667756067	2.06538038588423	2.20891657901125	0.127305695381556	0.221090592776499	0.269150405496335	0	4.75090984000549	0.142340311962517
Enterobacter	0.00743753464462305	0.0927708099444778	0.00420979366397988	0.000706961925387238	0.00111673648503171	0.00787008236251462	0.00223562979088478	0	0	0	0	0	0	0	0.00568437093143883	0.00805391473675028	0	0.0205110860603554	0	0	0	0	0	0.00172034723488589	0	0	0.352201257861635	0.0160223397193802	0.826364588893502
