Genus	Local	pFDA
Komagataeibacter	94.2911516730419	73.3069275428431
Acetobacter	0.000104465997362518	0.000191670388266706
Gluconobacter	9.49690885113804e-05	2.39587985333382e-05
Neokomagataea	5.69814531068283e-05	0
Roseomonas	3.79876354045522e-05	4.79175970666764e-05
Acidiphilium	2.84907265534141e-05	3.59381978000073e-05
Gluconacetobacter	1.89938177022761e-05	2.39587985333382e-05
Swingsia	9.49690885113804e-06	0
Granulibacter	9.49690885113804e-06	7.18763956000146e-05
Parasaccharibacter	9.49690885113804e-06	1.19793992666691e-05
Azospirillum	0.000199435085873899	0.000311464380933396
Thalassospira	6.64783619579663e-05	8.38557948666837e-05
Hypericibacter	6.64783619579663e-05	0
Nitrospirillum	5.69814531068283e-05	4.79175970666764e-05
Ferrovibrio	3.79876354045522e-05	0
Magnetospirillum	2.84907265534141e-05	0.00013177339193336
Skermanella	2.84907265534141e-05	0
CandidatusEndolissoclinum	2.84907265534141e-05	7.18763956000146e-05
Niveispirillum	1.89938177022761e-05	4.79175970666764e-05
Rhodospirillum	9.49690885113804e-06	3.59381978000073e-05
Indioceanicola	9.49690885113804e-06	0
Bradyrhizobium	0.0302666485085769	0.0463722545612761
Bosea	0.000113962906213657	0.000179690989000036
Rhodopseudomonas	9.49690885113804e-05	0.000742722754533484
Nitrobacter	6.64783619579663e-05	0.000179690989000036
Tardiphaga	6.64783619579663e-05	0
Afipia	1.89938177022761e-05	5.98969963333455e-05
Oligotropha	1.89938177022761e-05	4.79175970666764e-05
Rhizobium	0.000370379445194384	0.00122189872520025
Agrobacterium	0.000237422721278451	0.000287505582400058
Neorhizobium	4.74845442556902e-05	5.98969963333455e-05
Shinella	4.74845442556902e-05	5.98969963333455e-05
Liberibacter	2.84907265534141e-05	3.59381978000073e-05
Sinorhizobium	2.84907265534141e-05	0.000371361377266742
Mesorhizobium	0.000370379445194384	0.000371361377266742
Aminobacter	6.64783619579663e-05	0.00013177339193336
Nitratireductor	2.84907265534141e-05	4.79175970666764e-05
Phyllobacterium	1.89938177022761e-05	5.98969963333455e-05
Salaquimonas	1.89938177022761e-05	0
Hoeflea	9.49690885113804e-06	2.39587985333382e-05
Xanthobacter	0.000199435085873899	0.000347402578733404
Pseudolabrys	9.49690885113804e-05	0.000191670388266706
Azorhizobium	3.79876354045522e-05	7.18763956000146e-05
Ancylobacter	2.84907265534141e-05	0
Labrys	2.84907265534141e-05	0
Starkeya	9.49690885113804e-06	7.18763956000146e-05
Methylobacterium	0.000218428903576175	0.000850537347933506
Methylorubrum	6.64783619579663e-05	0.000107814593400022
Microvirga	2.84907265534141e-05	7.18763956000146e-05
Bartonella	0.000303901083236417	0.000610949362600124
Rhodoplanes	0.000170944359320485	0.000491155369933433
Hyphomicrobium	1.89938177022761e-05	8.38557948666837e-05
Pelagibacterium	1.89938177022761e-05	0.000107814593400022
Youhaiella	1.89938177022761e-05	0
Rhodomicrobium	9.49690885113804e-06	3.59381978000073e-05
Blastochloris	9.49690885113804e-06	5.98969963333455e-05
Filomicrobium	9.49690885113804e-06	4.79175970666764e-05
Maritalea	9.49690885113804e-06	1.19793992666691e-05
Methylocystis	0.000104465997362518	3.59381978000073e-05
Methylosinus	1.89938177022761e-05	0.00013177339193336
Ochrobactrum	6.64783619579663e-05	0.000167711589733367
Brucella	1.89938177022761e-05	1.19793992666691e-05
Pseudorhodoplanes	3.79876354045522e-05	4.79175970666764e-05
Methyloceanibacter	9.49690885113804e-06	3.59381978000073e-05
Martelella	3.79876354045522e-05	3.59381978000073e-05
Aureimonas	2.84907265534141e-05	3.59381978000073e-05
Methylocella	2.84907265534141e-05	7.18763956000146e-05
Methylovirgula	9.49690885113804e-06	0
Chelatococcus	2.84907265534141e-05	3.59381978000073e-05
Cohaesibacter	9.49690885113804e-06	4.79175970666764e-05
Caulobacter	0.00135805796571274	0.00227608586066713
Brevundimonas	0.000522329986812592	0.000886475545733513
Phenylobacterium	0.000227925812427313	0.000467196571400095
Asticcacaulis	3.79876354045522e-05	3.59381978000073e-05
Sphingomonas	0.000408367080598936	0.000694805157466807
Sphingobium	0.000303901083236417	0.000646887560400131
Novosphingobium	0.000199435085873899	0.000227608586066713
Sphingopyxis	0.000142453632767071	0.000335423179466735
Tardibacter	6.64783619579663e-05	0
Zymomonas	3.79876354045522e-05	0.000191670388266706
Sphingosinicella	2.84907265534141e-05	0
Sphingorhabdus	2.84907265534141e-05	7.18763956000146e-05
Sphingosinithalassobacter	1.89938177022761e-05	0
Citromicrobium	9.49690885113804e-06	2.39587985333382e-05
Blastomonas	9.49690885113804e-06	1.19793992666691e-05
Rhizorhabdus	9.49690885113804e-06	2.39587985333382e-05
Altererythrobacter	0.000123459815064795	0.000227608586066713
Porphyrobacter	0.000113962906213657	8.38557948666837e-05
Erythrobacter	7.59752708091043e-05	0.000179690989000036
Croceicoccus	9.49690885113804e-06	1.19793992666691e-05
Paracoccus	0.000351385627492108	0.000407299575066749
Sulfitobacter	0.000161447450469347	0.000155732190466698
Labrenzia	9.49690885113804e-05	0.000155732190466698
Celeribacter	7.59752708091043e-05	0.00013177339193336
Yangia	6.64783619579663e-05	0.000143752791200029
Phaeobacter	6.64783619579663e-05	0.000311464380933396
Rhodobacter	5.69814531068283e-05	0.000287505582400058
Leisingera	4.74845442556902e-05	5.98969963333455e-05
Dinoroseobacter	3.79876354045522e-05	7.18763956000146e-05
Pannonibacter	3.79876354045522e-05	3.59381978000073e-05
Roseovarius	2.84907265534141e-05	0
Paraoceanicella	2.84907265534141e-05	0
Marivivens	2.84907265534141e-05	0
Gemmobacter	1.89938177022761e-05	2.39587985333382e-05
Ruegeria	1.89938177022761e-05	0.00013177339193336
Roseivivax	1.89938177022761e-05	0
Defluviimonas	9.49690885113804e-06	1.19793992666691e-05
Stappia	9.49690885113804e-06	0.000155732190466698
Epibacterium	9.49690885113804e-06	1.19793992666691e-05
Pelagibaca	9.49690885113804e-06	2.39587985333382e-05
Octadecabacter	9.49690885113804e-06	9.58351941333528e-05
Ketogulonicigenium	9.49690885113804e-06	2.39587985333382e-05
Salipiger	9.49690885113804e-06	4.79175970666764e-05
Silicimonas	9.49690885113804e-06	0
Pseudorhodobacter	9.49690885113804e-06	0
Hyphomonas	2.84907265534141e-05	0.000107814593400022
Maricaulis	1.89938177022761e-05	7.18763956000146e-05
Ehrlichia	9.49690885113804e-05	0.000107814593400022
Wolbachia	7.59752708091043e-05	9.58351941333528e-05
Rickettsia	7.59752708091043e-05	0.000239587985333382
Orientia	2.84907265534141e-05	4.79175970666764e-05
CandidatusSneabacter	1.89938177022761e-05	0
CandidatusMidichloria	1.89938177022761e-05	0
CandidatusDeianiraea	9.49690885113804e-06	0
Phreatobacter	8.54721796602424e-05	1.19793992666691e-05
Polymorphum	2.84907265534141e-05	8.38557948666837e-05
CandidatusPuniceispirillum	9.49690885113804e-06	0
CandidatusPelagibacter	2.84907265534141e-05	3.59381978000073e-05
Emcibacter	3.79876354045522e-05	0
CandidatusNucleicultrix	1.89938177022761e-05	3.59381978000073e-05
CandidatusCytomitobacter	9.49690885113804e-06	0
Parvularcula	9.49690885113804e-06	1.19793992666691e-05
Burkholderia	1.47357836497798	0.347917692901871
Cupriavidus	0.4255944732549	0.464884547341628
Ralstonia	0.0427265929212701	0.000838557948666837
Paraburkholderia	0.00144353014537298	0.00143752791200029
Pandoraea	0.000398870171747798	0.000694805157466807
Polynucleobacter	0.000379876354045522	0.887685465059447
Caballeronia	6.64783619579663e-05	0
Lautropia	5.69814531068283e-05	0
Mycoavidus	2.84907265534141e-05	0
Mycetohabitans	2.84907265534141e-05	0
Ephemeroptericola	1.89938177022761e-05	0
