Genus	Local	pFDA
Capnocytophaga	5998799	7806022
Chryseobacterium	23356	36340
Riemerella	3811	4784
Elizabethkingia	2592	663
Bergeyella	1957	0
Myroides	304	131
Cloacibacterium	157	0
Flavobacterium	144	1022
Nonlabens	71	196
Kordia	70	0
Maribacter	55	535
Formosa	50	0
Gilvibacter	49	0
Tenacibaculum	45	56
Psychroflexus	42	43
Empedobacter	30	0
Polaribacter	29	112
Changchengzhania	17	0
Ornithobacterium	16	164
Gramella	15	30
Apibacter	15	0
Winogradskyella	11	22
Mariniflexile	7	46
Aquimarina	5	0
Dokdonia	3	1
Weeksella	3	66
Lacinutrix	2	1
Antarcticibacterium	2	0
Arenibacter	2	0
Salegentibacter	2	0
Siansivirga	1	0
Muricauda	1	15
Cellulophaga	1	5
Aequorivita	1	3
Lutibacter	1	141
Olleya	1	3
Croceibacter	1	216
Urechidicola	1	0
CandidatusSulcia	6	4197
Ichthyobacterium	2	9
Blattabacterium	1	1179
Porphyromonas	498659	488390
Petrimonas	79	578
Fermentimonas	61	61
Tannerella	161414	291813
Parabacteroides	3736	3131
Prevotella	73632	93557
Paraprevotella	132	0
Alloprevotella	7	0
Bacteroides	46639	50914
Paludibacter	2071	1539
Alistipes	789	1324
Mucinivorans	529	2
Muribaculum	463	993
Duncaniella	2	0
Odoribacter	308	499
Butyricimonas	89	0
Barnesiella	241	537
Proteiniphilum	124	361
CandidatusAzobacteroides	22	470
Labilibaculum	42	0
Draconibacterium	7	12
Salinivirga	8	6
Chitinophaga	208	2
Panacibacter	37	0
Niabella	2	9
Arachidicoccus	2	4
Filimonas	1	0
Cytophaga	73	0
Spirosoma	10	22
Rhodocytophaga	4	0
Runella	3	0
Fibrella	1	2
Hymenobacter	8	231
Nibribacter	3	0
Pontibacter	1	63
Cyclobacterium	5	4
Algoriphagus	2	1
CandidatusAmoebophilus	3	4
CandidatusCardinium	2	4
Fabibacter	2	0
Marivirga	1	0
Chryseolinea	2	1
Persicobacter	2	2
Bernardetia	1	1
Sphingobacterium	99	2
Anseongella	19	0
Pedobacter	17	1
Mucilaginibacter	6	31
Solitalea	2	514
Salinibacter	2	1
Saprospira	1	1
Chlorobium	44	41
Pelodictyon	1	0
Prosthecochloris	17	39
Chlorobaculum	2	0
Gemmatirosa	35	0
Gemmatimonas	6	5
CandidatusCloacimonas	2	0
Pasteurella	2269430	2695261
Mannheimia	3589	5613
Actinobacillus	2219	5819
Haemophilus	1403	2032
Bibersteinia	1363	1835
Histophilus	1238	1291
Glaesserella	911	5541
Otariodibacter	605	0
Aggregatibacter	602	898
Avibacterium	223	0
Gallibacterium	199	372
Basfia	156	1101
Rodentibacter	23	0
Xanthomonas	10521	20732
Stenotrophomonas	7800	16044
Luteimonas	7711	8423
Lysobacter	6646	10140
Pseudoxanthomonas	2641	7484
Thermomonas	1528	0
Pseudolysobacter	1506	0
Xylella	735	1122
Arenimonas	375	0
Frateuria	2464	251
Dokdonella	2090	1529
Ahniella	1716	3047
