Genus	Local	pFDA
Streptococcus	13.7991573033708	19.1423670668954
Gemella	1.79073033707865	0.411663807890223
Staphylococcus	0.737359550561798	0
Brevibacillus	0.0351123595505618	0
Veillonella	4.28370786516854	3.32761578044597
Selenomonas	0.0702247191011236	0.102915951972556
Mogibacterium	0.105337078651685	0.137221269296741
Lachnoanaerobaculum	0.0351123595505618	0.102915951972556
Filifactor	0.0351123595505618	0.0686106346483705
Parvimonas	0.561797752808989	0.548885077186964
Rothia	4.70505617977528	7.51286449399657
Arthrobacter	0.105337078651685	0
Actinomyces	1.08848314606742	1.61234991423671
Schaalia	0.456460674157303	0
Corynebacterium	0.456460674157303	0.0686106346483705
Mycolicibacterium	0.0351123595505618	0
Streptomyces	0.0702247191011236	10.4974271012007
Kitasatospora	0.0351123595505618	0.171526586620926
Bifidobacterium	0.0351123595505618	0
Saccharomonospora	0.0351123595505618	0
Nocardiopsis	0.0351123595505618	0
Microcystis	0.140449438202247	0
Chamaesiphon	0.105337078651685	0
Fusobacterium	14.8174157303371	22.0926243567753
Leptotrichia	0.912921348314607	0.754716981132076
Haemophilus	4.38904494382022	4.8713550600343
Pasteurella	0.632022471910112	0.617495711835334
Aggregatibacter	0.561797752808989	0.583190394511149
Klebsiella	1.29915730337079	0
Xanthomonas	1.05337078651685	1.06346483704974
Pseudomonas	0.632022471910112	3.67066895368782
Cardiobacterium	0.0702247191011236	0
Acidihalobacter	0.0351123595505618	0
Neisseria	1.96629213483146	2.71012006861063
Burkholderia	1.15870786516854	0.171526586620926
Lautropia	0.210674157303371	0
Pandoraea	0.210674157303371	0
Thiomonas	0.0702247191011236	0
Campylobacter	0.421348314606742	0.754716981132076
Prevotella	10.252808988764	15.8147512864494
Tannerella	0.105337078651685	0.240137221269297
Bacteroides	0.0351123595505618	0.102915951972556
Capnocytophaga	0.842696629213483	1.37221269296741
Treponema	0.0351123595505618	0
Nonanavirus	31.5308988764045	0
Lactobacillus	0	0.205831903945111
Carnobacterium	0	0.0343053173241852
Bacillus	0	0.240137221269297
Murdochiella	0	0.0343053173241852
Arsenicicoccus	0	0.0686106346483705
Micromonospora	0	0.0686106346483705
Tessaracoccus	0	0.0343053173241852
Atopobium	0	0.0343053173241852
Acholeplasma	0	0.0343053173241852
Streptobacillus	0	0.0343053173241852
Porphyromonas	0	0.0686106346483705
Acinetobacter	0	0.308747855917667
Cellvibrio	0	0.0343053173241852
Natrialba	0	0.274442538593482
