Genus	Local	pFDA
Streptococcus	101135	118804
Lactococcus	1	4
Lactobacillus	33	31
Enterococcus	7	24
Aerococcus	7	10
Jeotgalibaca	4	9
Dolosigranulum	1	0
Leuconostoc	2	2
Weissella	2	2
Gemella	779	200
Staphylococcus	50	335
Listeria	3	4
Brochothrix	1	2
Bacillus	1	8
Amphibacillus	1	0
Pontibacillus	1	0
Paenibacillus	3	1
Veillonella	6652	4971
Megasphaera	7	19
Selenomonas	29	48
Mogibacterium	67	105
Filifactor	9	11
Clostridioides	5	5
Lachnoclostridium	4	7
Lachnoanaerobaculum	2	1
Faecalibacterium	1	1
Thermoanaerobacterium	1	0
Parvimonas	15	20
Rothia	18298	20541
Micrococcus	14	16
Kocuria	11	5
Arthrobacter	8	7
Dermacoccus	21	29
Brevibacterium	7	0
CandidatusAquiluna	3	0
Microbacterium	2	1
Rathayibacter	1	0
Janibacter	3	2
Oerskovia	1	0
Actinomyces	1992	2170
Schaalia	1692	0
Cutibacterium	1556	1838
Propionibacterium	2	20
Microlunatus	2	0
Propionimicrobium	1	1
Pseudopropionibacterium	1	2
Nocardioides	1	0
Corynebacterium	10	19
Mycobacterium	5	0
Mycolicibacter	1	0
Mycolicibacterium	1	1
Rhodococcus	2	1
Dietzia	1	1
Lawsonella	1	0
Streptomyces	4	10
Gardnerella	2	1
Bifidobacterium	1	2
Atopobium	13	25
Thermus	7	10
Deinococcus	1	1
Mycoplasma	7	1
Neisseria	8176	8866
Eikenella	16	13
Simonsiella	4	9
Lautropia	11	0
Burkholderia	1	4
Ralstonia	1	1
Achromobacter	5	7
Delftia	2	2
Acidovorax	1	7
Thauera	2	0
Haemophilus	5322	6672
Aggregatibacter	58	87
Pasteurella	13	20
Mannheimia	8	8
Histophilus	4	0
Gallibacterium	1	5
Providencia	581	729
Proteus	4	3
Xenorhabdus	1	0
Klebsiella	43	72
CandidatusBlochmannia	2	0
Serratia	4	8
Rahnella	1	2
Pantoea	3	2
Mixta	1	0
Dickeya	1	0
Pragia	1	0
Pseudomonas	51	48
Acinetobacter	14	14
Moraxella	5	10
Stenotrophomonas	4	5
Xanthomonas	1	1
Cardiobacterium	2	0
Vibrio	2	0
Campylobacter	278	415
Roseomonas	3	3
Azospirillum	1	0
Methylobacterium	2	2
Sphingomonas	2	2
Brevundimonas	1	1
Prevotella	3730	5059
Alloprevotella	8	0
Tannerella	161	268
Parabacteroides	1	1
Porphyromonas	47	80
Bacteroides	39	44
Muribaculum	4	0
Alistipes	1	2
Odoribacter	1	1
Capnocytophaga	233	317
Chryseobacterium	2	1
Bergeyella	2	0
Hymenobacter	1	0
Fusobacterium	501	635
Leptotrichia	42	17
Aquisphaera	3	0
Treponema	2	3
Desulfurispirillum	1	1
Halobacterium	1	1
Nonanavirus	40	0
Pahexavirus	11	0
Carnobacterium	0	2
Macrococcus	0	1
Exiguobacterium	0	1
Terribacillus	0	1
Planococcus	0	1
Sporosarcina	0	1
Solibacillus	0	1
Dialister	0	3
Butyrivibrio	0	2
Acetobacterium	0	1
Fastidiosipila	0	1
Murdochiella	0	2
Erysipelothrix	0	1
Glutamicibacter	0	2
Mycetocola	0	4
Microcella	0	1
Cellulomonas	0	1
Brachybacterium	0	1
Actinotignum	0	1
Acidipropionibacterium	0	1
Nocardia	0	1
Micromonospora	0	3
Pseudonocardia	0	2
Saccharomonospora	0	1
Thermobifida	0	1
Gordonibacter	0	170
Cryptobacterium	0	1
Acholeplasma	0	10
Ottowia	0	2
Comamonas	0	1
Polynucleobacter	0	6
Cupriavidus	0	1
Actinobacillus	0	2
Glaesserella	0	1
Enterobacter	0	1
Cedecea	0	1
Escherichia	0	1
Aeromonas	0	3
Pseudoalteromonas	0	1
Bradyrhizobium	0	3
Proteiniphilum	0	2
Ornithobacterium	0	4
Polaribacter	0	1
Ichthyobacterium	0	1
Marivirga	0	2
Leadbetterella	0	2
Chloroherpeton	0	2
Natrialba	0	2
Pa6virus	0	16
