Genus	Local	pFDA
Streptococcus	66.5541363130845	68.6533871909112
Lactococcus	0.000658072243170855	0.0023114840305347
Lactobacillus	0.0217163840246382	0.017914001236644
Enterococcus	0.00460650570219599	0.0138689041832082
Aerococcus	0.00460650570219599	0.00577871007633676
Jeotgalibaca	0.00263228897268342	0.00520083906870308
Dolosigranulum	0.000658072243170855	0
Leuconostoc	0.00131614448634171	0.00115574201526735
Weissella	0.00131614448634171	0.00115574201526735
Gemella	0.512638277430096	0.115574201526735
Staphylococcus	0.0329036121585428	0.193586787557281
Listeria	0.00197421672951257	0.0023114840305347
Brochothrix	0.000658072243170855	0.00115574201526735
Bacillus	0.000658072243170855	0.00462296806106941
Amphibacillus	0.000658072243170855	0
Pontibacillus	0.000658072243170855	0
Paenibacillus	0.00197421672951257	0.000577871007633676
Veillonella	4.37749656157253	2.872596778947
Megasphaera	0.00460650570219599	0.0109795491450398
Selenomonas	0.0190840950519548	0.0277378083664164
Mogibacterium	0.0440908402924473	0.060676455801536
Filifactor	0.0059226501885377	0.00635658108397044
Clostridioides	0.00329036121585428	0.00288935503816838
Lachnoclostridium	0.00263228897268342	0.00404509705343573
Lachnoanaerobaculum	0.00131614448634171	0.000577871007633676
Faecalibacterium	0.000658072243170855	0.000577871007633676
Thermoanaerobacterium	0.000658072243170855	0
Parvimonas	0.00987108364756283	0.0115574201526735
Rothia	12.0414059055403	11.8700483678033
Micrococcus	0.00921301140439197	0.00924593612213882
Kocuria	0.00723879467487941	0.00288935503816838
Arthrobacter	0.00526457794536684	0.00404509705343573
Dermacoccus	0.013819517106588	0.0167582592213766
Brevibacterium	0.00460650570219599	0
CandidatusAquiluna	0.00197421672951257	0
Microbacterium	0.00131614448634171	0.000577871007633676
Rathayibacter	0.000658072243170855	0
Janibacter	0.00197421672951257	0.00115574201526735
Oerskovia	0.000658072243170855	0
Actinomyces	1.31087990839634	1.25398008656508
Schaalia	1.11345823544509	0
Cutibacterium	1.02396041037385	1.0621269120307
Propionibacterium	0.00131614448634171	0.0115574201526735
Microlunatus	0.00131614448634171	0
Propionimicrobium	0.000658072243170855	0.000577871007633676
Pseudopropionibacterium	0.000658072243170855	0.00115574201526735
Nocardioides	0.000658072243170855	0
Corynebacterium	0.00658072243170855	0.0109795491450398
Mycobacterium	0.00329036121585428	0
Mycolicibacter	0.000658072243170855	0
Mycolicibacterium	0.000658072243170855	0.000577871007633676
Rhodococcus	0.00131614448634171	0.000577871007633676
Dietzia	0.000658072243170855	0.000577871007633676
Lawsonella	0.000658072243170855	0
Streptomyces	0.00263228897268342	0.00577871007633676
Gardnerella	0.00131614448634171	0.000577871007633676
Bifidobacterium	0.000658072243170855	0.00115574201526735
Atopobium	0.00855493916122112	0.0144467751908419
Thermus	0.00460650570219599	0.00577871007633676
Deinococcus	0.000658072243170855	0.000577871007633676
Mycoplasma	0.00460650570219599	0.000577871007633676
Neisseria	5.38039866016491	5.12340435368017
Eikenella	0.0105291558907337	0.00751232309923779
Simonsiella	0.00263228897268342	0.00520083906870308
Lautropia	0.00723879467487941	0
Burkholderia	0.000658072243170855	0.0023114840305347
Ralstonia	0.000658072243170855	0.000577871007633676
Achromobacter	0.00329036121585428	0.00404509705343573
Delftia	0.00131614448634171	0.00115574201526735
Acidovorax	0.000658072243170855	0.00404509705343573
Thauera	0.00131614448634171	0
Haemophilus	3.50226047815529	3.85555536293189
Aggregatibacter	0.0381681901039096	0.0502747776641298
Pasteurella	0.00855493916122112	0.0115574201526735
Mannheimia	0.00526457794536684	0.00462296806106941
Histophilus	0.00263228897268342	0
Gallibacterium	0.000658072243170855	0.00288935503816838
Providencia	0.382339973282267	0.42126796456495
Proteus	0.00263228897268342	0.00173361302290103
Xenorhabdus	0.000658072243170855	0
Klebsiella	0.0282971064563468	0.0416067125496247
CandidatusBlochmannia	0.00131614448634171	0
Serratia	0.00263228897268342	0.00462296806106941
Rahnella	0.000658072243170855	0.00115574201526735
Pantoea	0.00197421672951257	0.00115574201526735
Mixta	0.000658072243170855	0
Dickeya	0.000658072243170855	0
Pragia	0.000658072243170855	0
Pseudomonas	0.0335616844017136	0.0277378083664164
Acinetobacter	0.00921301140439197	0.00809019410687147
Moraxella	0.00329036121585428	0.00577871007633676
Stenotrophomonas	0.00263228897268342	0.00288935503816838
Xanthomonas	0.000658072243170855	0.000577871007633676
Cardiobacterium	0.00131614448634171	0
Vibrio	0.00131614448634171	0
Campylobacter	0.182944083601498	0.239816468167976
Roseomonas	0.00197421672951257	0.00173361302290103
Azospirillum	0.000658072243170855	0
Methylobacterium	0.00131614448634171	0.00115574201526735
Sphingomonas	0.00131614448634171	0.00115574201526735
Brevundimonas	0.000658072243170855	0.000577871007633676
Prevotella	2.45460946702729	2.92344942761877
Alloprevotella	0.00526457794536684	0
Tannerella	0.105949631150508	0.154869430045825
Parabacteroides	0.000658072243170855	0.000577871007633676
Porphyromonas	0.0309293954290302	0.0462296806106941
Bacteroides	0.0256648174836634	0.0254263243358817
Muribaculum	0.00263228897268342	0
Alistipes	0.000658072243170855	0.00115574201526735
Odoribacter	0.000658072243170855	0.000577871007633676
Capnocytophaga	0.153330832658809	0.183185109419875
Chryseobacterium	0.00131614448634171	0.000577871007633676
Bergeyella	0.00131614448634171	0
Hymenobacter	0.000658072243170855	0
Fusobacterium	0.329694193828598	0.366948089847384
Leptotrichia	0.0276390342131759	0.00982380712977249
Aquisphaera	0.00197421672951257	0
Treponema	0.00131614448634171	0.00173361302290103
Desulfurispirillum	0.000658072243170855	0.000577871007633676
Halobacterium	0.000658072243170855	0.000577871007633676
Nonanavirus	0.0263228897268342	0
Pahexavirus	0.00723879467487941	0
Carnobacterium	0	0.00115574201526735
Macrococcus	0	0.000577871007633676
Exiguobacterium	0	0.000577871007633676
Terribacillus	0	0.000577871007633676
Planococcus	0	0.000577871007633676
Sporosarcina	0	0.000577871007633676
Solibacillus	0	0.000577871007633676
Dialister	0	0.00173361302290103
Butyrivibrio	0	0.00115574201526735
Acetobacterium	0	0.000577871007633676
Fastidiosipila	0	0.000577871007633676
Murdochiella	0	0.00115574201526735
Erysipelothrix	0	0.000577871007633676
Glutamicibacter	0	0.00115574201526735
Mycetocola	0	0.0023114840305347
Microcella	0	0.000577871007633676
Cellulomonas	0	0.000577871007633676
Brachybacterium	0	0.000577871007633676
Actinotignum	0	0.000577871007633676
Acidipropionibacterium	0	0.000577871007633676
Nocardia	0	0.000577871007633676
Micromonospora	0	0.00173361302290103
Pseudonocardia	0	0.00115574201526735
Saccharomonospora	0	0.000577871007633676
Thermobifida	0	0.000577871007633676
Gordonibacter	0	0.0982380712977249
Cryptobacterium	0	0.000577871007633676
Acholeplasma	0	0.00577871007633676
Ottowia	0	0.00115574201526735
Comamonas	0	0.000577871007633676
Polynucleobacter	0	0.00346722604580206
Cupriavidus	0	0.000577871007633676
Actinobacillus	0	0.00115574201526735
Glaesserella	0	0.000577871007633676
Enterobacter	0	0.000577871007633676
Cedecea	0	0.000577871007633676
Escherichia	0	0.000577871007633676
Aeromonas	0	0.00173361302290103
Pseudoalteromonas	0	0.000577871007633676
Bradyrhizobium	0	0.00173361302290103
Proteiniphilum	0	0.00115574201526735
Ornithobacterium	0	0.0023114840305347
Polaribacter	0	0.000577871007633676
Ichthyobacterium	0	0.000577871007633676
Marivirga	0	0.00115574201526735
Leadbetterella	0	0.00115574201526735
Chloroherpeton	0	0.00115574201526735
Natrialba	0	0.00115574201526735
Pa6virus	0	0.00924593612213882
