Genus	Local	pFDA
Streptococcus	393	558
Gemella	51	12
Staphylococcus	21	0
Brevibacillus	1	0
Veillonella	122	97
Selenomonas	2	3
Mogibacterium	3	4
Lachnoanaerobaculum	1	3
Filifactor	1	2
Parvimonas	16	16
Rothia	134	219
Arthrobacter	3	0
Actinomyces	31	47
Schaalia	13	0
Corynebacterium	13	2
Mycolicibacterium	1	0
Streptomyces	2	306
Kitasatospora	1	5
Bifidobacterium	1	0
Saccharomonospora	1	0
Nocardiopsis	1	0
Microcystis	4	0
Chamaesiphon	3	0
Fusobacterium	422	644
Leptotrichia	26	22
Haemophilus	125	142
Pasteurella	18	18
Aggregatibacter	16	17
Klebsiella	37	0
Xanthomonas	30	31
Pseudomonas	18	107
Cardiobacterium	2	0
Acidihalobacter	1	0
Neisseria	56	79
Burkholderia	33	5
Lautropia	6	0
Pandoraea	6	0
Thiomonas	2	0
Campylobacter	12	22
Prevotella	292	461
Tannerella	3	7
Bacteroides	1	3
Capnocytophaga	24	40
Treponema	1	0
Nonanavirus	898	0
Lactobacillus	0	6
Carnobacterium	0	1
Bacillus	0	7
Murdochiella	0	1
Arsenicicoccus	0	2
Micromonospora	0	2
Tessaracoccus	0	1
Atopobium	0	1
Acholeplasma	0	1
Streptobacillus	0	1
Porphyromonas	0	2
Acinetobacter	0	9
Cellvibrio	0	1
Natrialba	0	8
