qseqid	qstart	qend	qlen	sseqid	sstart	send	slen	length	nident	mismatch	gaps	pident	score
F_siamese	3	19	20	chrX	63348906	63348890	126427096	17	17	0	0	100	17
F_siamese	1	17	20	chrC1	25696163	25696147	221441202	17	17	0	0	100	17
F_siamese	1	19	20	chrC1	52782897	52782879	221441202	19	18	1	0	94.737	16
F_siamese	2	17	20	chrC1	162224363	162224378	221441202	16	16	0	0	100	16
F_siamese	1	19	20	chrE1	51185749	51185767	63002102	19	18	1	0	94.737	16
F_siamese	2	17	20	chrC2	148384554	148384539	157659299	16	16	0	0	100	16
F_siamese	2	20	20	chrB3	23232602	23232620	148491654	19	18	1	0	94.737	16
F_siamese	1	19	20	chrA1	37930907	37930889	239302903	19	18	1	0	94.737	16
R_siamese	7	24	24	chrE1	7748856	7748873	63002102	18	18	0	0	100	18
R_siamese	4	21	24	chrE1	48505207	48505224	63002102	18	18	0	0	100	18
R_siamese	3	22	24	chrE1	10203399	10203380	63002102	20	19	1	0	95	17
R_siamese	1	20	24	chrE1	2446181	2446163	63002102	20	19	0	1	95	16
R_siamese	2	24	24	chrE1	41381867	41381846	63002102	23	21	1	1	91.304	16
R_siamese	3	21	24	chrE1	53501924	53501906	63002102	19	18	1	0	94.737	16
R_siamese	7	24	24	chrD1	46396599	46396616	116869131	18	18	0	0	100	18
R_siamese	7	23	24	chrD1	37357767	37357783	116869131	17	17	0	0	100	17
R_siamese	5	24	24	chrD1	96694490	96694471	116869131	20	19	1	0	95	17
R_siamese	2	22	24	chrD1	104795206	104795187	116869131	21	20	0	1	95.238	17
R_siamese	1	16	24	chrD1	20767228	20767213	116869131	16	16	0	0	100	16
R_siamese	5	20	24	chrD1	40374218	40374233	116869131	16	16	0	0	100	16
R_siamese	4	24	24	chrC1	52154155	52154135	221441202	21	20	1	0	95.238	18
R_siamese	7	24	24	chrC1	158717253	158717236	221441202	18	18	0	0	100	18
R_siamese	2	24	24	chrC1	47241517	47241495	221441202	23	21	2	0	91.304	17
R_siamese	7	23	24	chrC1	66378658	66378642	221441202	17	17	0	0	100	17
R_siamese	8	24	24	chrC1	86019824	86019840	221441202	17	17	0	0	100	17
R_siamese	4	24	24	chrC1	140282427	140282446	221441202	21	20	0	1	95.238	17
